gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
TMCO4_TSS544	6.59065684402127e-05	0.279005591458979	0.0495287861828199	209	209	208	7.24748	7.39120129665072
IL6R_TSS1917	4.81470509185432e-05	-0.283956420275176	0.0458763756800098	209	209	208	4.6504	4.96279679425837
PDIA6_TSS2649,TSS35415,TSS3656	4.43519387122549e-05	-0.285235822276592	0.045329455441473	209	209	209	50.8809	51.609609569378
DBI_TSS31564,TSS34469,TSS35242,TSS35700	2.37233256745428e-05	-0.294788690553838	0.0401122043657766	209	209	209	209.685	218.615197607655
DHRS9_TSS11781,TSS16426,TSS3314	5.20689951360136e-05	-0.282730326690484	0.0458763756800098	209	209	209	13.8205	14.4915411483254
CD86_TSS31831,TSS34538	1.61610950412909e-05	-0.300485075655385	0.0331285645710771	209	209	209	40.1621	40.7454937799043
OSTC_TSS33443	3.93714181804158e-05	-0.287081055044112	0.045329455441473	209	209	209	33.8261	34.3253722488038
MSMO1_TSS1279	5.89349640713319e-05	-0.280779238638324	0.046285285236973	209	209	209	17.2428	19.5558519617225
CDKN2AIP_TSS9878	3.48051571046607e-06	-0.322153423956762	0.0296435523060395	209	209	208	7.68423	7.98393516746411
SEPP1_TSS35282	3.86309742688007e-05	-0.287373979962503	0.045329455441473	207	206	187	3.58969	7.60575014032091
HMGCS1_TSS23270	8.83458935518279e-06	-0.309212425022192	0.0296442281756839	209	209	209	6.20968	6.65901736842105
CD180_TSS13632	4.29205549259275e-05	-0.285745298430728	0.045329455441473	209	209	207	6.27566	7.33957918660287
HMGCR_TSS19222	1.53232950681947e-05	-0.301265663186011	0.0331285645710771	209	209	209	9.52793	10.0689169856459
MEF2C_TSS31559,TSS3336,TSS8197	4.93633810240791e-06	-0.317369114375325	0.0296442281756839	207	207	110	1.03807	1.16547546411483
TDRD6_TSS352	3.80761892992071e-05	-0.287596943208526	0.045329455441473	194	92	7	0.0783972	0.191294600526316
TMEM242_TSS14663	3.67987433544711e-05	-0.288122201953531	0.045329455441473	209	209	205	2.16691	2.12608240669856
SEPT7P2_TSS34805	4.21332053354763e-05	-0.286032402332236	0.045329455441473	208	206	166	1.38051	1.41479169808612
CYP51A1_TSS1520,TSS30319	5.97790463316547e-05	-0.280554307769475	0.046285285236973	209	208	208	12.7848	13.8729860100478
LSM1_TSS13218	5.18898878361068e-05	-0.28278439665602	0.0458763756800098	209	209	209	19.4477	19.4593549760766
ATP6V0D2_TSS10384	9.28158684221641e-06	-0.308509515470223	0.0296442281756839	208	207	178	3.11176	4.31598389808612
SQLE_TSS26036	1.12878655013612e-05	-0.305704731201641	0.0308625232300373	209	209	209	5.73908	6.56221411483254
TGFBR1_TSS30414	5.57189889035944e-05	-0.281664919904781	0.0459250285637336	209	209	209	9.48084	10.0737784688995
PAPSS2_TSS4097	1.95510789813729e-05	-0.297674198996319	0.035682115646647	209	209	208	3.32666	3.86016883253589
VWA5A_TSS29308	5.52896844574926e-05	-0.281786767714439	0.0459250285637336	209	209	209	15.3167	16.4481264593301
DUSP6_TSS30695	7.95558257542639e-06	-0.310698968300029	0.0296442281756839	209	209	209	24.1362	25.6788074641148
FGD6_TSS14990	3.22439083943685e-05	-0.29014628900584	0.045329455441473	209	209	124	1.13975	1.22835129665072
CHST11_TSS3539	3.41280946986091e-06	-0.32241996604039	0.0296435523060395	209	209	209	11.7907	13.0120266507177
GATM_TSS21952	1.20787927008873e-05	-0.304727366557756	0.0308625232300373	206	204	160	1.71601	2.04519791196172
ACACA_TSS12862,TSS15183,TSS33068	1.68553614114517e-05	-0.299866698021366	0.0331285645710771	209	209	196	1.77586	1.75459993779904
DHX58_TSS19000	2.51182055439092e-05	0.293930425044554	0.0401122043657766	209	209	209	13.8032	14.1567756937799
GALNT1_TSS12819	4.90802921471981e-05	-0.283656370043891	0.0458763756800098	209	209	209	17.6772	18.118590430622
ZNF557_TSS27531	3.15680133525302e-06	-0.323475472691559	0.0296435523060395	208	207	148	1.1806	1.23116192440191
CXorf21_TSS29852	4.34822643147113e-05	-0.285543487995981	0.045329455441473	209	209	209	7.5719	7.67139511961722
ATP6AP2_TSS8232	7.16423600845757e-06	-0.312177134540952	0.0296442281756839	209	209	209	81.4592	81.6675483253589
