gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
MIR1302-10_TSS10595	NA	NA	NA	0	0	0	0	0
OR4F5_TSS17749	0.932300991671789	0.0059258953052284	0.988198651427351	3	1	0	0	0.00103279425837321
FAM138C_TSS10184	0.667309429395546	-0.0299782472891912	0.937378569996381	2	0	0	0	0.000486460765550239
MIR6859-4_TSS34555	NA	NA	NA	0	0	0	0	0
LOC729737_TSS22631	0.347656849285802	0.065442456323409	0.807116909046482	209	208	54	0.637876	0.779402459808612
FAM138D_TSS27427	0.0670983455361001	-0.127208363360779	0.51462591163263	2	0	0	0	0.000367531100478469
OR4F29_TSS18830	NA	NA	NA	0	0	0	0	0
DDX11L1_TSS18303	0.822467608894044	0.0156507844404452	0.973994848065056	3	0	0	0	0.000327996172248804
WASH7P_TSS9156	0.373686006679074	-0.0619962263791952	0.822843079889009	209	204	71	0.757147	0.96722141291866
MIR6859-1_TSS27452	0.897426620483535	0.00899250773625692	0.982076465195754	1	1	1	0	0.328607655502392
LOC101928626_TSS18498	NA	NA	NA	0	0	0	0	0
LOC100132062_TSS27248	0.935099210660508	0.00568040907638446	0.98831420917427	209	167	0	0.164097	0.181918262200957
MIR6723_TSS9033	0.357590550264897	-0.0641088551165399	0.813526724298209	209	209	209	742.781	837.252971291866
OR4F29_TSS33796	NA	NA	NA	0	0	0	0	0
LOC100133331_TSS29741	0.963928061917228	0.00315478524752878	0.993675480110391	209	185	1	0.257382	0.321432287559809
FAM87B_TSS11238	0.518061829888584	0.0450641280061074	0.888070398012912	167	116	1	0.113704	0.156823298564593
LOC100288069_TSS3358	0.0814298519864829	0.121101864243756	0.549382932795348	203	200	127	1.21595	1.34760617703349
LINC00115_TSS33282	0.0543655402390173	0.133605803440679	0.477706826086485	183	158	6	0.217215	0.294737692344498
FAM41C_TSS15687	0.933251954752817	0.00584245981027018	0.988224921692044	103	0	0	0	0.0176189818181818
LOC100130417_TSS15106	0.321998620178815	0.0690029957647641	0.798731257700108	18	3	0	0	0.00455257177033493
LINC01128_TSS27123,TSS7143	0.228127151854051	-0.0839236413549042	0.741753098390081	208	206	169	1.26862	1.33541419712919
KLHL17_TSS1688	0.0437245380897269	-0.13998880763805	0.440171826359967	207	205	190	1.9149	2.11428369569378
PERM1_TSS10652	0.304954243698784	0.0714707804482785	0.792442595603116	120	14	0	0.012099	0.0268962430143541
PLEKHN1_TSS7742	0.584008426043131	0.0381812489119793	0.907183545663548	195	160	7	0.219745	0.297276676555024
HES4_TSS29140	0.0167829350700857	0.165666687435892	0.299887945312432	160	127	13	0.189043	0.4114117
SAMD11_TSS10688	0.40076778281898	-0.058563808979848	0.838245737190833	208	4	0	2.41012e-08	0.0124586000724368
NOC2L_TSS35550	0.295558146652172	-0.0728701523254169	0.788326615842919	209	209	209	12.4538	13.1584367942584
ISG15_TSS75	0.48459943498242	0.0487265145258637	0.872190297212676	209	209	209	132.878	150.970398564593
RNF223_TSS1861	0.598713741781565	0.0366978071824392	0.913380684267833	24	3	0	0	0.0089207976076555
MIR200B_TSS32114	0.854991165463942	0.0127480075701617	0.980919755547762	2	2	2	0	0.130312440191388
MIR200A_TSS4773	0.291384260161288	-0.0735012526216793	0.787933114670487	2	2	2	0	0.15076985645933
C1orf159_TSS29459	0.833441055936037	0.0146686262372394	0.977320398221209	205	203	177	1.67558	1.82773075789474
LINC01342_TSS2510	0.513526848437494	0.0455530740835103	0.885904838385287	33	4	0	0	0.00941951770334928
MIR429_TSS22564	0.299601005686016	-0.0722644873875172	0.789528776192048	3	3	3	0	0.363031100478469
TTLL10_TSS19319,TSS35463	0.966409127571772	-0.00293766372386495	0.994649870874666	190	157	8	0.253983	0.372355022009569
