gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
PDPN_TSS11826,TSS3823	0.000134474344710642	-0.266745370783802	0.0369714891125796	93	28	0	0	0.0401347284210526
EPHB2_TSS34152	0.000255229929404491	-0.255871516977675	0.0472352928339635	200	140	1	0.145627	0.191807533205742
TCEA3_TSS33337	0.000124947895549641	0.267962968926699	0.0358698733853183	209	209	198	6.2555	6.60117870813397
PABPC4_TSS11309	8.37558848698546e-05	-0.274491954193796	0.027088137448415	209	209	209	27.7074	27.8929033492823
KTI12_TSS2161	0.000204700063598215	0.259668403814689	0.0445907092710446	206	206	205	4.41254	4.42860305263158
ADORA3_TSS29272	3.52335120573693e-05	-0.288089015768883	0.0171807548219621	201	195	91	0.870591	1.10432421781435
OLFML3_TSS7201	6.85566397354858e-05	-0.277699675157213	0.0243280853505786	167	120	12	0.123717	0.316471566507177
ECM1_TSS9297	9.62791743357365e-06	-0.307244085032704	0.00745434213417596	201	197	90	0.808766	1.51685672057416
HSPA7_TSS10980	0.000238933705588552	-0.257013058670632	0.0456788046933171	208	206	188	2.60873	3.76194343971292
FCGR2B_TSS1648	5.09366921536654e-05	-0.282387052545046	0.0214385842425918	209	208	205	4.74621	5.98402158229665
SOAT1_TSS21005	0.000190966630969909	-0.260851828935108	0.0426361747213655	209	209	209	16.6781	16.8918850239234
RGL1_TSS21741,TSS9460	2.60735918943741e-05	-0.292657391905564	0.0141740483596013	207	206	102	0.978164	1.50499364880383
PTGS2_TSS35275	0.000239567899370039	-0.256967296508011	0.0456788046933171	209	208	123	1.18502	2.02024060717703
TGFB2_TSS14194	0.00019133336844133	-0.260819209417393	0.0426361747213655	173	26	0	0.0245677	0.043217553584946
SDC1_TSS22595,TSS27290	4.86316217989002e-05	-0.28311025488854	0.0214230678786534	179	108	3	0.104901	0.161823932535885
FEZ2_TSS17792	0.000226711887623712	-0.257917799131637	0.0450246178667121	209	209	209	21.9678	22.7453013397129
MAP4K3_TSS13735	4.69133582457996e-05	-0.283670643696603	0.0214230678786534	209	209	202	2.6681	2.72970006698565
MXD1_TSS471	0.000210996757915145	-0.259150376724862	0.0445947775950112	208	208	208	4.34658	5.33827459330144
DYSF_TSS10947,TSS28868	0.000274944439557222	-0.254577911459671	0.0491246883264827	208	208	147	1.67572	2.74688610047847
LIMS1_TSS10154,TSS13741,TSS20671,TSS2137,TSS22302,TSS3255	0.000119919399449422	-0.268641149172758	0.0348175074537809	209	209	209	13.2257	14.2854302870813
MERTK_TSS7593	2.05509148326198e-05	-0.296214554349712	0.0124734522752536	200	195	65	0.590316	1.03511450239234
PLA2R1_TSS17823	0.000109824068884463	0.270087039287143	0.0326279646511398	200	169	13	0.301151	0.381486594832536
CYBRD1_TSS22715,TSS9625	2.04698669362219e-05	-0.29627321471758	0.0124734522752536	204	202	100	0.968177	1.41495529090909
SLC40A1_TSS18329	3.67896498775517e-06	-0.320628466309295	0.00645554289655707	208	204	159	2.12227	3.96547404583732
ACSL3_TSS34707	0.000273940353458641	-0.254641678407586	0.0491246883264827	209	209	209	11.472	11.5213511004785
ITGA9_TSS16026	6.12183353813332e-06	-0.313624509198732	0.00698106254623649	173	62	0	0.0543889	0.0975318665550239
ELP6_TSS36512	0.000141248589385742	0.265927677989133	0.0375927235292262	208	207	207	8.46917	9.05003802057416
STAB1_TSS12767	8.88315070886778e-06	-0.308389425902624	0.0074183769708918	206	205	121	1.19156	2.01703387607655
ALCAM_TSS27605	2.86619727362173e-05	-0.291229652722372	0.0152565292377157	209	209	209	27.2658	27.6660444497608
ZBTB20_TSS12576,TSS19976,TSS25808,TSS26167,TSS31835,TSS6289,TSS6781	0.000114045644677874	-0.26946786889749	0.0334927151898813	209	205	0	0.285304	0.306257770334928
CPA3_TSS27930	3.50479846898395e-05	-0.288169804289453	0.0171807548219621	200	188	84	0.72932	1.74252747320574
ETV5_TSS36356	6.84761453967486e-06	-0.312059490595776	0.00698708422101867	202	196	43	0.547203	0.673170967942584
CLDN1_TSS8287	1.10160514136241e-06	-0.336547862804919	0.00351825142022618	194	158	10	0.216423	0.320926518660287
ADD1_TSS30233,TSS30850	0.000166098246773677	0.263212706406734	0.0392945389358098	209	209	209	35.5528	35.4481320574163
SEL1L3_TSS14191,TSS35241	0.000215357051985744	-0.258800033611024	0.0447347372214288	209	209	209	16.8356	17.2855675119617
TLR6_TSS29274	4.54793628720263e-06	-0.317733446873959	0.00645554289655707	208	208	201	2.0225	2.15965155980861
KLHL5_TSS14972,TSS9470	0.000224644186515197	-0.258075341002956	0.0450246178667121	209	208	164	1.53181	1.61962410181818
KIT_TSS6854	0.000271084645336874	-0.254824232749264	0.0491220758039514	192	135	16	0.161173	0.316753768229665
SNCA_TSS20982,TSS25159,TSS36340	7.19034109335387e-05	-0.276939738746203	0.0248261101263772	203	196	46	0.542637	0.719000706698565
SLC7A11_TSS19111	0.000134573326319762	-0.266733148421528	0.0369714891125796	194	54	2	0.0512228	0.092200995645933
FAM198B_TSS21137,TSS8367	2.14807005914348e-05	-0.295556802787937	0.0124734522752536	208	206	127	1.21759	1.72426393875598
FNIP2_TSS13625	5.7282279462775e-05	-0.280544562849999	0.0221751854586955	209	209	208	3.96364	4.24222992344498
MSMO1_TSS1279	3.56391391610174e-05	-0.287913771430798	0.0171807548219621	209	209	209	17.2428	19.5558519617225
CLCN3_TSS10809,TSS4474	0.00017853502694789	-0.261993632402479	0.0414688176228962	209	209	209	6.90951	6.86945540669856
PRLR_TSS4590,TSS764	0.000153705761046283	-0.264515345338898	0.0392329131503556	148	21	1	0.00871551	0.0573316875119617
SEPP1_TSS35282	1.04167208115491e-08	-0.390959430376261	0.000266147216735079	207	206	187	3.58969	7.60575014032091
HMGCS1_TSS23270	8.86843006395822e-06	-0.308412969686965	0.0074183769708918	209	209	209	6.20968	6.65901736842105
HMGCR_TSS19222	0.00013120794093013	-0.267153503787873	0.0368391526457673	209	209	209	9.52793	10.0689169856459
F2RL1_TSS14941	2.1075805180747e-05	-0.29583986157828	0.0124734522752536	173	115	0	0.119104	0.177073257416268
MEF2C_TSS31559,TSS3336,TSS8197	4.83708416176006e-06	-0.316886215501403	0.00650460528068261	207	207	110	1.03807	1.16547546411483
ARRDC3_TSS18490	2.60724613258752e-08	-0.381013515386528	0.000333075693438056	209	209	205	5.34687	5.43060565550239
RHOBTB3_TSS35763	1.16500923306312e-05	-0.304512683072736	0.00875470173669494	209	206	77	0.744939	0.92817366076555
SLCO4C1_TSS17161	0.000151492978127948	-0.264758216308464	0.0392329131503556	203	185	19	0.351171	0.454713567799043
SPINK6_TSS12127	0.000252124985386251	-0.256083681430405	0.0472352928339635	94	70	2	0	0.132010533014354
ABLIM3_TSS28820,TSS31562	3.11161919234855e-05	-0.289984121029877	0.0162248715029603	183	81	1	0.0637607	0.125918878516746
RANBP17_TSS23413	0.000229423105804429	-0.25771324228671	0.0450246178667121	159	63	0	0.0553067	0.0793726022009569
F13A1_TSS6320	1.95158727916864e-06	-0.329109964059633	0.00498630549827588	206	203	131	1.53993	2.78194467416268
RNF8_TSS12075	8.17249418233446e-05	0.274887309270868	0.027088137448415	209	208	206	1.91916	1.98280526124402
TDRD6_TSS352	1.66225553027682e-05	-0.299345913960159	0.0113542379266997	194	92	7	0.0783972	0.191294600526316
PLA2G7_TSS21440,TSS24190	7.11014441277829e-06	-0.311531966616581	0.00698708422101867	205	200	155	2.32229	4.61703503732057
MANEA-AS1_TSS12010	0.000160265077985872	-0.26381413123564	0.0392329131503556	193	170	18	0.269054	0.443061589952153
SLC16A10_TSS25914	4.12493727865057e-06	-0.319070030599993	0.00645554289655707	206	204	124	1.12155	1.40307084736842
LINC01268_TSS5621	6.2843224486669e-06	-0.313259376884072	0.00698106254623649	143	63	1	0.0409673	0.0836148210526316
ADGRG6_TSS3296	8.56177331453785e-05	-0.274137337125052	0.0273441635233053	189	87	1	0.0768243	0.110597075980861
CPVL_TSS33787	0.000212937881275592	-0.25899358505293	0.0445947775950112	209	209	209	103.661	109.191974162679
CHN2_TSS239,TSS2789,TSS29825,TSS29938,TSS33101	0.000108040487883116	-0.270355354772588	0.0326279646511398	208	208	203	3.09224	3.08284765550239
MYO1G_TSS7964	3.16973170969439e-06	0.322644748157314	0.00622974193713013	209	209	209	60.1163	60.7693043062201
VOPP1_TSS18654,TSS23208,TSS27633,TSS8127	0.00016308344114869	0.263521038354887	0.0392329131503556	209	209	209	22.1095	22.4060577990431
ZNF117_TSS14739	0.000217620894270392	-0.258620735957475	0.0448404342629719	209	208	195	2.28558	2.58612071722488
HGF_TSS32222	6.17869374370588e-06	-0.313495701697881	0.00698106254623649	169	115	8	0.119527	0.219411251913876
CYP51A1_TSS1520,TSS30319	8.12898864610312e-06	-0.309646038500073	0.0074183769708918	209	208	208	12.7848	13.8729860100478
GAL3ST4_TSS15819	0.000205937522269403	-0.259565436657975	0.0445907092710446	202	194	88	0.876877	1.29071236985646
LOC102724094_TSS6730	5.13710838811447e-05	0.282254220960149	0.0214385842425918	203	203	196	6.21335	8.19947820095694
CLEC5A_TSS12782,TSS26901	4.01609959536314e-07	-0.349217064558005	0.0025652836165382	209	209	207	5.73269	6.75381868421053
INSIG1_TSS32732	4.38640298793308e-06	-0.318229328668921	0.00645554289655707	209	209	209	16.1222	17.8022933014354
TNFRSF10D_TSS31296	0.000156897561641915	-0.264170711024231	0.0392329131503556	208	208	196	1.87568	2.05108890430622
DOCK5_TSS22178	3.35648740061043e-05	-0.288830515081998	0.0171516506171193	209	208	196	2.16704	2.3276639562201
SQLE_TSS26036	5.30162013862832e-07	-0.345785652560797	0.00270912789083907	209	209	209	5.73908	6.56221411483254
NR4A3_TSS34185	3.16456211145243e-06	-0.322666758044409	0.00622974193713013	208	204	75	0.774245	1.21159578708134
PTGS1_TSS16909,TSS26306,TSS5673	7.137097309363e-05	-0.277058386297523	0.0248261101263772	209	209	208	3.29494	3.55571864114833
SLC2A6_TSS10323	6.81437433724742e-05	0.277795832295174	0.0243280853505786	209	209	209	17.7194	18.7976192822967
IDI1_TSS33497	8.89939881989752e-07	-0.339273921879607	0.00327193485171238	208	208	208	16.8288	17.8935214832536
TMEM236_TSS35238	1.64020024934372e-05	-0.299541861932924	0.0113542379266997	209	209	207	3.66043	3.84307163157895
CREM_TSS13097,TSS15786,TSS18954,TSS20221,TSS29235,TSS29567,TSS6192	1.74800212520439e-06	-0.330558105398723	0.00496238381099692	209	209	208	6.05862	6.57467374162679
FAM213A_TSS17196,TSS36051,TSS443	0.000106947093999347	-0.270521899036554	0.0326279646511398	209	209	208	10.2684	11.8696567559809
PAPSS2_TSS4097	2.58490113973854e-07	-0.354579489777954	0.00220147413734399	209	209	208	3.32666	3.86016883253589
LIPA_TSS12113,TSS12555	0.00016425096264255	-0.263401006452929	0.0392329131503556	209	209	209	210.252	262.540378947368
ENTPD1_TSS23460,TSS4290,TSS7598	4.27089738880856e-06	-0.318594675770504	0.00645554289655707	209	209	208	3.94187	3.97986890430622
HBB_TSS20148	0.00022602769766298	-0.257969780102643	0.0450246178667121	205	205	202	26.3047	378.469826516746
LYVE1_TSS731	6.01305216506871e-05	-0.279779240503662	0.0229303705697769	47	9	0	0	0.0143799185645933
TTC17_TSS17000	8.28830610775744e-05	-0.274660749055923	0.027088137448415	209	209	209	11.845	11.747803062201
FADS1_TSS12651	1.68869292060504e-05	-0.2991142482822	0.0113542379266997	209	209	209	11.9013	13.7663655980861
FADS2_TSS14538,TSS20044,TSS23063	5.46294383302198e-05	-0.28129026104091	0.0218090960833924	209	209	203	7.81713	9.5535348277512
PLEKHB1_TSS17097,TSS35974,TSS6067	0.000212900574898566	0.258996585850479	0.0445947775950112	209	208	205	3.37839	3.68126026172249
MMP8_TSS14770	7.78557902189771e-05	-0.275666695525073	0.0263257604863075	81	24	0	0	0.0377319033492823
MMP1_TSS16587	0.000253860534373257	-0.255964791585717	0.0472352928339635	131	51	1	0.0382934	0.0899468708133971
OR8G5_TSS23320	2.91727774964589e-06	-0.323761708229577	0.00622974193713013	68	45	8	0	0.126264702392344
CD69_TSS16340	0.000279847960955299	-0.254269579511518	0.0493111407062613	209	209	208	11.1715	13.8823383492823
A2M_TSS30411	0.000248365065937429	-0.25634388081722	0.0470053884051949	209	209	208	20.5893	25.2833657799043
ETNK1_TSS28895	0.000164302219455501	-0.263395755057219	0.0392329131503556	209	209	209	11.0178	11.0958483732057
