gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
MSMO1_TSS1279	1.5755275894716e-05	-0.300131151730422	0.0402547299109994	209	209	209	17.2428	19.5558519617225
SEPP1_TSS35282	2.42868193653149e-06	-0.326212948026642	0.0135947565759591	207	206	187	3.58969	7.60575014032091
HMGCS1_TSS23270	2.66042203052037e-06	-0.32499688896684	0.0135947565759591	209	209	209	6.20968	6.65901736842105
ARRDC3_TSS18490	2.00489127154667e-06	-0.328754624929904	0.0135947565759591	209	209	205	5.34687	5.43060565550239
LINC01268_TSS5621	2.14473322541125e-05	-0.295579938887105	0.0456649449243811	143	63	1	0.0409673	0.0836148210526316
CYP51A1_TSS1520,TSS30319	1.80430657611135e-05	-0.298139843558449	0.04190912092695	209	208	208	12.7848	13.8729860100478
INSIG1_TSS32732	6.88184534558517e-06	-0.311989629997248	0.0244187001032408	209	209	209	16.1222	17.8022933014354
SQLE_TSS26036	1.43380067109127e-06	-0.333144152762157	0.0135947565759591	209	209	209	5.73908	6.56221411483254
IDI1_TSS33497	2.24494386380773e-06	-0.327258433733747	0.0135947565759591	208	208	208	16.8288	17.8935214832536
CREM_TSS13097,TSS15786,TSS18954,TSS20221,TSS29235,TSS29567,TSS6192	3.85629768108342e-06	-0.319988325158243	0.0164214009586135	209	209	208	6.05862	6.57467374162679
OR8G5_TSS23320	7.64577694034937e-06	-0.310510699471627	0.0244187001032408	68	45	8	0	0.126264702392344
TMEM97_TSS31165	1.5180510801462e-05	-0.300674402696329	0.0402547299109994	209	209	208	3.56094	3.87726945454545
