gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
TNFRSF4_TSS36373	0.000168183937709842	-0.25984890667263	0.00668576925630058	190	159	31	0.331967	0.587299001435407
TNFRSF18_TSS25091	1.77914549718767e-05	-0.29480761386456	0.00119991393281303	196	187	74	0.757463	1.03206700047847
PLCH2_TSS22645,TSS25109	3.63748771331718e-05	-0.284177233285022	0.00210357066606562	202	149	19	0.195132	0.348916737655502
LOC100996583_TSS12416	7.53235879008625e-05	-0.272897568397613	0.00373853636958048	119	96	5	0.0803636	0.221661558851675
MEGF6_TSS26120	0.00161402405807255	-0.218901461466702	0.0369347081006199	208	193	25	0.393853	0.500295341291866
TP73_TSS10952,TSS24413,TSS24848	1.15858853424853e-05	-0.300986461111353	0.000878733664133056	201	154	7	0.168295	0.244441418421053
TNFRSF25_TSS14993	2.69880522282414e-07	-0.349943715312824	5.31427625333993e-05	206	204	168	2.41287	4.21214826315789
PLEKHG5_TSS15978,TSS22362,TSS25048,TSS27446,TSS28722,TSS3004,TSS5589,TSS569	2.91261235887918e-05	-0.287526536605009	0.00177282689221192	169	27	0	0.0266526	0.0516568102392344
TNFRSF9_TSS12695	4.53859820588611e-05	-0.28079888648437	0.00246308086498206	194	96	2	0.088959	0.14945316722488
SLC2A5_TSS22535	6.66580183745995e-05	-0.27482594008972	0.00338736701326667	185	156	21	0.23489	0.426866288516746
SPSB1_TSS21307	6.28435806562998e-05	-0.275750580979216	0.00321912778588313	208	205	90	0.921901	1.09555739267943
H6PD_TSS1969,TSS20212	0.00183145208339892	0.216389351753157	0.0403219179188284	209	209	209	16.5068	16.6490681818182
PIK3CD_TSS8483	4.95866892677317e-05	-0.279435426895421	0.00263510470763511	209	209	209	12.5252	14.2385297607655
FBXO44_TSS1095,TSS5124	0.00179624381337069	-0.216777010093632	0.039871004787684	209	209	208	3.44019	3.61806078947368
TNFRSF1B_TSS13926	3.34191272862561e-05	-0.285459470171864	0.00195475128733179	209	209	209	19.0664	20.8821653110048
AGMAT_TSS29273	2.07181949987107e-05	-0.292579158129507	0.00136138247393842	178	107	6	0.103524	0.193587973971292
IFFO2_TSS21010	3.18404402012187e-06	-0.318789023498698	0.000328174795154578	208	208	173	1.63519	1.87549830143541
PLA2G2D_TSS10320	0.000392809793996303	-0.245290964982454	0.0128772573880788	133	96	22	0.0754833	0.372517816746411
UBXN10-AS1_TSS21453	0.00108355349741457	-0.226647217483498	0.0277800511007161	84	83	13	0	0.223063380861244
NBL1_TSS1011,TSS21321,TSS21806,TSS22276,TSS3303,TSS7451,TSS979	0.0010278326870824	-0.227654285847702	0.0268266628909836	199	120	44	0.188525	0.610943005740614
KIF17_TSS11925	0.00202838037425861	-0.214338802976021	0.0432422274782521	202	176	11	0.278576	0.370722887607655
LOC100506801_TSS31428	0.00170844063617448	-0.217774829337798	0.0384752873138819	121	39	1	0.0159512	0.0557504292344498
