gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
MIR4711_TSS21645	1.26380747881494e-05	0.301167262991248	0.00873086026107804	2	2	2	0	0.418233014354067
MIR7641-2_TSS33005	1.01451077053342e-05	0.304306048631673	0.00873086026107804	2	0	0	0	1.72509631578947e-06
MIR7641-2_TSS28932	6.17339195888127e-11	0.43825852917784	1.43452792600877e-07	1	0	0	0	3.1046028708134e-06
MIR3124_TSS6163	1.48551276817865e-10	0.430258980969209	2.7122279905296e-07	4	4	4	0	0.638659330143541
LINC01320_TSS13707	5.07814222097079e-06	0.31396295375384	0.00587211374394261	7	0	0	0	0.00123535789473684
SPINK8_TSS28496	5.74323553845958e-06	0.312270131599916	0.00587211374394261	2	2	0	0	0.00142718660287081
MIR425_TSS5198	1.26380747881494e-05	0.301167262991248	0.00873086026107804	2	2	2	0	0.197915789473684
SEMA3B-AS1_TSS10533	1.03396427970635e-07	0.362870350638263	0.00017619440635716	13	13	3	0	0.0615599425837321
PYDC2_TSS31536	1.26380747881494e-05	0.301167262991248	0.00873086026107804	2	2	0	0	0.00419535406698565
LOC101929123_TSS29013	6.85794781699461e-07	0.34015137967694	0.000922610548158944	6	0	0	0	0.000729736363636364
MIR1305_TSS4828	6.17339195888127e-11	0.43825852917784	1.43452792600877e-07	1	1	1	0	0.0537866028708134
OSMR-AS1_TSS4820	1.26380747881494e-05	0.301167262991248	0.00873086026107804	2	0	0	0	0.000580039234449761
MLIP-IT1_TSS24035	7.24153034511054e-06	0.309053266714704	0.00685558359819891	2	1	0	0	0.000942728708133971
MCHR2-AS1_TSS5582	2.37138480529403e-05	0.291969772808909	0.0159513071074002	8	6	0	0	0.00437222775119617
TAAR9_TSS12510	1.93045370884437e-06	0.326918643184055	0.00246721636258855	16	1	0	0	0.00373392296650718
SYNJ2-IT1_TSS7094	7.95160982855308e-11	0.435973869556606	1.69375915689704e-07	4	0	0	0	0.00148727272727273
OR2F1_TSS21395	1.26380747881494e-05	0.301167262991248	0.00873086026107804	2	0	0	0	0.000329512440191388
MIR4663_TSS23271	6.17339195888127e-11	0.43825852917784	1.43452792600877e-07	1	1	1	0	0.139838277511962
MIR4483_TSS35601	1.74025784166134e-11	0.449438593697682	1.11206826726764e-07	1	1	1	0	0.243381818181818
OR51A7_TSS32931	6.53190373814926e-15	0.5111977139341	8.34809957254167e-11	3	0	0	0	0.000496128229665072
MIR5582_TSS15023	5.74323553845958e-06	0.312270131599916	0.00587211374394261	2	2	2	0	1.7172985645933
OR4C13_TSS20405	7.24153034511054e-06	0.309053266714704	0.00685558359819891	2	0	0	0	0.000661230622009569
OR5L1_TSS23923	1.26380747881494e-05	0.301167262991248	0.00873086026107804	2	0	0	0	0.000380856937799043
OR1S1_TSS28027	5.74323553845958e-06	0.312270131599916	0.00587211374394261	2	1	0	0	0.0018191019138756
MIR4697_TSS10434	6.17339195888127e-11	0.43825852917784	1.43452792600877e-07	2	2	2	0	0.232971291866029
NANOGNB_TSS2542	5.74323553845958e-06	0.312270131599916	0.00587211374394261	2	0	0	0	0.000475737799043062
RNU6-58P_TSS1510	1.26380747881494e-05	0.301167262991248	0.00873086026107804	2	2	2	0	0.0848022009569378
SNORD114-15_TSS29809	6.17339195888127e-11	0.43825852917784	1.43452792600877e-07	1	1	1	0	0.097511004784689
KRTAP4-1_TSS19841	1.26380747881494e-05	0.301167262991248	0.00873086026107804	2	0	0	0	0.000465352631578947
KRTAP9-8_TSS23422	6.17339195888127e-11	0.43825852917784	1.43452792600877e-07	1	0	0	0	0.000131938277511962
KRTAP1-1_TSS5880	3.46769309876278e-07	0.348546806705052	0.000494282723594625	6	1	0	0	0.00169542488038278
LOC102723617_TSS31723	6.17339195888127e-11	0.43825852917784	1.43452792600877e-07	1	1	0	0	0.00158123444976077
IFNL2_TSS19332	3.48072807194681e-07	0.348501278358912	0.000494282723594625	6	0	0	0	0.00166362870813397
CGB5_TSS30606	1.16558840732005e-10	0.43248945204895	2.29181579073136e-07	4	0	0	0	0.00110305167464115
LOC100507412_TSS3571	1.74025784166134e-11	0.449438593697682	1.11206826726764e-07	1	0	0	0	0.000454874641148325
LOC101928128_TSS36417	1.26380747881494e-05	0.301167262991248	0.00873086026107804	2	0	0	0	0.000576511961722488
TTTY11_TSS33114	2.1960288338249e-07	0.354037525249468	0.00035082933138374	6	1	0	0	0.0037150004784689
TTTY5_TSS26746	2.49836567742327e-05	0.29119310991335	0.0163745448924657	8	0	0	0	0.00104396937799043
LOC101929148_TSS956	8.74506331560235e-24	0.629287481282863	2.23532563410112e-19	2	0	0	0	0.000100362966507177
