gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
ATF3_TSS17573,TSS20196,TSS9760	2.49028861893025e-06	-0.327449529158429	0.00244680434843047	206	206	204	4.38851	6.08281275598086
LINC00504_TSS26440	3.07114300161116e-06	-0.324628909368197	0.00280197925425567	201	174	2	0.216812	0.262763611961722
SEPT7P2_TSS34805	7.50479493347172e-06	-0.312278517070641	0.00661094797829202	208	206	166	1.38051	1.41479169808612
ATP6V0D2_TSS10384	3.28434294734727e-05	-0.290573238119412	0.0262193202915417	208	207	178	3.11176	4.31598389808612
PAPSS2_TSS4097	2.62167281059036e-05	-0.294001404506474	0.0223244178731138	209	209	208	3.32666	3.86016883253589
MMP12_TSS34111	6.55731490138482e-05	-0.279770528975894	0.0492685783737578	189	173	81	0.6856	1.56787286267943
AKAP1_TSS13789,TSS31821,TSS3318	5.23521745793395e-05	0.28333737215565	0.0405269288425396	209	209	208	7.32605	7.43856054545455
ARSD_TSS17031	2.65038716332087e-06	-0.326614204514711	0.00250765890645167	209	209	209	7.77064	8.02955306220096
PNPLA4_TSS14006,TSS32314	4.95851321683868e-08	-0.375608142267277	6.33350893186804e-05	207	207	205	2.72757	2.81114381818182
ZRSR2_TSS12277	6.94432116149888e-07	-0.344050314817519	0.00077130273213761	209	209	209	6.74367	7.15188526315789
ZFX_TSS30363,TSS30369,TSS7312,TSS9608	1.41588353573486e-06	-0.334909053105367	0.00144680643215531	209	209	204	2.93473	3.12349796650718
KDM6A_TSS30194	9.49123048862915e-09	-0.393786168220613	1.42625278860306e-05	209	209	209	4.38939	4.79630124401914
DDX3X_TSS19025,TSS23823	8.38557171287031e-07	-0.341658714636782	0.000892574229070771	209	209	209	53.3757	55.8813286602871
KDM5C_TSS25329	2.02406960874572e-08	-0.385596444912626	2.72141485394832e-05	209	209	209	13.4051	13.2426683253589
SMC1A_TSS2103	2.93534473161046e-05	-0.292287707802953	0.0241891343592648	209	209	209	8.94447	9.13164301435407
RPS4X_TSS23601	1.36255200867129e-09	-0.413813467483469	2.67751950873206e-06	209	209	209	498.094	502.179277511962
TSIX_TSS16481	1.65625539842531e-08	-0.387787071723251	2.35059446712072e-05	187	0	0	0.00257387	0.00722574003572445
XIST_TSS26269	4.42536921562628e-10	-0.424840039982859	9.42087349853242e-07	188	122	117	11.0616	10.4128018795971
RPS4Y1_TSS13858	2.47934413622225e-13	0.489608106625031	6.33373253039335e-09	128	109	100	0.2296	27.7543122277512
ZFY_TSS12744,TSS35370	1.70371082548054e-10	0.433896889345644	4.35229967477259e-07	145	95	93	0.0169038	1.21688394866029
LINC00278_TSS31338	3.84825327870111e-12	0.467435718979867	3.95274709846355e-08	95	94	63	0	0.817187094258373
PRKY_TSS9055	1.13189687122865e-11	0.458255598198953	5.89869817397646e-08	201	100	90	0.0637497	1.0116384445933
TTTY15_TSS8327	1.15452481288195e-11	0.458084588028673	5.89869817397646e-08	128	95	23	0.00961993	0.377564908181818
USP9Y_TSS21505	1.41661654732693e-10	0.435617336110021	4.02098736866819e-07	156	98	93	0.0121863	1.29791239784689
DDX3Y_TSS13388,TSS29787,TSS31084	2.84401340386974e-09	0.406375986459214	5.18951188680402e-06	202	137	96	0.162097	6.01407567933014
TMSB4Y_TSS24428	3.15521940117203e-07	0.353844881403321	0.000366378340101549	207	183	35	0.400779	0.530061436842105
NLGN4Y_TSS10714,TSS21586,TSS22064,TSS27039,TSS36193	3.36205942257288e-09	0.404658911266785	5.72581133393646e-06	99	58	1	0	0.102293099330144
TXLNGY_TSS26995	2.19831074730048e-10	0.43150464239852	5.105276940958e-07	123	102	95	0.0609882	2.8640899538756
TTTY14_TSS33631,TSS6044	8.70686554625008e-11	0.44010952329538	2.78031984055631e-07	99	90	39	0	0.541839060287081
BCORP1_TSS15103	7.38443778924690e-09	0.396451876510381	1.17901779852563e-05	90	47	3	0	0.0860588280382775
TTTY10_TSS23657	1.10304341850158e-07	0.366401937236571	0.000134182605566864	51	20	1	0	0.0296848822966507
EIF1AY_TSS28363	4.64191704978887e-12	0.465859702886657	3.95274709846355e-08	105	98	95	0.0242544	3.14247865023923
KDM5D_TSS276	3.19708469759565e-11	0.449154124933892	1.36121209474631e-07	139	102	97	0.0341604	4.32308692172249
UTY_TSS10258	4.67115433796208e-11	0.445762339271245	1.70470441025113e-07	142	97	96	0.0182842	1.94158542181818
