gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
TM2D1_TSS31563	9.5642743561425e-05	-0.269087159555869	0.0498981856409035	209	209	209	12.0547	12.5579386124402
NAT8B_TSS28482	9.20149310676729e-05	0.269707960593245	0.0493025562853145	174	170	46	0.446485	0.641375325358852
LINC00504_TSS26440	5.092021030813e-06	-0.31245015640197	0.0041991105042485	201	174	2	0.216812	0.262763611961722
RSPO3_TSS19352	1.84869324568291e-07	-0.354433465519953	0.000162965497009096	204	202	136	1.41729	1.73129176746411
ENPP3_TSS24536	4.55948001261704e-05	-0.280728355283379	0.0303246125425051	209	208	183	2.49683	3.39083981148325
GPNMB_TSS13607	6.78200761269628e-05	-0.274554119532296	0.0394034642297654	209	209	209	461.751	467.340574162679
C7orf13_TSS21089	1.18774912596843e-05	0.300632217093903	0.00948863083008032	201	190	18	0.49642	0.536806127272727
C9orf40_TSS29173	9.10507499407315e-05	-0.269876812769586	0.0493025562853145	206	205	110	1.03766	1.02721186937799
NUCB2_TSS7411	4.62627088545494e-05	-0.280504783894035	0.0303246125425051	209	209	206	8.91715	9.37323881339713
METTL12_TSS4128	6.74801189980986e-05	0.274633184426702	0.0394034642297654	199	196	85	0.922902	0.981137018181818
NAALAD2_TSS3178	6.67828179911624e-05	0.274796535399139	0.0394034642297654	163	67	0	0.069303	0.0843988255023923
DCAF4_TSS26302	2.25111598356315e-05	0.291356803788299	0.0167403690096069	207	206	203	3.04428	3.12853231435407
RNF166_TSS25483,TSS33804,TSS9484	9.25724730752266e-05	0.269611076415123	0.0493025562853145	209	209	209	16.305	17.63394784689
ITGA3_TSS33585	2.29194537371398e-05	-0.291091341894127	0.0167403690096069	209	207	187	2.83925	3.74535256172249
EDEM2_TSS6274	3.48905269279331e-05	-0.284808359017888	0.0247761508440467	209	209	209	78.9572	81.3121057416268
C22orf29_TSS19068	6.44984077290015e-05	0.275343140384911	0.0394034642297654	208	207	202	1.85748	1.91150673444976
ARSD_TSS17031	6.89643555525575e-11	-0.435316479027495	9.79447102969767e-08	209	209	209	7.77064	8.02955306220096
STS_TSS28245	8.14582879316698e-05	-0.271654560702773	0.0462755482818935	209	209	209	3.40175	3.49937306220096
PNPLA4_TSS14006,TSS32314	6.48910745604111e-11	-0.435863370811538	9.75809076507264e-08	207	207	205	2.72757	2.81114381818182
ZRSR2_TSS12277	1.78161097047893e-07	-0.354868389003896	0.000162661081604726	209	209	209	6.74367	7.15188526315789
SYAP1_TSS1915	1.03870176867955e-07	-0.361144407039346	0.000102128353902015	209	209	209	10.2642	10.0367499043062
EIF1AX_TSS30470	4.32367401044731e-08	-0.371060947355485	4.421216096123e-05	209	209	208	7.08966	7.40206279425837
ZFX_TSS30363,TSS30369,TSS7312,TSS9608	2.06361693454494e-08	-0.379177772811609	2.293665361509e-05	209	209	204	2.93473	3.12349796650718
FUNDC1_TSS22283	5.96794790838097e-05	-0.276558505102684	0.0381411550824627	208	207	207	5.26221	5.44799060574163
KDM6A_TSS30194	5.86902704273486e-12	-0.456706898060314	1.15412159477288e-08	209	209	209	4.38939	4.79630124401914
DDX3X_TSS19025,TSS23823	1.46526642461797e-10	-0.428464468658751	1.87290354394669e-07	209	209	209	53.3757	55.8813286602871
KDM5C_TSS25329	8.28881480989374e-09	-0.388891636260773	9.63160280909653e-06	209	209	209	13.4051	13.2426683253589
SMC1A_TSS2103	2.88265178473959e-08	-0.375537250530919	3.07050459271179e-05	209	209	209	8.94447	9.13164301435407
RPS4X_TSS23601	2.07640745764673e-09	-0.403056869816282	2.52768001177528e-06	209	209	209	498.094	502.179277511962
TSIX_TSS16481	1.76167401253236e-07	-0.355000680578137	0.000162661081604726	187	0	0	0.00257387	0.00722574003572445
XIST_TSS26269	1.03626303986737e-12	-0.470916352784853	2.40827530465177e-09	188	122	117	11.0616	10.4128018795971
MOSPD1_TSS19324	2.15967606719662e-05	-0.29196821534953	0.0167302906005498	209	209	208	6.47087	6.59020810047847
PLXNA3_TSS7330	4.40654715809112e-05	0.281252111310752	0.0303246125425051	209	209	209	7.85379	7.79780497607655
RPS4Y1_TSS13858	3.30344803155156e-16	0.52944089758998	8.44493454785842e-12	128	109	100	0.2296	27.7543122277512
ZFY_TSS12744,TSS35370	2.47534622649719e-13	0.482174203325058	9.03996441916773e-10	145	95	93	0.0169038	1.21688394866029
LINC00278_TSS31338	1.07008626998779e-13	0.488581777223799	4.55928090099465e-10	95	94	63	0	0.817187094258373
PRKY_TSS9055	3.72579844974351e-14	0.496457578354538	2.38115778923108e-10	201	100	90	0.0637497	1.0116384445933
TTTY15_TSS8327	2.39179136952186e-14	0.499706990958503	2.03812515234856e-10	128	95	23	0.00961993	0.377564908181818
USP9Y_TSS21505	1.79067829178411e-12	0.466504687321113	3.81474165426408e-09	156	98	93	0.0121863	1.29791239784689
DDX3Y_TSS13388,TSS29787,TSS31084	1.07350275312166e-10	0.431311748879277	1.44436970425274e-07	202	137	96	0.162097	6.01407567933014
TMSB4Y_TSS24428	5.37423943072379e-11	0.437550604080353	8.58669105043893e-08	207	183	35	0.400779	0.530061436842105
NLGN4Y_TSS10714,TSS21586,TSS22064,TSS27039,TSS36193	3.11949152398154e-11	0.442367781724446	5.31644542127094e-08	99	58	1	0	0.102293099330144
TXLNGY_TSS26995	4.68636706002939e-13	0.477206477386506	1.22315900441333e-09	123	102	95	0.0609882	2.8640899538756
TTTY14_TSS33631,TSS6044	2.09651413212146e-14	0.500666381611364	2.03812515234856e-10	99	90	39	0	0.541839060287081
BCORP1_TSS15103	2.12527683276774e-11	0.445721497872146	3.88075549663389e-08	90	47	3	0	0.0860588280382775
TTTY10_TSS23657	2.84521245811531e-07	0.349311206217135	0.000242450037597532	51	20	1	0	0.0296848822966507
EIF1AY_TSS28363	4.78469333599329e-13	0.477043514485039	1.22315900441333e-09	105	98	95	0.0242544	3.14247865023923
KDM5D_TSS276	9.87128045743908e-14	0.489191337006571	4.55928090099465e-10	139	102	97	0.0341604	4.32308692172249
UTY_TSS10258	2.87579113473282e-13	0.481014343476306	9.18959057103873e-10	142	97	96	0.0182842	1.94158542181818
