gene_names	pvalue	corr_coef	fdr	pval_dir	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
RAB11FIP5_TSS31749	1.78775755659558e-05	NA	0.0111508107304436	1.78775755659558e-05	206	206	165	1.44368	1.49655054066986
PARD3B_TSS16682	6.50377342286385e-06	NA	0.00437686836165519	6.50377342286385e-06	197	121	0	0.119213	0.140057890909091
IGFBP2_TSS7632	4.01886948824645e-05	NA	0.0209743978414135	4.01886948824645e-05	209	209	207	41.4361	56.0640960813397
RSPO3_TSS19352	1.90166507991042e-05	NA	0.0115788764496546	1.90166507991042e-05	204	202	136	1.41729	1.73129176746411
PRRT4_TSS12686	9.61382800124914e-05	NA	0.0472796968222969	9.61382800124914e-05	200	183	105	1.02243	1.51323735215311
C7orf13_TSS21089	5.55825666627563e-05	NA	0.0284282595453333	-5.55825666627563e-05	201	190	18	0.49642	0.536806127272727
LOC101926892_TSS14921	3.40335172492225e-05	NA	0.0185178539705184	-3.40335172492225e-05	80	28	0	0	0.0446207428708134
SPESP1_TSS31012	5.45267384034498e-06	NA	0.0037686818410579	-5.45267384034498e-06	179	164	40	0.433787	0.660470866507177
KIF7_TSS16683	2.06666927743615e-05	NA	0.0120115757799715	2.06666927743615e-05	193	116	0	0.118122	0.166252109569378
ITGA3_TSS33585	6.99034159458681e-06	NA	0.00458369245124022	6.99034159458681e-06	209	207	187	2.83925	3.74535256172249
PNMAL2_TSS30851	2.55772164134272e-05	NA	0.0145352478964572	2.55772164134272e-05	203	193	53	0.547651	0.752011484401914
NLRP2_TSS17293,TSS4108	0.000100859018633866	NA	0.048665427991016	0.000100859018633866	208	208	207	6.24908	6.90263256937799
FRG1BP_TSS10418	5.09228246396868e-08	NA	3.9462102863961e-05	-5.09228246396868e-08	206	205	199	3.28572	3.42461772296651
PROCR_TSS360	8.02814277164815e-05	NA	0.0402556264900702	8.02814277164815e-05	209	209	209	31.1196	35.8488913875598
EDEM2_TSS6274	3.79810612205457e-07	NA	0.000285673434880298	3.79810612205457e-07	209	209	209	78.9572	81.3121057416268
TSPEAR_TSS16622	2.02288386791154e-05	NA	0.0120115757799715	2.02288386791154e-05	182	86	1	0.0664483	0.108882375282027
TSPEAR-AS1_TSS3880	3.67430251472237e-05	NA	0.019575612126874	3.67430251472237e-05	204	195	104	0.999555	1.53174684641148
