gene_names	pvalue	corr_coef	fdr	pval_dir	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
TNFRSF25_TSS14993	2.95266925788817e-05	NA	0.0123729780967011	-2.95266925788817e-05	200	198	164	2.41287	4.11289273399015
E2F2_TSS29896	0.00033622458552771	NA	0.0403386774175306	-0.00033622458552771	200	198	21	0.566341	0.611405690147783
ZNF683_TSS31649	0.000254624815514452	NA	0.0349917468245425	-0.000254624815514452	196	191	141	2.09455	3.61967443596059
LCK_TSS12239,TSS13245	8.22877669454499e-05	NA	0.0187799786686843	-8.22877669454499e-05	203	203	197	6.40246	10.8024079655172
MACF1_TSS9046	0.000339329771385021	NA	0.0403386774175306	-0.000339329771385021	203	203	203	8.3227	8.63737738916256
RIMS3_TSS9319	8.64726098177699e-05	NA	0.0188559572873759	-8.64726098177699e-05	197	163	5	0.208581	0.276806508226601
IL23R_TSS32594	3.99022508345427e-05	NA	0.0142598238778773	-3.99022508345427e-05	160	102	9	0.101404	0.234118082512315
IL12RB2_TSS14387	2.10184754158886e-05	NA	0.0123729780967011	-2.10184754158886e-05	196	176	57	0.425147	0.832462785812808
PDE4B_TSS15460,TSS15932,TSS27165,TSS28364,TSS3070,TSS891	5.66779167077771e-05	NA	0.0157372102865706	-5.66779167077771e-05	203	203	203	7.58832	8.94915295566502
MCOLN2_TSS20328	0.000491968193814842	NA	0.0482119234111547	-0.000491968193814842	201	200	168	1.97327	2.22866714482759
GBP5_TSS22297	4.1233207073926e-05	NA	0.0143356084598937	-4.1233207073926e-05	203	203	203	21.6961	26.9334249261084
TGFBR3_TSS18765,TSS27510	0.000192873843904556	NA	0.0286630716514206	-0.000192873843904556	197	154	8	0.208128	0.331431577586207
CDC14A_TSS9031	7.90654666773556e-05	NA	0.0185412146214669	-7.90654666773556e-05	202	201	168	1.63106	1.83846896995074
VCAM1_TSS33181	0.000125507823548481	NA	0.0234168283045455	-0.000125507823548481	177	139	27	0.22404	0.426608116256158
KCNA2_TSS22796,TSS2982	9.35492750207843e-05	NA	0.0191297041504501	-9.35492750207843e-05	193	179	26	0.413888	0.524397045320197
ZNF697_TSS28263	0.000351975890491233	NA	0.0410815330449608	-0.000351975890491233	199	194	10	0.595854	0.597399130049261
