gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
MIR3682_TSS11401	8.63495299172762e-07	0.337258192345175	0.00137948770888469	4	4	4	0	0.405147368421053
MIR5696_TSS2962	5.12871465085034e-07	0.343758549336591	0.000936393394217039	1	1	1	0	0.111203827751196
LOC440982_TSS20620	4.16377751023631e-07	0.346318569950506	0.000936393394217039	4	1	0	0	0.00165435741626794
IQCJ-SCHIP1-AS1_TSS19591	3.1120172974931e-05	0.287897851023675	0.0418664600743269	11	2	0	0	0.00717131531100478
LOC100130849_TSS26493	1.56973667851474e-07	0.35800760837645	0.000668733987325255	1	1	0	0	0.000649822966507177
MIR4669_TSS16038	5.12871465085034e-07	0.343758549336591	0.000936393394217039	1	1	1	0	0.861684210526316
SNORA70E_TSS33204	5.12871465085034e-07	0.343758549336591	0.000936393394217039	1	1	1	0	0.0205261244019139
MIR4703_TSS22890	5.12871465085034e-07	0.343758549336591	0.000936393394217039	1	1	1	0	0.0914124401913876
OR4N5_TSS13506	1.67352220093779e-06	0.328782003949359	0.00251628829283358	9	1	0	0	0.00356127368421053
NF1P2_TSS27556	1.56973667851474e-07	0.35800760837645	0.000668733987325255	1	0	0	0	0.000212544976076555
C16orf78_TSS18874	1.83952008517362e-06	0.327549520999203	0.00261222071650683	17	1	0	0	0.00346241818181818
LOC102467079_TSS11718	7.45556219871596e-07	0.339105625437384	0.00127047750240919	4	0	0	0	0.000846756937799043
UTS2R_TSS34503	6.8507601046061e-08	0.367586862139058	0.000668733987325255	30	1	0	0	0.00573935071770335
LOC105667213_TSS3333	1.56973667851474e-07	0.35800760837645	0.000668733987325255	1	0	0	0	0.00031593014354067
MIR7-3_TSS823	5.12871465085034e-07	0.343758549336591	0.000936393394217039	1	1	1	0	0.0488444976076555
PSG6_TSS24837	1.56973667851474e-07	0.35800760837645	0.000668733987325255	2	0	0	0	0.000345299043062201
MIR520E_TSS32396	5.12871465085034e-07	0.343758549336591	0.000936393394217039	1	1	1	0	0.067622966507177
MIR6816_TSS35484	5.12871465085034e-07	0.343758549336591	0.000936393394217039	1	1	1	0	0.422285645933014
MIR1468_TSS33635	1.56973667851474e-07	0.35800760837645	0.000668733987325255	1	1	1	0	0.0843334928229665
