gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
FBXO42_TSS7107	7.38927045271542e-06	-0.307317451881525	0.0188877142041859	209	209	209	5.89841	5.85405971291866
NECAP2_TSS32269	4.73240302351626e-05	-0.280155697730583	0.0498919062911351	209	209	209	93.3453	93.9090344497608
FAM212B_TSS23351,TSS35432	6.63641723715925e-06	-0.30880856528857	0.0188481623332253	209	209	207	3.45787	3.45379391866029
MR1_TSS21866	1.29264778732229e-08	-0.384198792263967	0.00033041370091745	209	209	209	24.1616	23.8137540669856
WDR92_TSS14107,TSS4642	1.63318662060348e-05	-0.296052079357704	0.0247878487518037	206	206	204	3.01998	2.99692831100478
CCDC115_TSS35303,TSS4136	5.06171113524114e-05	-0.279117608504445	0.0498919062911351	209	209	209	23.8482	24.5328354066986
POMGNT2_TSS9710	5.27006560721665e-05	-0.278493150052179	0.0498919062911351	208	207	207	4.05668	4.10798016794258
ZNF589_TSS14192	4.89271668651411e-05	-0.279642124424047	0.0498919062911351	209	209	209	24.3791	25.3879542583732
SMIM14_TSS7063	6.92223384595256e-07	-0.338452104082745	0.00589797397787978	209	209	209	25.6626	25.8579083253589
MYC_TSS15543	6.4962890334017e-07	0.339241549373675	0.00589797397787978	207	207	206	4.25449	4.91106254066986
ALAD_TSS28392	3.15395303923061e-05	-0.286331708544696	0.0447878853532076	209	209	209	21.9767	22.2116277511962
TOR1B_TSS7445	9.57531108673737e-06	-0.303687422373962	0.0203962105573412	209	209	209	32.2064	32.5919023923445
ASB13_TSS7638	8.83275699416871e-06	-0.304823265610151	0.0203962105573412	209	209	209	14.0488	14.3027149282297
TOLLIP_TSS28339	3.72036462143022e-05	-0.283835333750709	0.045879887679391	209	209	209	15.2399	15.5526401913876
DTX4_TSS18237,TSS3564	3.34827401184848e-05	-0.285430766735645	0.0450448589562416	209	209	209	27.5583	28.3832930143541
AMOTL1_TSS25215	1.6485795891423e-05	-0.295915978574913	0.0247878487518037	209	209	208	5.12344	5.25375768421053
DIXDC1_TSS13570,TSS18853,TSS26574	1.19353242398449e-05	-0.300562941590021	0.0209952200233946	208	208	207	4.23067	4.23451018181818
PEX5_TSS19604,TSS26488,TSS27947,TSS31394	2.97917237820357e-06	-0.319675309570052	0.0152301250318523	209	209	209	5.31367	5.25540129186603
DLEU1_TSS14613	5.96534544569824e-06	0.310279892680533	0.0188481623332253	192	147	6	0.170211	0.229282249282297
DNAJA4_TSS26612,TSS27387,TSS7466	2.91419205663732e-06	-0.319968571600205	0.0152301250318523	208	208	208	12.161	12.3458825358852
GGA2_TSS21779	5.05187425663711e-06	-0.312558234032315	0.0184472796962716	209	209	209	82.3653	82.7998626794258
AMFR_TSS30832	5.17757111341209e-05	-0.278767444886352	0.0498919062911351	209	209	209	30.0196	29.8232066985646
ALDH3A2_TSS22879	3.99104773766393e-05	-0.282766605207988	0.0463705323738308	209	209	209	47.798	49.3964373205742
PLEKHG2_TSS293	1.15069459010918e-05	0.301083809971934	0.0209952200233946	208	206	48	0.665881	0.854150162679426
PI3_TSS18617	3.76932687010372e-05	0.283636702665457	0.045879887679391	133	127	58	0.298192	1.71981495645933
KCNJ15_TSS27495,TSS33563,TSS7531,TSS8809	1.23206564825679e-05	0.300109327494405	0.0209952200233946	200	187	47	0.508943	0.795814530717703
MGAT3_TSS10509,TSS3034	3.78366755702311e-06	-0.316476419017266	0.0161190544041779	209	209	209	26.3585	27.1097799521531
