gene_names	pvalue	corr_coef	fdr	pval_dir	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
LOC729737_TSS22631	0.00023204523263729	NA	0.0273182468119118	0.00023204523263729	209	208	54	0.637876	0.779402459808612
HES4_TSS29140	9.56751458081434e-05	NA	0.0151814468941655	-9.56751458081434e-05	160	127	13	0.189043	0.4114117
ACOT7_TSS27249,TSS29587,TSS669,TSS8017	6.56319116382888e-05	NA	0.0117251639624012	-6.56319116382888e-05	209	209	209	37.1538	40.0575468899521
CELA2B_TSS35382	2.00587315255901e-06	NA	0.000854067357140415	2.00587315255901e-06	191	188	147	2.0821	3.39398342248804
TCEA3_TSS33337	1.33886251493255e-07	NA	0.000106868891461571	1.33886251493255e-07	209	209	198	6.2555	6.60117870813397
STMN1_TSS22933,TSS29867,TSS31608	2.42125456470549e-06	NA	0.000997674038137599	2.42125456470549e-06	209	209	209	88.3996	93.6507004784689
SDC3_TSS10690	0.00015015362650924	NA	0.0206235198732879	0.00015015362650924	209	209	209	9.14426	10.0523053110048
MTMR9LP_TSS8444	2.90057718959535e-05	NA	0.00661616477344574	-2.90057718959535e-05	206	202	93	0.906973	1.10124871818182
KIAA1522_TSS13535,TSS27308	0.000177757055079315	NA	0.023169181051588	0.000177757055079315	209	209	209	5.41445	5.61656267942584
SCMH1_TSS11295,TSS13491,TSS25871,TSS6290	9.75121638300441e-06	NA	0.00283084460155243	9.75121638300441e-06	209	209	208	3.92168	4.02309818660287
NFYC_TSS10115,TSS36224,TSS5875,TSS9688	0.000594310344129152	NA	0.0492949557190501	-0.000594310344129152	209	209	209	16.6704	16.7722905741627
PPAP2B_TSS6393	0.000168065178639271	NA	0.0221317583438013	0.000168065178639271	209	209	209	12.7149	13.742394354067
BCAR3_TSS20817,TSS25925,TSS30848,TSS6545,TSS8550	1.0678302634376e-05	NA	0.00299778678461981	1.0678302634376e-05	209	209	209	15.3034	15.3320407655502
SNX7_TSS33370	3.84595030239531e-05	NA	0.00798800751018643	-3.84595030239531e-05	208	207	204	5.40853	5.54343562057416
ATP1A1_TSS1303,TSS34668,TSS9640	3.01606484876503e-06	NA	0.00118350776996915	-3.01606484876503e-06	209	209	209	85.8132	88.4744205741627
POLR3C_TSS16238,TSS18646	0.000452838281349488	NA	0.0418980414278633	-0.000452838281349488	209	209	209	6.73006	6.82838660287081
NOTCH2NL_TSS3039	1.18425624086293e-07	NA	9.7594174791372e-05	-1.18425624086293e-07	209	205	35	0.668443	0.760853249043062
RNU1-13P_TSS295	1.77391228953533e-05	NA	0.00448694428324346	1.77391228953533e-05	19	19	19	0	0.671648181818182
FDPS_TSS25964,TSS33602	0.000513698300751846	NA	0.0447899334106055	-0.000513698300751846	209	209	209	41.5633	42.9390387559809
TSTD1_TSS12981	0.000513698300751846	NA	0.0447899334106055	0.000513698300751846	208	208	206	12.1221	13.1701690574163
SH2D1B_TSS33625	0.000283633593165231	NA	0.0308339889557113	0.000283633593165231	171	104	7	0.0975658	0.24486860861244
HSD17B7_TSS29030	0.000206614871141574	NA	0.0253768755435278	-0.000206614871141574	207	207	207	7.49347	7.87665186602871
DUSP27_TSS33655	0.000422413106632155	NA	0.0404266571991362	0.000422413106632155	199	174	86	0.686194	1.12485734095694
LOC730102_TSS6664	4.89920069438286e-05	NA	0.00948180910146962	4.89920069438286e-05	209	209	209	8.27299	8.64477923444976
GLUL_TSS3985,TSS6595	0.000358370576423745	NA	0.0367682454453711	0.000358370576423745	209	209	209	284.354	287.055057416268
CNIH3_TSS29693	8.43238586486124e-06	NA	0.00256454954392393	-8.43238586486124e-06	167	98	3	0.0862147	0.192046942057416
OBSCN_TSS5086	4.64070688594611e-05	NA	0.00920826371569093	4.64070688594611e-05	207	173	1	0.170226	0.219102973588517
ODC1_TSS14668,TSS9374	0.000462490612700413	NA	0.0418980414278633	-0.000462490612700413	209	209	209	16.1159	16.7394486124402
QPCT_TSS25772	1.26277817856387e-05	NA	0.00339580990818643	-1.26277817856387e-05	209	209	209	6.17898	8.52554885167464
LINC01122_TSS952	0.000280078148618305	NA	0.0306841841665642	0.000280078148618305	140	31	1	0.0195198	0.051061338708134
GNLY_TSS9696	4.72046639273095e-05	NA	0.00920826371569093	4.72046639273095e-05	198	195	158	2.61008	6.18558918947368
LOC90784_TSS25085	2.84875788452132e-10	NA	1.03967453822666e-06	2.84875788452132e-10	209	209	193	2.32121	2.2302226507177
LOC101060091_TSS26848	3.8484371345437e-06	NA	0.00134825940357779	3.8484371345437e-06	190	185	122	1.2535	1.50431036602871
BIN1_TSS3587	3.74969820480368e-06	NA	0.00134825940357779	3.74969820480368e-06	208	206	206	8.81611	9.51808426746411
PLA2R1_TSS17823	4.72181683467927e-05	NA	0.00920826371569093	4.72181683467927e-05	200	169	13	0.301151	0.381486594832536
NUP35_TSS12185,TSS30354	0.000116873620433959	NA	0.017354670405868	0.000116873620433959	207	207	199	2.38259	2.37153987559809
FTCDNL1_TSS26808	4.8323349348907e-08	NA	5.36691120446849e-05	-4.8323349348907e-08	207	207	200	4.33497	4.50293349760766
PPIL3_TSS9978	7.00400251093712e-05	NA	0.0122555652155418	7.00400251093712e-05	206	206	206	9.24654	9.42275894736842
ACKR3_TSS15815	4.13692339592338e-05	NA	0.00852306306416569	4.13692339592338e-05	209	209	208	25.4759	31.5220517559809
TSEN2_TSS14601,TSS6945	0.000497806386273568	NA	0.044005051038515	-0.000497806386273568	209	209	209	8.91694	9.33999177033493
CMTM7_TSS7211	1.89766997075226e-05	NA	0.00475291909243215	1.89766997075226e-05	209	209	209	45.5934	45.474756937799
ULK4_TSS21471	9.39621991782875e-08	NA	8.00150767469237e-05	-9.39621991782875e-08	209	208	67	0.747137	0.898160312440191
ZBTB47_TSS17104	8.79578763597349e-07	NA	0.000416122197659657	8.79578763597349e-07	209	209	209	6.91732	7.044584784689
FYCO1_TSS21239	0.000190080947328964	NA	0.0236877949337221	0.000190080947328964	209	209	208	5.3242	5.32528220574163
DOCK3_TSS35590	0.000117522917767846	NA	0.017354670405868	-0.000117522917767846	203	184	5	0.272066	0.320845450813397
ALAS1_TSS22616	0.000164329433153779	NA	0.0218862602891507	0.000164329433153779	209	209	209	101.988	103.519875598086
IL17RB_TSS11919	0.000487467741013203	NA	0.0432407582627232	0.000487467741013203	209	209	209	11.8561	12.8339652631579
CD86_TSS31831,TSS34538	0.000183821933986079	NA	0.0232480145917938	-0.000183821933986079	209	209	209	40.1621	40.7454937799043
NUDT16P1_TSS32636,TSS4682	5.76203480933274e-06	NA	0.00188721414453876	5.76203480933274e-06	208	208	207	5.18615	5.12290329186603
FAIM_TSS22098,TSS22130	1.63242960459724e-07	NA	0.000117562561580527	-1.63242960459724e-07	205	205	200	3.31276	3.5419383062201
KCNAB1_TSS16347,TSS21083,TSS23231,TSS7614	5.79338536485468e-05	NA	0.0106477421522261	5.79338536485468e-05	209	209	204	8.42695	9.41891183732058
SERPINI1_TSS25742,TSS568	0.000239808187722654	NA	0.0277240771936937	-0.000239808187722654	204	202	156	1.40441	1.46985410526316
TNIK_TSS33598	0.000239833290006901	NA	0.0277240771936937	0.000239833290006901	209	209	209	6.56266	6.62271507177033
TPRG1-AS1_TSS11362	7.97129059077832e-05	NA	0.0133099712890597	7.97129059077832e-05	206	203	201	5.88391	5.98072147368421
WFS1_TSS6474	0.000111625879768491	NA	0.0170760859308122	0.000111625879768491	209	209	208	4.9086	5.07392242105263
SEL1L3_TSS14191,TSS35241	3.04737659853427e-05	NA	0.00688949822679249	-3.04737659853427e-05	209	209	209	16.8356	17.2855675119617
LINC00575_TSS27600	0.000557757810348244	NA	0.0472381504819293	0.000557757810348244	10	1	0	0	0.00304491913875598
MMRN1_TSS5001	0.000191726221600148	NA	0.0237768436078592	0.000191726221600148	87	7	0	0	0.0132666567464115
MANBA_TSS25452	0.000535623762054566	NA	0.0457644824388227	-0.000535623762054566	209	209	209	35.4937	35.9748004784689
PRDM5_TSS19123	5.92022535574905e-08	NA	5.81707681397388e-05	5.92022535574905e-08	184	111	12	0.109823	0.245507805645933
DCLK2_TSS19811	1.34508063571176e-06	NA	0.000613620982152291	-1.34508063571176e-06	198	141	1	0.162344	0.202798826842105
AMACR_TSS7731	9.01824268627687e-06	NA	0.00264814995294615	9.01824268627687e-06	208	207	204	2.7502	2.90135243205742
CD180_TSS13632	9.83156142230766e-05	NA	0.0152684730256729	-9.83156142230766e-05	209	209	207	6.27566	7.33957918660287
LOC100272216_TSS9684	1.65665331228675e-07	NA	0.000117562561580527	1.65665331228675e-07	202	178	23	0.427919	0.528044073205742
NAIP_TSS34914,TSS34916	1.38696105787534e-08	NA	2.21454338409633e-05	-1.38696105787534e-08	208	207	13	0.41901	0.498013185167464
PDE8B_TSS5923	7.03188126181088e-09	NA	1.49702892162902e-05	7.03188126181088e-09	204	200	31	0.5591	0.616279318181818
ZBED3-AS1_TSS12810	8.77832389145738e-08	NA	7.73309794672626e-05	8.77832389145738e-08	194	191	151	1.88094	1.93835701578947
ELL2_TSS20616	3.08514414181534e-05	NA	0.00691369977113653	3.08514414181534e-05	209	209	209	10.5713	10.709780861244
ALDH7A1_TSS7706	1.35508738609529e-05	NA	0.00356890901572952	-1.35508738609529e-05	207	207	148	1.19996	1.22593887559809
MIR4461_TSS593	0.000375685338708129	NA	0.0380858466189546	0.000375685338708129	32	32	32	0	10.4959066985646
CD14_TSS13363,TSS28843	0.00027350479147045	NA	0.0301173573607568	-0.00027350479147045	209	209	209	172.321	180.413329665072
SPARC_TSS3247	0.000416078007171	NA	0.0404165203391541	-0.000416078007171	209	209	209	44.195	44.6209452631579
CTB-178M22.2_TSS30487	5.25199749918629e-08	NA	5.36691120446849e-05	-5.25199749918629e-08	176	175	122	1.94833	5.35416103157895
SLIT3_TSS25709	0.000337818113294569	NA	0.0352254666952504	-0.000337818113294569	207	184	8	0.306719	0.366267322727273
NQO2_TSS5537	0.000503052038518449	NA	0.0443154152690718	-0.000503052038518449	209	209	209	29.8256	32.9186112440191
HTATSF1P2_TSS11080	1.60710602005351e-08	NA	2.41510220554748e-05	1.60710602005351e-08	208	208	207	7.30162	7.73965576555024
NRN1_TSS1744,TSS19257,TSS21465	1.28394680369701e-05	NA	0.00341676968687994	-1.28394680369701e-05	174	137	32	0.245281	0.460289575598086
TMEM14C_TSS16083	2.49095326554033e-08	NA	3.0303039559409e-05	-2.49095326554033e-08	209	209	209	44.7965	46.5084086124402
HIST1H3G_TSS5653	0.00039583048356784	NA	0.0390435573888325	0.00039583048356784	63	61	4	0	0.110966445454545
HCG4_TSS30481	1.75961727108638e-06	NA	0.000775050731455928	1.75961727108638e-06	207	161	13	0.342096	0.422101166741027
LOC554223_TSS28441	7.6095463381609e-07	NA	0.00037384823134807	-7.6095463381609e-07	200	104	32	0.0998911	0.413956355197563
DDAH2_TSS17778,TSS21768	3.05756107636763e-06	NA	0.00118350776996915	3.05756107636763e-06	209	208	208	52.8404	53.9178303229665
BRPF3_TSS2944	5.79338536485468e-05	NA	0.0106477421522261	5.79338536485468e-05	209	209	209	5.00754	5.0799895215311
IRAK1BP1_TSS2592	0.000321368349020605	NA	0.0336475295591368	0.000321368349020605	197	183	5	0.33074	0.347142361148325
SLC22A16_TSS14016	2.87060618145297e-11	NA	1.83338440293948e-07	-2.87060618145297e-11	196	162	56	0.298365	0.994952363636364
FIG4_TSS33049	0.000301613187806541	NA	0.0321054671203904	0.000301613187806541	209	209	209	40.5162	40.9161444976077
VNN1_TSS31070	3.35620335208113e-07	NA	0.000186393319642645	-3.35620335208113e-07	202	190	71	0.655402	0.88891187507177
MTFR2_TSS16806	0.00048491224850173	NA	0.0431639484755181	0.00048491224850173	207	206	205	3.42465	3.40339032535885
HEBP2_TSS28719	3.40982518103248e-06	NA	0.00126247541883821	3.40982518103248e-06	209	209	209	14.4882	14.7080083732057
AKAP12_TSS22189,TSS4893	0.000387968792609312	NA	0.0385969351771136	0.000387968792609312	199	129	34	0.200552	0.553370960334928
MTHFD1L_TSS10233,TSS20124	0.000181779017032587	NA	0.0232195427406575	0.000181779017032587	209	209	209	15.2027	15.2759484688995
