gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
AK4_TSS19216,TSS26102,TSS34022	0.00010922245068015	0.268223351719315	0.0498541975327735	187	42	1	0.044879	0.0775098831100478
ADORA3_TSS29272	6.25254210360201e-05	0.277148343662646	0.0369691233536332	201	195	91	0.870591	1.10432421781435
RGL1_TSS21741,TSS9460	2.81112649978721e-05	0.289428559593278	0.0240231202335827	207	206	102	0.978164	1.50499364880383
LOC100506747_TSS32434	9.38924551593443e-05	0.270673829577652	0.0452827367231698	105	24	0	0.0114333	0.0395814655502392
CHIT1_TSS23928	4.756276828446e-06	0.31485937057396	0.0138444279974937	206	205	153	2.38222	21.1433327813397
IL10_TSS12474	2.33528513991353e-05	0.292197745914857	0.0240231202335827	197	183	44	0.49019	0.782303934449761
DYSF_TSS10947,TSS28868	9.99119608136391e-06	0.304523089333325	0.0173595070057029	208	208	147	1.67572	2.74688610047847
SULT1C2P1_TSS14397	7.52001789060234e-06	0.308526015822964	0.0173595070057029	42	8	0	0	0.0153666827751196
TMEM37_TSS6210	1.08149286069686e-06	0.3344029220139	0.00921467967075746	199	191	94	0.859995	1.40116949330144
SLC40A1_TSS18329	4.91509393314103e-07	0.344282942718783	0.00628173580125089	208	204	159	2.12227	3.96547404583732
ETV5_TSS36356	1.05039666180461e-05	0.303811880451894	0.0173595070057029	202	196	43	0.547203	0.673170967942584
BASP1_TSS16428,TSS25158	3.70725812918913e-05	0.285242322885455	0.0278709485412363	208	208	197	2.99271	4.08667410526316
SEPP1_TSS35282	2.18213268152009e-05	0.29320348072134	0.0240231202335827	207	206	187	3.58969	7.60575014032091
RHOBTB3_TSS35763	6.96617075818722e-05	0.275443004522883	0.0379719861329836	209	206	77	0.744939	0.92817366076555
ABLIM3_TSS28820,TSS31562	4.88745652458165e-05	0.280993722002937	0.0328758621644294	183	81	1	0.0637607	0.125918878516746
AFAP1L1_TSS19023	5.64484263707711e-05	0.278751440865208	0.0351391859823922	196	133	14	0.178064	0.341701501626794
TDRD6_TSS352	2.88408341905803e-06	0.321613928083383	0.0112141081445009	194	92	7	0.0783972	0.191294600526316
