tracking_ID	pvalue (DLCO)	corr_coef (DLCO)	fdr (DLCO)	fpkm>0_num (DLCO)	fpkm>0.1_num (DLCO)	fpkm>1_num (DLCO)	fpkm_median (DLCO)	fpkm_mean (DLCO)	pvalue (FEV1)	corr_coef (FEV1)	fdr (FEV1)	fpkm>0_num (FEV1)	fpkm>0.1_num (FEV1)	fpkm>1_num (FEV1)	fpkm_median (FEV1)	fpkm_mean (FEV1)
ATF3_TSS17573,TSS20196,TSS9760	2.49028861893025e-06	-0.327449529158429	0.00244680434843047	206	206	204	4.38851	6.08281275598086	8.1878664854463e-05	-0.271572633631365	0.0355837980384247	206	206	204	4.38851	6.08281275598086
LINC00504_TSS26440	3.07114300161116e-06	-0.324628909368197	0.00280197925425567	201	174	2	0.216812	0.262763611961722	5.65214043489192e-05	-0.277406078650465	0.0267576514958476	201	174	2	0.216812	0.262763611961722
ATP6V0D2_TSS10384	3.28434294734727e-05	-0.290573238119412	0.0262193202915417	208	207	178	3.11176	4.31598389808612	4.32251122954076e-05	-0.281547244746942	0.022100135414396	208	207	178	3.11176	4.31598389808612
PAPSS2_TSS4097	2.62167281059036e-05	-0.294001404506474	0.0223244178731138	209	209	208	3.32666	3.86016883253589	3.31319671658206e-07	-0.34748023918646	0.000445781899277388	209	209	208	3.32666	3.86016883253589
MMP12_TSS34111	6.55731490138482e-05	-0.279770528975894	0.0492685783737578	189	173	81	0.6856	1.56787286267943	5.01569391359977e-05	-0.279258782403151	0.0241926790957103	189	173	81	0.6856	1.56787286267943
ARSD_TSS17031	2.65038716332087e-06	-0.326614204514711	0.00250765890645167	209	209	209	7.77064	8.02955306220096	2.70977333584536e-08	-0.376214226241968	7.35482710789676e-05	209	209	209	7.77064	8.02955306220096
PNPLA4_TSS14006,TSS32314	4.95851321683868e-08	-0.375608142267277	6.33350893186804e-05	207	207	205	2.72757	2.81114381818182	1.06592647267307e-07	-0.360846516328161	0.000168514711238386	207	207	205	2.72757	2.81114381818182
ZRSR2_TSS12277	6.94432116149888e-07	-0.344050314817519	0.00077130273213761	209	209	209	6.74367	7.15188526315789	0.000114667649150269	-0.26615433588729	0.0414853362847957	209	209	209	6.74367	7.15188526315789
ZFX_TSS30363,TSS30369,TSS7312,TSS9608	1.41588353573486e-06	-0.334909053105367	0.00144680643215531	209	209	204	2.93473	3.12349796650718	6.2613377207391e-07	-0.339698465932359	0.000762213511871306	209	209	204	2.93473	3.12349796650718
KDM6A_TSS30194	9.49123048862915e-09	-0.393786168220613	1.42625278860306e-05	209	209	209	4.38939	4.79630124401914	3.95431703906687e-09	-0.396547965627405	2.81661699582058e-05	209	209	209	4.38939	4.79630124401914
