tracking_ID	pvalue (DLCO)	corr_coef (DLCO)	fdr (DLCO)	fpkm>0_num (DLCO)	fpkm>0.1_num (DLCO)	fpkm>1_num (DLCO)	fpkm_median (DLCO)	fpkm_mean (DLCO)	pvalue (FVC)	corr_coef (FVC)	fdr (FVC)	fpkm>0_num (FVC)	fpkm>0.1_num (FVC)	fpkm>1_num (FVC)	fpkm_median (FVC)	fpkm_mean (FVC)
RPS4Y1_TSS13858	2.47934413622225e-13	0.489608106625031	6.33373253039335e-09	128	109	100	0.2296	27.7543122277512	3.30344803155156e-16	0.52944089758998	8.44493454785842e-12	128	109	100	0.2296	27.7543122277512
ZFY_TSS12744,TSS35370	1.70371082548054e-10	0.433896889345644	4.35229967477259e-07	145	95	93	0.0169038	1.21688394866029	2.47534622649719e-13	0.482174203325058	9.03996441916773e-10	145	95	93	0.0169038	1.21688394866029
LINC00278_TSS31338	3.84825327870111e-12	0.467435718979867	3.95274709846355e-08	95	94	63	0	0.817187094258373	1.07008626998779e-13	0.488581777223799	4.55928090099465e-10	95	94	63	0	0.817187094258373
PRKY_TSS9055	1.13189687122865e-11	0.458255598198953	5.89869817397646e-08	201	100	90	0.0637497	1.0116384445933	3.72579844974351e-14	0.496457578354538	2.38115778923108e-10	201	100	90	0.0637497	1.0116384445933
TTTY15_TSS8327	1.15452481288195e-11	0.458084588028673	5.89869817397646e-08	128	95	23	0.00961993	0.377564908181818	2.39179136952186e-14	0.499706990958503	2.03812515234856e-10	128	95	23	0.00961993	0.377564908181818
USP9Y_TSS21505	1.41661654732693e-10	0.435617336110021	4.02098736866819e-07	156	98	93	0.0121863	1.29791239784689	1.79067829178411e-12	0.466504687321113	3.81474165426408e-09	156	98	93	0.0121863	1.29791239784689
DDX3Y_TSS13388,TSS29787,TSS31084	2.84401340386974e-09	0.406375986459214	5.18951188680402e-06	202	137	96	0.162097	6.01407567933014	1.07350275312166e-10	0.431311748879277	1.44436970425274e-07	202	137	96	0.162097	6.01407567933014
TMSB4Y_TSS24428	3.15521940117203e-07	0.353844881403321	0.000366378340101549	207	183	35	0.400779	0.530061436842105	5.37423943072379e-11	0.437550604080353	8.58669105043893e-08	207	183	35	0.400779	0.530061436842105
NLGN4Y_TSS10714,TSS21586,TSS22064,TSS27039,TSS36193	3.36205942257288e-09	0.404658911266785	5.72581133393646e-06	99	58	1	0	0.102293099330144	3.11949152398154e-11	0.442367781724446	5.31644542127094e-08	99	58	1	0	0.102293099330144
TXLNGY_TSS26995	2.19831074730048e-10	0.43150464239852	5.105276940958e-07	123	102	95	0.0609882	2.8640899538756	4.68636706002939e-13	0.477206477386506	1.22315900441333e-09	123	102	95	0.0609882	2.8640899538756
TTTY14_TSS33631,TSS6044	8.70686554625008e-11	0.44010952329538	2.78031984055631e-07	99	90	39	0	0.541839060287081	2.09651413212146e-14	0.500666381611364	2.03812515234856e-10	99	90	39	0	0.541839060287081
BCORP1_TSS15103	7.3844377892469e-09	0.396451876510381	1.17901779852563e-05	90	47	3	0	0.0860588280382775	2.12527683276774e-11	0.445721497872146	3.88075549663389e-08	90	47	3	0	0.0860588280382775
TTTY10_TSS23657	1.10304341850158e-07	0.366401937236571	0.000134182605566864	51	20	1	0	0.0296848822966507	2.84521245811531e-07	0.349311206217135	0.000242450037597532	51	20	1	0	0.0296848822966507
EIF1AY_TSS28363	4.64191704978887e-12	0.465859702886657	3.95274709846355e-08	105	98	95	0.0242544	3.14247865023923	4.78469333599329e-13	0.477043514485039	1.22315900441333e-09	105	98	95	0.0242544	3.14247865023923
KDM5D_TSS276	3.19708469759565e-11	0.449154124933892	1.36121209474631e-07	139	102	97	0.0341604	4.32308692172249	9.87128045743908e-14	0.489191337006571	4.55928090099465e-10	139	102	97	0.0341604	4.32308692172249
UTY_TSS10258	4.67115433796208e-11	0.445762339271245	1.70470441025113e-07	142	97	96	0.0182842	1.94158542181818	2.87579113473282e-13	0.481014343476306	9.18959057103873e-10	142	97	96	0.0182842	1.94158542181818
