tracking_ID	pvalue (DLCO)	corr_coef (DLCO)	fdr (DLCO)	fpkm>0_num (DLCO)	fpkm>0.1_num (DLCO)	fpkm>1_num (DLCO)	fpkm_median (DLCO)	fpkm_mean (DLCO)	pvalue (Gender)	corr_coef (Gender)	fdr (Gender)	pval_dir (Gender)	fpkm>0_num (Gender)	fpkm>0.1_num (Gender)	fpkm>1_num (Gender)	fpkm_median (Gender)	fpkm_mean (Gender)
ARSD_TSS17031	2.65038716332087e-06	-0.326614204514711	0.00250765890645167	209	209	209	7.77064	8.02955306220096	1.42948515594157e-17	NA	1.74077256632828e-14	1.42948515594157e-17	209	209	209	7.77064	8.02955306220096
PNPLA4_TSS14006,TSS32314	4.95851321683868e-08	-0.375608142267277	6.33350893186804e-05	207	207	205	2.72757	2.81114381818182	8.27625705041144e-21	NA	1.17582623083429e-17	8.27625705041144e-21	207	207	205	2.72757	2.81114381818182
ZRSR2_TSS12277	6.94432116149888e-07	-0.344050314817519	0.00077130273213761	209	209	209	6.74367	7.15188526315789	6.24889025998563e-15	NA	6.94795089646141e-12	6.24889025998563e-15	209	209	209	6.74367	7.15188526315789
ZFX_TSS30363,TSS30369,TSS7312,TSS9608	1.41588353573486e-06	-0.334909053105367	0.00144680643215531	209	209	204	2.93473	3.12349796650718	1.70695086371096e-13	NA	1.67891747837232e-10	1.70695086371096e-13	209	209	204	2.93473	3.12349796650718
KDM6A_TSS30194	9.49123048862915e-09	-0.393786168220613	1.42625278860306e-05	209	209	209	4.38939	4.79630124401914	1.96317923420648e-20	NA	2.64233592401907e-17	1.96317923420648e-20	209	209	209	4.38939	4.79630124401914
DDX3X_TSS19025,TSS23823	8.38557171287031e-07	-0.341658714636782	0.000892574229070771	209	209	209	53.3757	55.8813286602871	6.95814793027413e-12	NA	6.3550256078893e-09	6.95814793027413e-12	209	209	209	53.3757	55.8813286602871
KDM5C_TSS25329	2.02406960874572e-08	-0.385596444912626	2.72141485394832e-05	209	209	209	13.4051	13.2426683253589	4.41156079897431e-22	NA	6.63628495953941e-19	4.41156079897431e-22	209	209	209	13.4051	13.2426683253589
SMC1A_TSS2103	2.93534473161046e-05	-0.292287707802953	0.0241891343592648	209	209	209	8.94447	9.13164301435407	2.18066674551625e-11	NA	1.74269345884647e-08	2.18066674551625e-11	209	209	209	8.94447	9.13164301435407
RPS4X_TSS23601	1.36255200867129e-09	-0.413813467483469	2.67751950873206e-06	209	209	209	498.094	502.179277511962	2.07956028107839e-18	NA	2.65902975340089e-15	2.07956028107839e-18	209	209	209	498.094	502.179277511962
TSIX_TSS16481	1.65625539842531e-08	-0.387787071723251	2.35059446712072e-05	187	0	0	0.00257387	0.00722574003572445	2.4062018673486e-17	NA	2.79699092516844e-14	2.4062018673486e-17	187	0	0	0.00257387	0.00722574003572445
XIST_TSS26269	4.42536921562628e-10	-0.424840039982859	9.42087349853242e-07	188	122	117	11.0616	10.4128018795971	7.11386306041315e-29	NA	1.39940630803035e-25	7.11386306041315e-29	188	122	117	11.0616	10.4128018795971
RPS4Y1_TSS13858	2.47934413622225e-13	0.489608106625031	6.33373253039335e-09	128	109	100	0.2296	27.7543122277512	1.63017370224143e-29	NA	3.47403600728502e-26	-1.63017370224143e-29	128	109	100	0.2296	27.7543122277512
ZFY_TSS12744,TSS35370	1.70371082548054e-10	0.433896889345644	4.35229967477259e-07	145	95	93	0.0169038	1.21688394866029	5.99230830717642e-31	NA	3.56660984524344e-27	-5.99230830717642e-31	145	95	93	0.0169038	1.21688394866029
LINC00278_TSS31338	3.84825327870111e-12	0.467435718979867	3.95274709846355e-08	95	94	63	0	0.817187094258373	1.20799838307964e-30	NA	4.41316323578508e-27	-1.20799838307964e-30	95	94	63	0	0.817187094258373
PRKY_TSS9055	1.13189687122865e-11	0.458255598198953	5.89869817397646e-08	201	100	90	0.0637497	1.0116384445933	7.47697737516784e-31	NA	3.56660984524344e-27	-7.47697737516784e-31	201	100	90	0.0637497	1.0116384445933
