tracking_ID	pvalue (DLCO)	corr_coef (DLCO)	fdr (DLCO)	fpkm>0_num (DLCO)	fpkm>0.1_num (DLCO)	fpkm>1_num (DLCO)	fpkm_median (DLCO)	fpkm_mean (DLCO)	pvalue (Gender)	corr_coef (Gender)	fdr (Gender)	pval_dir (Gender)	fpkm>0_num (Gender)	fpkm>0.1_num (Gender)	fpkm>1_num (Gender)	fpkm_median (Gender)	fpkm_mean (Gender)
RPS4Y1_TSS13858	2.47934413622225e-13	0.489608106625031	6.33373253039335e-09	128	109	100	0.2296	27.7543122277512	1.63017370224143e-29	NA	3.47403600728502e-26	-1.63017370224143e-29	128	109	100	0.2296	27.7543122277512
ZFY_TSS12744,TSS35370	1.70371082548054e-10	0.433896889345644	4.35229967477259e-07	145	95	93	0.0169038	1.21688394866029	5.99230830717642e-31	NA	3.56660984524344e-27	-5.99230830717642e-31	145	95	93	0.0169038	1.21688394866029
LINC00278_TSS31338	3.84825327870111e-12	0.467435718979867	3.95274709846355e-08	95	94	63	0	0.817187094258373	1.20799838307964e-30	NA	4.41316323578508e-27	-1.20799838307964e-30	95	94	63	0	0.817187094258373
PRKY_TSS9055	1.13189687122865e-11	0.458255598198953	5.89869817397646e-08	201	100	90	0.0637497	1.0116384445933	7.47697737516784e-31	NA	3.56660984524344e-27	-7.47697737516784e-31	201	100	90	0.0637497	1.0116384445933
TTTY15_TSS8327	1.15452481288195e-11	0.458084588028673	5.89869817397646e-08	128	95	23	0.00961993	0.377564908181818	5.33761687995739e-33	NA	1.3649887647115e-28	-5.33761687995739e-33	128	95	23	0.00961993	0.377564908181818
USP9Y_TSS21505	1.41661654732693e-10	0.435617336110021	4.02098736866819e-07	156	98	93	0.0121863	1.29791239784689	1.62444562537836e-30	NA	5.19274349722509e-27	-1.62444562537836e-30	156	98	93	0.0121863	1.29791239784689
DDX3Y_TSS13388,TSS29787,TSS31084	2.84401340386974e-09	0.406375986459214	5.18951188680402e-06	202	137	96	0.162097	6.01407567933014	1.33013188754035e-29	NA	3.09231479636995e-26	-1.33013188754035e-29	202	137	96	0.162097	6.01407567933014
TMSB4Y_TSS24428	3.15521940117203e-07	0.353844881403321	0.000366378340101549	207	183	35	0.400779	0.530061436842105	1.51600732227299e-23	NA	2.5845903501658e-20	-1.51600732227299e-23	207	183	35	0.400779	0.530061436842105
NLGN4Y_TSS10714,TSS21586,TSS22064,TSS27039,TSS36193	3.36205942257288e-09	0.404658911266785	5.72581133393646e-06	99	58	1	0	0.102293099330144	5.13468268027901e-27	NA	9.3792314416268e-24	-5.13468268027901e-27	99	58	1	0	0.102293099330144
TXLNGY_TSS26995	2.19831074730048e-10	0.43150464239852	5.105276940958e-07	123	102	95	0.0609882	2.8640899538756	8.36806752100287e-31	NA	3.56660984524344e-27	-8.36806752100287e-31	123	102	95	0.0609882	2.8640899538756
TTTY14_TSS33631,TSS6044	8.70686554625008e-11	0.44010952329538	2.78031984055631e-07	99	90	39	0	0.541839060287081	7.72403063116641e-31	NA	3.56660984524344e-27	-7.72403063116641e-31	99	90	39	0	0.541839060287081
BCORP1_TSS15103	7.3844377892469e-09	0.396451876510381	1.17901779852563e-05	90	47	3	0	0.0860588280382775	6.64932401282749e-23	NA	1.06276976862523e-19	-6.64932401282749e-23	90	47	3	0	0.0860588280382775
EIF1AY_TSS28363	4.64191704978887e-12	0.465859702886657	3.95274709846355e-08	105	98	95	0.0242544	3.14247865023923	2.36060201972672e-32	NA	3.01838377252358e-28	-2.36060201972672e-32	105	98	95	0.0242544	3.14247865023923
KDM5D_TSS276	3.19708469759565e-11	0.449154124933892	1.36121209474631e-07	139	102	97	0.0341604	4.32308692172249	2.94454867463115e-30	NA	7.88976380899189e-27	-2.94454867463115e-30	139	102	97	0.0341604	4.32308692172249
UTY_TSS10258	4.67115433796208e-11	0.445762339271245	1.70470441025113e-07	142	97	96	0.0182842	1.94158542181818	3.08519290227658e-30	NA	7.88976380899189e-27	-3.08519290227658e-30	142	97	96	0.0182842	1.94158542181818
