tracking_ID	pvalue (Eosinophil)	corr_coef (Eosinophil)	fdr (Eosinophil)	fpkm>0_num (Eosinophil)	fpkm>0.1_num (Eosinophil)	fpkm>1_num (Eosinophil)	fpkm_median (Eosinophil)	fpkm_mean (Eosinophil)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
CD244_TSS25286	0.000218923550488018	0.25541471632877	0.0490868848598616	203	200	90	0.839825	1.19234838373206	4.2295874421405e-06	0.316458796841179	0.00324424953446904	203	200	90	0.839825	1.19234838373206
RGS13_TSS6143	1.89498056917172e-05	0.293886906771617	0.0179398512328142	107	52	2	0.0232004	0.0959608043062201	0.00066948437494512	0.236815193446023	0.041322227724038	107	52	2	0.0232004	0.0959608043062201
FAM89A_TSS4251	6.69807587216962e-07	-0.338861574987766	0.00559370712612746	209	209	209	52.2642	52.008809569378	3.26017838089872e-05	-0.287194756976632	0.00789241781549392	209	209	209	52.2642	52.008809569378
CAMP_TSS10293	8.08789604164068e-05	-0.271768117970762	0.0308559269731906	209	209	209	21.6008	28.4225872248804	0.00019607108788996	-0.258514651168369	0.0207702635928997	209	209	209	21.6008	28.4225872248804
PCOLCE2_TSS16578	7.11876497757194e-05	-0.273790411187322	0.0298620207536725	209	209	209	76.0527	78.2344822966507	4.57491868691608e-05	-0.282015837996394	0.00892667912643222	209	209	209	76.0527	78.2344822966507
ARAP3_TSS4984	8.33423268371466e-05	0.271290427602519	0.0308772514030157	204	181	12	0.284547	0.391841375502392	0.000337852447995329	0.249135594920589	0.0284073895500283	204	181	12	0.284547	0.391841375502392
THEMIS_TSS11521,TSS3012	0.000209107396927907	0.256191888236738	0.0485908561170385	207	201	112	1.08552	2.03631658038277	0.000168990230093327	0.261016568970694	0.0194073045436149	207	201	112	1.08552	2.03631658038277
NEIL2_TSS10908	2.58480283881189e-06	-0.321558211578437	0.00660701453628708	208	208	208	8.38844	8.96137636363636	0.000515658323101062	-0.241592424040512	0.0356937100382748	208	208	208	8.38844	8.96137636363636
AKR1C2_TSS10578,TSS16978	1.68665786391415e-05	-0.29558439724568	0.0172450646638038	209	209	204	4.80833	5.62798925837321	0.000878526931643502	-0.231739147061136	0.0475763281774143	209	209	204	4.80833	5.62798925837321
AKR1C3_TSS27896,TSS3470	5.34931234280567e-05	-0.278261719815585	0.0268105436851874	209	209	209	42.8864	47.3417968899521	3.4363103545515e-06	-0.319267082518972	0.00320545937275026	209	209	209	42.8864	47.3417968899521
STAMBPL1_TSS19314	1.36465523621658e-05	0.298645009342546	0.0170390979014867	205	198	84	0.840054	1.05705898181818	0.000304365868546606	0.250962454820427	0.0270135276594437	205	198	84	0.840054	1.05705898181818
CD81_TSS29419,TSS4378	0.000124836245166702	-0.264769094235253	0.0371039449151869	209	209	209	508.658	516.296110047847	0.000724005167288776	-0.235363799530588	0.0427533421590226	209	209	209	508.658	516.296110047847
