tracking_ID	pvalue (Eosinophil)	corr_coef (Eosinophil)	fdr (Eosinophil)	fpkm>0_num (Eosinophil)	fpkm>0.1_num (Eosinophil)	fpkm>1_num (Eosinophil)	fpkm_median (Eosinophil)	fpkm_mean (Eosinophil)	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)
BCAR3_TSS20817,TSS25925,TSS30848,TSS6545,TSS8550	0.000143212871323422	-0.262514007897531	0.0394850469263889	209	209	209	15.3034	15.3320407655502	0.000259406186752939	0.252518969639968	0.00932585307959475	209	209	209	15.3034	15.3320407655502
F11R_TSS20484	2.3372160639208e-05	-0.290802176239963	0.0192714773580257	209	209	209	29.3644	29.6993894736842	0.000169823219461114	0.259687162802597	0.00671958407530267	209	209	209	29.3644	29.6993894736842
FAM89A_TSS4251	6.69807587216962e-07	-0.338861574987766	0.00559370712612746	209	209	209	52.2642	52.008809569378	0.000433454139982734	0.243543996918108	0.0139189965729883	209	209	209	52.2642	52.008809569378
GGCX_TSS10865	9.02262300091954e-05	-0.270022541813049	0.0320127596052776	209	209	209	3.36708	3.40172468899522	0.000155937662971701	0.261106020217824	0.00633691987793265	209	209	209	3.36708	3.40172468899522
CDCP1_TSS20686	2.56877472172756e-05	-0.28940112733906	0.0202717872322641	209	209	209	25.4915	25.7220516746411	7.81710326682947e-06	0.306533163230952	0.000642710206337105	209	209	209	25.4915	25.7220516746411
PCOLCE2_TSS16578	7.11876497757194e-05	-0.273790411187322	0.0298620207536725	209	209	209	76.0527	78.2344822966507	0.000197219902072958	0.25717993367967	0.00746835246946203	209	209	209	76.0527	78.2344822966507
TRIO_TSS20066	1.96953812977376e-06	-0.325127987532418	0.00559370712612746	209	209	209	17.2778	17.3677658373206	0.000185305420649125	0.258227607517759	0.00716579706083551	209	209	209	17.2778	17.3677658373206
RSPH3_TSS27974	0.000119073669000534	-0.265540545571811	0.0367185185270669	209	208	208	8.89364	8.83784641483254	0.000827129738227376	0.231753451017013	0.0230810734048362	209	208	208	8.89364	8.83784641483254
ASB13_TSS7638	3.72882941683568e-05	-0.283800818140166	0.0226934782675564	209	209	209	14.0488	14.3027149282297	0.000514840421398727	0.240460424678614	0.0160681758380621	209	209	209	14.0488	14.3027149282297
DENND5A_TSS12877	2.8521039318725e-05	-0.287840735844712	0.0202717872322641	209	209	209	60.6601	60.1269454545455	0.000966118151401493	0.228829977237137	0.0257776054989286	209	209	209	60.6601	60.1269454545455
DGAT2_TSS13748	0.000135149039736097	-0.263468120255843	0.0388151079179144	208	207	203	4.8078	5.35869074832536	9.67773208203812e-05	0.26889753452503	0.00444914585879454	208	207	203	4.8078	5.35869074832536
GPD1_TSS9930	1.6508339165268e-06	-0.327421824696987	0.00559370712612746	209	209	209	110.228	115.60521291866	0.0012923260830408	0.223254251070271	0.0317321296912641	209	209	209	110.228	115.60521291866
IRS2_TSS5397	0.000132371242203873	-0.263809152269863	0.0388151079179144	209	209	209	14.0603	14.2529357894737	3.86327122678992e-08	0.372310974664547	1.89902068899956e-05	209	209	209	14.0603	14.2529357894737
CDC42BPB_TSS36222	5.5443442797364e-06	-0.311285472307115	0.0109218554455331	209	209	209	41.6882	41.7747555023923	0.00248986003493028	0.210165901488627	0.0498515588268434	209	209	209	41.6882	41.7747555023923
ATP10A_TSS15275	1.39987111588443e-05	-0.298278751187098	0.0170390979014867	209	209	209	24.3462	24.9744558851675	4.11462002852078e-06	0.315345528018203	0.000392439561750073	209	209	209	24.3462	24.9744558851675
CES1_TSS31413	0.000143660630028331	-0.262462513035015	0.0394850469263889	209	209	209	233.79	241.076084688995	0.0016427172017763	0.218552847851167	0.0373904669586857	209	209	209	233.79	241.076084688995
SPIRE2_TSS12543	9.39240501939061e-05	-0.269378464037516	0.0320127596052776	207	207	206	5.59326	5.68016766028708	7.67366764027354e-05	0.272603043573961	0.00378661425778054	207	207	206	5.59326	5.68016766028708
CXCL16_TSS6101	6.09850005209893e-05	-0.276220385737362	0.0292791021832597	209	209	209	315.966	320.235449760766	0.000247146688780884	0.253348670044941	0.00893538403384466	209	209	209	315.966	320.235449760766
TEX2_TSS29613,TSS29646	3.06350439252961e-05	-0.286769059743674	0.0211638475074187	209	209	209	18.6354	19.2110505263158	0.00109193635630095	0.226499843830902	0.0279669190414915	209	209	209	18.6354	19.2110505263158
PECAM1_TSS5941	0.000186147583751769	-0.258151518601377	0.0446050345747593	209	209	209	146.888	146.438445933014	7.08666083776483e-08	0.365511614707154	2.4578479142825e-05	209	209	209	146.888	146.438445933014
FHL1_TSS10004,TSS15569,TSS18174,TSS32008,TSS33805,TSS765,TSS7962	2.1569878007171e-05	-0.291986558077827	0.0183782550580433	209	209	209	82.498	85.7244406698565	1.27419234470971e-07	0.358783371927329	3.22471589337871e-05	209	209	209	82.498	85.7244406698565
