tracking_ID	pvalue (Eosinophil)	corr_coef (Eosinophil)	fdr (Eosinophil)	fpkm>0_num (Eosinophil)	fpkm>0.1_num (Eosinophil)	fpkm>1_num (Eosinophil)	fpkm_median (Eosinophil)	fpkm_mean (Eosinophil)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
C8B_TSS26053	6.31462290076523e-05	-0.275675317475638	0.0293469229029927	209	209	206	35.4172	40.2890437033493	0.00129794423530497	-0.224252037594616	0.048362613117537	209	209	206	35.4172	40.2890437033493
CAMP_TSS10293	8.08789604164068e-05	-0.271768117970762	0.0308559269731906	209	209	209	21.6008	28.4225872248804	0.000350087238666368	-0.248509876354774	0.0282970707364534	209	209	209	21.6008	28.4225872248804
ALDH2_TSS18042	0.000141334826042655	-0.262731646561749	0.0394850469263889	209	209	209	534.132	536.746153110048	0.000224672652116988	-0.256200521353934	0.0231566841159771	209	209	209	534.132	536.746153110048
IRS2_TSS5397	0.000132371242203873	-0.263809152269863	0.0388151079179144	209	209	209	14.0603	14.2529357894737	0.000826445005758516	-0.232890223640035	0.0403117126777923	209	209	209	14.0603	14.2529357894737
ADPGK_TSS10706	4.7316079612865e-05	-0.280158285318055	0.0257329002337116	209	209	209	73.5863	75.9529516746411	0.000533224584965368	-0.240984706299243	0.0336886256164961	209	209	209	73.5863	75.9529516746411
ST3GAL2_TSS11591	1.56149918849339e-06	-0.328140923839389	0.00559370712612746	209	209	209	15.3721	15.6850083732057	0.000187126668591684	-0.259303269540306	0.022424486845953	209	209	209	15.3721	15.6850083732057
SPIRE2_TSS12543	9.39240501939061e-05	-0.269378464037516	0.0320127596052776	207	207	206	5.59326	5.68016766028708	8.24556381676804e-05	-0.272759933174962	0.0167273695809847	207	207	206	5.59326	5.68016766028708
ABHD15_TSS2981	0.000182125919911154	-0.258517812246065	0.0446050345747593	209	209	209	14.249	14.4183098086124	0.000861330551509042	-0.232112097417015	0.0410755041550795	209	209	209	14.249	14.4183098086124
ZNF835_TSS28207	3.94276340307313e-05	-0.282952138243275	0.0228326052815836	205	195	16	0.524945	0.540037592535885	0.00121022872652872	-0.225612105168817	0.0467040662999731	205	195	16	0.524945	0.540037592535885
FHL1_TSS10004,TSS15569,TSS18174,TSS32008,TSS33805,TSS765,TSS7962	2.1569878007171e-05	-0.291986558077827	0.0183782550580433	209	209	209	82.498	85.7244406698565	0.00121323500736208	-0.225564017504821	0.0467040662999731	209	209	209	82.498	85.7244406698565
