tracking_ID	pvalue (FEV1)	corr_coef (FEV1)	fdr (FEV1)	fpkm>0_num (FEV1)	fpkm>0.1_num (FEV1)	fpkm>1_num (FEV1)	fpkm_median (FEV1)	fpkm_mean (FEV1)	pvalue (Gender)	corr_coef (Gender)	fdr (Gender)	pval_dir (Gender)	fpkm>0_num (Gender)	fpkm>0.1_num (Gender)	fpkm>1_num (Gender)	fpkm_median (Gender)	fpkm_mean (Gender)
RSPO3_TSS19352	1.12856876244523e-07	-0.360187939557134	0.000168514711238386	204	202	136	1.41729	1.73129176746411	1.90166507991042e-05	NA	0.0115788764496546	1.90166507991042e-05	204	202	136	1.41729	1.73129176746411
ARSD_TSS17031	2.70977333584536e-08	-0.376214226241968	7.35482710789676e-05	209	209	209	7.77064	8.02955306220096	1.42948515594157e-17	NA	1.74077256632828e-14	1.42948515594157e-17	209	209	209	7.77064	8.02955306220096
PNPLA4_TSS14006,TSS32314	1.06592647267307e-07	-0.360846516328161	0.000168514711238386	207	207	205	2.72757	2.81114381818182	8.27625705041144e-21	NA	1.17582623083429e-17	8.27625705041144e-21	207	207	205	2.72757	2.81114381818182
ZRSR2_TSS12277	0.000114667649150269	-0.26615433588729	0.0414853362847957	209	209	209	6.74367	7.15188526315789	6.24889025998563e-15	NA	6.94795089646141e-12	6.24889025998563e-15	209	209	209	6.74367	7.15188526315789
SYAP1_TSS1915	8.89552771128703e-05	-0.270249639452502	0.03610964484353	209	209	209	10.2642	10.0367499043062	1.31684902534945e-11	NA	1.12252600417539e-08	1.31684902534945e-11	209	209	209	10.2642	10.0367499043062
EIF1AX_TSS30470	1.36040570348743e-06	-0.329915008588731	0.00144958986699069	209	209	208	7.08966	7.40206279425837	1.61734616961186e-11	NA	1.33420624501562e-08	1.61734616961186e-11	209	209	208	7.08966	7.40206279425837
ZFX_TSS30363,TSS30369,TSS7312,TSS9608	6.2613377207391e-07	-0.339698465932359	0.000762213511871306	209	209	204	2.93473	3.12349796650718	1.70695086371096e-13	NA	1.67891747837232e-10	1.70695086371096e-13	209	209	204	2.93473	3.12349796650718
KDM6A_TSS30194	3.95431703906687e-09	-0.396547965627405	2.81661699582058e-05	209	209	209	4.38939	4.79630124401914	1.96317923420648e-20	NA	2.64233592401907e-17	1.96317923420648e-20	209	209	209	4.38939	4.79630124401914
DDX3X_TSS19025,TSS23823	2.19813497996224e-09	-0.40248685227716	2.80965613138773e-05	209	209	209	53.3757	55.8813286602871	6.95814793027413e-12	NA	6.3550256078893e-09	6.95814793027413e-12	209	209	209	53.3757	55.8813286602871
KDM5C_TSS25329	5.8742763688377e-06	-0.310491568822296	0.0050056667030989	209	209	209	13.4051	13.2426683253589	4.41156079897431e-22	NA	6.63628495953941e-19	4.41156079897431e-22	209	209	209	13.4051	13.2426683253589
SMC1A_TSS2103	1.40039820991499e-06	-0.32954308816291	0.00144958986699069	209	209	209	8.94447	9.13164301435407	2.18066674551625e-11	NA	1.74269345884647e-08	2.18066674551625e-11	209	209	209	8.94447	9.13164301435407
RPS4X_TSS23601	9.3932195933423e-09	-0.387578132122778	4.00213776140338e-05	209	209	209	498.094	502.179277511962	2.07956028107839e-18	NA	2.65902975340089e-15	2.07956028107839e-18	209	209	209	498.094	502.179277511962
TSIX_TSS16481	3.48527925389658e-05	-0.284824730832805	0.0202494724651391	187	0	0	0.00257387	0.00722574003572445	2.4062018673486e-17	NA	2.79699092516844e-14	2.4062018673486e-17	187	0	0	0.00257387	0.00722574003572445
XIST_TSS26269	5.50895203375954e-09	-0.39314203430739	2.81661699582058e-05	188	122	117	11.0616	10.4128018795971	7.11386306041315e-29	NA	1.39940630803035e-25	7.11386306041315e-29	188	122	117	11.0616	10.4128018795971
