tracking_ID	pvalue (FEV1)	corr_coef (FEV1)	fdr (FEV1)	fpkm>0_num (FEV1)	fpkm>0.1_num (FEV1)	fpkm>1_num (FEV1)	fpkm_median (FEV1)	fpkm_mean (FEV1)	pvalue (Gender)	corr_coef (Gender)	fdr (Gender)	pval_dir (Gender)	fpkm>0_num (Gender)	fpkm>0.1_num (Gender)	fpkm>1_num (Gender)	fpkm_median (Gender)	fpkm_mean (Gender)
RSPO3_TSS19352	1.12856876244523e-07	-0.360187939557134	0.000168514711238386	204	202	136	1.41729	1.73129176746411	1.90166507991042e-05	NA	0.0115788764496546	1.90166507991042e-05	204	202	136	1.41729	1.73129176746411
C7orf13_TSS21089	2.1067354247274e-05	0.292333478913936	0.0149796489413367	201	190	18	0.49642	0.536806127272727	5.55825666627563e-05	NA	0.0284282595453333	-5.55825666627563e-05	201	190	18	0.49642	0.536806127272727
ARSD_TSS17031	2.70977333584536e-08	-0.376214226241968	7.35482710789676e-05	209	209	209	7.77064	8.02955306220096	1.42948515594157e-17	NA	1.74077256632828e-14	1.42948515594157e-17	209	209	209	7.77064	8.02955306220096
PNPLA4_TSS14006,TSS32314	1.06592647267307e-07	-0.360846516328161	0.000168514711238386	207	207	205	2.72757	2.81114381818182	8.27625705041144e-21	NA	1.17582623083429e-17	8.27625705041144e-21	207	207	205	2.72757	2.81114381818182
ZRSR2_TSS12277	0.000114667649150269	-0.26615433588729	0.0414853362847957	209	209	209	6.74367	7.15188526315789	6.24889025998563e-15	NA	6.94795089646141e-12	6.24889025998563e-15	209	209	209	6.74367	7.15188526315789
SYAP1_TSS1915	8.89552771128703e-05	-0.270249639452502	0.03610964484353	209	209	209	10.2642	10.0367499043062	1.31684902534945e-11	NA	1.12252600417539e-08	1.31684902534945e-11	209	209	209	10.2642	10.0367499043062
EIF1AX_TSS30470	1.36040570348743e-06	-0.329915008588731	0.00144958986699069	209	209	208	7.08966	7.40206279425837	1.61734616961186e-11	NA	1.33420624501562e-08	1.61734616961186e-11	209	209	208	7.08966	7.40206279425837
ZFX_TSS30363,TSS30369,TSS7312,TSS9608	6.2613377207391e-07	-0.339698465932359	0.000762213511871306	209	209	204	2.93473	3.12349796650718	1.70695086371096e-13	NA	1.67891747837232e-10	1.70695086371096e-13	209	209	204	2.93473	3.12349796650718
KDM6A_TSS30194	3.95431703906687e-09	-0.396547965627405	2.81661699582058e-05	209	209	209	4.38939	4.79630124401914	1.96317923420648e-20	NA	2.64233592401907e-17	1.96317923420648e-20	209	209	209	4.38939	4.79630124401914
DDX3X_TSS19025,TSS23823	2.19813497996224e-09	-0.40248685227716	2.80965613138773e-05	209	209	209	53.3757	55.8813286602871	6.95814793027413e-12	NA	6.3550256078893e-09	6.95814793027413e-12	209	209	209	53.3757	55.8813286602871
KDM5C_TSS25329	5.8742763688377e-06	-0.310491568822296	0.0050056667030989	209	209	209	13.4051	13.2426683253589	4.41156079897431e-22	NA	6.63628495953941e-19	4.41156079897431e-22	209	209	209	13.4051	13.2426683253589
SMC1A_TSS2103	1.40039820991499e-06	-0.32954308816291	0.00144958986699069	209	209	209	8.94447	9.13164301435407	2.18066674551625e-11	NA	1.74269345884647e-08	2.18066674551625e-11	209	209	209	8.94447	9.13164301435407
RPS4X_TSS23601	9.3932195933423e-09	-0.387578132122778	4.00213776140338e-05	209	209	209	498.094	502.179277511962	2.07956028107839e-18	NA	2.65902975340089e-15	2.07956028107839e-18	209	209	209	498.094	502.179277511962
TSIX_TSS16481	3.48527925389658e-05	-0.284824730832805	0.0202494724651391	187	0	0	0.00257387	0.00722574003572445	2.4062018673486e-17	NA	2.79699092516844e-14	2.4062018673486e-17	187	0	0	0.00257387	0.00722574003572445
XIST_TSS26269	5.50895203375954e-09	-0.39314203430739	2.81661699582058e-05	188	122	117	11.0616	10.4128018795971	7.11386306041315e-29	NA	1.39940630803035e-25	7.11386306041315e-29	188	122	117	11.0616	10.4128018795971
RPS4Y1_TSS13858	4.51561319659393e-10	0.417936298526584	1.15437135757727e-05	128	109	100	0.2296	27.7543122277512	1.63017370224143e-29	NA	3.47403600728502e-26	-1.63017370224143e-29	128	109	100	0.2296	27.7543122277512
ZFY_TSS12744,TSS35370	1.18653763193982e-07	0.359609057817843	0.000168514711238386	145	95	93	0.0169038	1.21688394866029	5.99230830717642e-31	NA	3.56660984524344e-27	-5.99230830717642e-31	145	95	93	0.0169038	1.21688394866029
LINC00278_TSS31338	2.92461997159027e-08	0.375378811576599	7.35482710789676e-05	95	94	63	0	0.817187094258373	1.20799838307964e-30	NA	4.41316323578508e-27	-1.20799838307964e-30	95	94	63	0	0.817187094258373
PRKY_TSS9055	3.56056961764855e-08	0.373213563110241	7.35482710789676e-05	201	100	90	0.0637497	1.0116384445933	7.47697737516784e-31	NA	3.56660984524344e-27	-7.47697737516784e-31	201	100	90	0.0637497	1.0116384445933
TTTY15_TSS8327	2.31972534217199e-08	0.377908654141092	7.35482710789676e-05	128	95	23	0.00961993	0.377564908181818	5.33761687995739e-33	NA	1.3649887647115e-28	-5.33761687995739e-33	128	95	23	0.00961993	0.377564908181818
USP9Y_TSS21505	8.62352436897279e-08	0.363277792841786	0.00014696785131228	156	98	93	0.0121863	1.29791239784689	1.62444562537836e-30	NA	5.19274349722509e-27	-1.62444562537836e-30	156	98	93	0.0121863	1.29791239784689
DDX3Y_TSS13388,TSS29787,TSS31084	5.39512862805502e-06	0.311659375537682	0.0047558989050896	202	137	96	0.162097	6.01407567933014	1.33013188754035e-29	NA	3.09231479636995e-26	-1.33013188754035e-29	202	137	96	0.162097	6.01407567933014
TMSB4Y_TSS24428	1.41760861660019e-06	0.329386146581392	0.00144958986699069	207	183	35	0.400779	0.530061436842105	1.51600732227299e-23	NA	2.5845903501658e-20	-1.51600732227299e-23	207	183	35	0.400779	0.530061436842105
NLGN4Y_TSS10714,TSS21586,TSS22064,TSS27039,TSS36193	2.09636902945702e-06	0.324312500937478	0.00206121453342459	99	58	1	0	0.102293099330144	5.13468268027901e-27	NA	9.3792314416268e-24	-5.13468268027901e-27	99	58	1	0	0.102293099330144
TXLNGY_TSS26995	3.44082415199418e-08	0.3735911697013	7.35482710789676e-05	123	102	95	0.0609882	2.8640899538756	8.36806752100287e-31	NA	3.56660984524344e-27	-8.36806752100287e-31	123	102	95	0.0609882	2.8640899538756
TTTY14_TSS33631,TSS6044	2.46951395019967e-08	0.377227619198374	7.35482710789676e-05	99	90	39	0	0.541839060287081	7.72403063116641e-31	NA	3.56660984524344e-27	-7.72403063116641e-31	99	90	39	0	0.541839060287081
BCORP1_TSS15103	6.05160359841006e-07	0.34012041616353	0.000762213511871306	90	47	3	0	0.0860588280382775	6.64932401282749e-23	NA	1.06276976862523e-19	-6.64932401282749e-23	90	47	3	0	0.0860588280382775
EIF1AY_TSS28363	3.74013270234149e-08	0.372669637580007	7.35482710789676e-05	105	98	95	0.0242544	3.14247865023923	2.36060201972672e-32	NA	3.01838377252358e-28	-2.36060201972672e-32	105	98	95	0.0242544	3.14247865023923
KDM5D_TSS276	5.32402297331423e-09	0.393494570605836	2.81661699582058e-05	139	102	97	0.0341604	4.32308692172249	2.94454867463115e-30	NA	7.88976380899189e-27	-2.94454867463115e-30	139	102	97	0.0341604	4.32308692172249
UTY_TSS10258	6.48468197446674e-08	0.36651635053181	0.000118410292853763	142	97	96	0.0182842	1.94158542181818	3.08519290227658e-30	NA	7.88976380899189e-27	-3.08519290227658e-30	142	97	96	0.0182842	1.94158542181818
