tracking_ID	pvalue (FVC)	corr_coef (FVC)	fdr (FVC)	fpkm>0_num (FVC)	fpkm>0.1_num (FVC)	fpkm>1_num (FVC)	fpkm_median (FVC)	fpkm_mean (FVC)	pvalue (Gender)	corr_coef (Gender)	fdr (Gender)	pval_dir (Gender)	fpkm>0_num (Gender)	fpkm>0.1_num (Gender)	fpkm>1_num (Gender)	fpkm_median (Gender)	fpkm_mean (Gender)
RSPO3_TSS19352	1.84869324568291e-07	-0.354433465519953	0.000162965497009096	204	202	136	1.41729	1.73129176746411	1.90166507991042e-05	NA	0.0115788764496546	1.90166507991042e-05	204	202	136	1.41729	1.73129176746411
C7orf13_TSS21089	1.18774912596843e-05	0.300632217093903	0.00948863083008032	201	190	18	0.49642	0.536806127272727	5.55825666627563e-05	NA	0.0284282595453333	-5.55825666627563e-05	201	190	18	0.49642	0.536806127272727
ITGA3_TSS33585	2.29194537371398e-05	-0.291091341894127	0.0167403690096069	209	207	187	2.83925	3.74535256172249	6.99034159458681e-06	NA	0.00458369245124022	6.99034159458681e-06	209	207	187	2.83925	3.74535256172249
EDEM2_TSS6274	3.48905269279331e-05	-0.284808359017888	0.0247761508440467	209	209	209	78.9572	81.3121057416268	3.79810612205457e-07	NA	0.000285673434880298	3.79810612205457e-07	209	209	209	78.9572	81.3121057416268
ARSD_TSS17031	6.89643555525575e-11	-0.435316479027495	9.79447102969767e-08	209	209	209	7.77064	8.02955306220096	1.42948515594157e-17	NA	1.74077256632828e-14	1.42948515594157e-17	209	209	209	7.77064	8.02955306220096
STS_TSS28245	8.14582879316698e-05	-0.271654560702773	0.0462755482818935	209	209	209	3.40175	3.49937306220096	1.12359932464983e-11	NA	9.90820880319655e-09	1.12359932464983e-11	209	209	209	3.40175	3.49937306220096
PNPLA4_TSS14006,TSS32314	6.48910745604111e-11	-0.435863370811538	9.75809076507264e-08	207	207	205	2.72757	2.81114381818182	8.27625705041144e-21	NA	1.17582623083429e-17	8.27625705041144e-21	207	207	205	2.72757	2.81114381818182
ZRSR2_TSS12277	1.78161097047893e-07	-0.354868389003896	0.000162661081604726	209	209	209	6.74367	7.15188526315789	6.24889025998563e-15	NA	6.94795089646141e-12	6.24889025998563e-15	209	209	209	6.74367	7.15188526315789
SYAP1_TSS1915	1.03870176867955e-07	-0.361144407039346	0.000102128353902015	209	209	209	10.2642	10.0367499043062	1.31684902534945e-11	NA	1.12252600417539e-08	1.31684902534945e-11	209	209	209	10.2642	10.0367499043062
EIF1AX_TSS30470	4.32367401044731e-08	-0.371060947355485	4.421216096123e-05	209	209	208	7.08966	7.40206279425837	1.61734616961186e-11	NA	1.33420624501562e-08	1.61734616961186e-11	209	209	208	7.08966	7.40206279425837
ZFX_TSS30363,TSS30369,TSS7312,TSS9608	2.06361693454494e-08	-0.379177772811609	2.293665361509e-05	209	209	204	2.93473	3.12349796650718	1.70695086371096e-13	NA	1.67891747837232e-10	1.70695086371096e-13	209	209	204	2.93473	3.12349796650718
KDM6A_TSS30194	5.86902704273486e-12	-0.456706898060314	1.15412159477288e-08	209	209	209	4.38939	4.79630124401914	1.96317923420648e-20	NA	2.64233592401907e-17	1.96317923420648e-20	209	209	209	4.38939	4.79630124401914
DDX3X_TSS19025,TSS23823	1.46526642461797e-10	-0.428464468658751	1.87290354394669e-07	209	209	209	53.3757	55.8813286602871	6.95814793027413e-12	NA	6.3550256078893e-09	6.95814793027413e-12	209	209	209	53.3757	55.8813286602871
KDM5C_TSS25329	8.28881480989374e-09	-0.388891636260773	9.63160280909653e-06	209	209	209	13.4051	13.2426683253589	4.41156079897431e-22	NA	6.63628495953941e-19	4.41156079897431e-22	209	209	209	13.4051	13.2426683253589
SMC1A_TSS2103	2.88265178473959e-08	-0.375537250530919	3.07050459271179e-05	209	209	209	8.94447	9.13164301435407	2.18066674551625e-11	NA	1.74269345884647e-08	2.18066674551625e-11	209	209	209	8.94447	9.13164301435407
RPS4X_TSS23601	2.07640745764673e-09	-0.403056869816282	2.52768001177528e-06	209	209	209	498.094	502.179277511962	2.07956028107839e-18	NA	2.65902975340089e-15	2.07956028107839e-18	209	209	209	498.094	502.179277511962
TSIX_TSS16481	1.76167401253236e-07	-0.355000680578137	0.000162661081604726	187	0	0	0.00257387	0.00722574003572445	2.4062018673486e-17	NA	2.79699092516844e-14	2.4062018673486e-17	187	0	0	0.00257387	0.00722574003572445
XIST_TSS26269	1.03626303986737e-12	-0.470916352784853	2.40827530465177e-09	188	122	117	11.0616	10.4128018795971	7.11386306041315e-29	NA	1.39940630803035e-25	7.11386306041315e-29	188	122	117	11.0616	10.4128018795971
RPS4Y1_TSS13858	3.30344803155156e-16	0.52944089758998	8.44493454785842e-12	128	109	100	0.2296	27.7543122277512	1.63017370224143e-29	NA	3.47403600728502e-26	-1.63017370224143e-29	128	109	100	0.2296	27.7543122277512
ZFY_TSS12744,TSS35370	2.47534622649719e-13	0.482174203325058	9.03996441916773e-10	145	95	93	0.0169038	1.21688394866029	5.99230830717642e-31	NA	3.56660984524344e-27	-5.99230830717642e-31	145	95	93	0.0169038	1.21688394866029
LINC00278_TSS31338	1.07008626998779e-13	0.488581777223799	4.55928090099465e-10	95	94	63	0	0.817187094258373	1.20799838307964e-30	NA	4.41316323578508e-27	-1.20799838307964e-30	95	94	63	0	0.817187094258373
PRKY_TSS9055	3.72579844974351e-14	0.496457578354538	2.38115778923108e-10	201	100	90	0.0637497	1.0116384445933	7.47697737516784e-31	NA	3.56660984524344e-27	-7.47697737516784e-31	201	100	90	0.0637497	1.0116384445933
TTTY15_TSS8327	2.39179136952186e-14	0.499706990958503	2.03812515234856e-10	128	95	23	0.00961993	0.377564908181818	5.33761687995739e-33	NA	1.3649887647115e-28	-5.33761687995739e-33	128	95	23	0.00961993	0.377564908181818
USP9Y_TSS21505	1.79067829178411e-12	0.466504687321113	3.81474165426408e-09	156	98	93	0.0121863	1.29791239784689	1.62444562537836e-30	NA	5.19274349722509e-27	-1.62444562537836e-30	156	98	93	0.0121863	1.29791239784689
DDX3Y_TSS13388,TSS29787,TSS31084	1.07350275312166e-10	0.431311748879277	1.44436970425274e-07	202	137	96	0.162097	6.01407567933014	1.33013188754035e-29	NA	3.09231479636995e-26	-1.33013188754035e-29	202	137	96	0.162097	6.01407567933014
TMSB4Y_TSS24428	5.37423943072379e-11	0.437550604080353	8.58669105043893e-08	207	183	35	0.400779	0.530061436842105	1.51600732227299e-23	NA	2.5845903501658e-20	-1.51600732227299e-23	207	183	35	0.400779	0.530061436842105
NLGN4Y_TSS10714,TSS21586,TSS22064,TSS27039,TSS36193	3.11949152398154e-11	0.442367781724446	5.31644542127094e-08	99	58	1	0	0.102293099330144	5.13468268027901e-27	NA	9.3792314416268e-24	-5.13468268027901e-27	99	58	1	0	0.102293099330144
TXLNGY_TSS26995	4.68636706002939e-13	0.477206477386506	1.22315900441333e-09	123	102	95	0.0609882	2.8640899538756	8.36806752100287e-31	NA	3.56660984524344e-27	-8.36806752100287e-31	123	102	95	0.0609882	2.8640899538756
TTTY14_TSS33631,TSS6044	2.09651413212146e-14	0.500666381611364	2.03812515234856e-10	99	90	39	0	0.541839060287081	7.72403063116641e-31	NA	3.56660984524344e-27	-7.72403063116641e-31	99	90	39	0	0.541839060287081
BCORP1_TSS15103	2.12527683276774e-11	0.445721497872146	3.88075549663389e-08	90	47	3	0	0.0860588280382775	6.64932401282749e-23	NA	1.06276976862523e-19	-6.64932401282749e-23	90	47	3	0	0.0860588280382775
