tracking_ID	pvalue (FVC)	corr_coef (FVC)	fdr (FVC)	fpkm>0_num (FVC)	fpkm>0.1_num (FVC)	fpkm>1_num (FVC)	fpkm_median (FVC)	fpkm_mean (FVC)	pvalue (Gender)	corr_coef (Gender)	fdr (Gender)	pval_dir (Gender)	fpkm>0_num (Gender)	fpkm>0.1_num (Gender)	fpkm>1_num (Gender)	fpkm_median (Gender)	fpkm_mean (Gender)
RSPO3_TSS19352	1.84869324568291e-07	-0.354433465519953	0.000162965497009096	204	202	136	1.41729	1.73129176746411	1.90166507991042e-05	NA	0.0115788764496546	1.90166507991042e-05	204	202	136	1.41729	1.73129176746411
ITGA3_TSS33585	2.29194537371398e-05	-0.291091341894127	0.0167403690096069	209	207	187	2.83925	3.74535256172249	6.99034159458681e-06	NA	0.00458369245124022	6.99034159458681e-06	209	207	187	2.83925	3.74535256172249
EDEM2_TSS6274	3.48905269279331e-05	-0.284808359017888	0.0247761508440467	209	209	209	78.9572	81.3121057416268	3.79810612205457e-07	NA	0.000285673434880298	3.79810612205457e-07	209	209	209	78.9572	81.3121057416268
ARSD_TSS17031	6.89643555525575e-11	-0.435316479027495	9.79447102969767e-08	209	209	209	7.77064	8.02955306220096	1.42948515594157e-17	NA	1.74077256632828e-14	1.42948515594157e-17	209	209	209	7.77064	8.02955306220096
STS_TSS28245	8.14582879316698e-05	-0.271654560702773	0.0462755482818935	209	209	209	3.40175	3.49937306220096	1.12359932464983e-11	NA	9.90820880319655e-09	1.12359932464983e-11	209	209	209	3.40175	3.49937306220096
PNPLA4_TSS14006,TSS32314	6.48910745604111e-11	-0.435863370811538	9.75809076507264e-08	207	207	205	2.72757	2.81114381818182	8.27625705041144e-21	NA	1.17582623083429e-17	8.27625705041144e-21	207	207	205	2.72757	2.81114381818182
ZRSR2_TSS12277	1.78161097047893e-07	-0.354868389003896	0.000162661081604726	209	209	209	6.74367	7.15188526315789	6.24889025998563e-15	NA	6.94795089646141e-12	6.24889025998563e-15	209	209	209	6.74367	7.15188526315789
SYAP1_TSS1915	1.03870176867955e-07	-0.361144407039346	0.000102128353902015	209	209	209	10.2642	10.0367499043062	1.31684902534945e-11	NA	1.12252600417539e-08	1.31684902534945e-11	209	209	209	10.2642	10.0367499043062
EIF1AX_TSS30470	4.32367401044731e-08	-0.371060947355485	4.421216096123e-05	209	209	208	7.08966	7.40206279425837	1.61734616961186e-11	NA	1.33420624501562e-08	1.61734616961186e-11	209	209	208	7.08966	7.40206279425837
ZFX_TSS30363,TSS30369,TSS7312,TSS9608	2.06361693454494e-08	-0.379177772811609	2.293665361509e-05	209	209	204	2.93473	3.12349796650718	1.70695086371096e-13	NA	1.67891747837232e-10	1.70695086371096e-13	209	209	204	2.93473	3.12349796650718
KDM6A_TSS30194	5.86902704273486e-12	-0.456706898060314	1.15412159477288e-08	209	209	209	4.38939	4.79630124401914	1.96317923420648e-20	NA	2.64233592401907e-17	1.96317923420648e-20	209	209	209	4.38939	4.79630124401914
DDX3X_TSS19025,TSS23823	1.46526642461797e-10	-0.428464468658751	1.87290354394669e-07	209	209	209	53.3757	55.8813286602871	6.95814793027413e-12	NA	6.3550256078893e-09	6.95814793027413e-12	209	209	209	53.3757	55.8813286602871
KDM5C_TSS25329	8.28881480989374e-09	-0.388891636260773	9.63160280909653e-06	209	209	209	13.4051	13.2426683253589	4.41156079897431e-22	NA	6.63628495953941e-19	4.41156079897431e-22	209	209	209	13.4051	13.2426683253589
SMC1A_TSS2103	2.88265178473959e-08	-0.375537250530919	3.07050459271179e-05	209	209	209	8.94447	9.13164301435407	2.18066674551625e-11	NA	1.74269345884647e-08	2.18066674551625e-11	209	209	209	8.94447	9.13164301435407
RPS4X_TSS23601	2.07640745764673e-09	-0.403056869816282	2.52768001177528e-06	209	209	209	498.094	502.179277511962	2.07956028107839e-18	NA	2.65902975340089e-15	2.07956028107839e-18	209	209	209	498.094	502.179277511962
TSIX_TSS16481	1.76167401253236e-07	-0.355000680578137	0.000162661081604726	187	0	0	0.00257387	0.00722574003572445	2.4062018673486e-17	NA	2.79699092516844e-14	2.4062018673486e-17	187	0	0	0.00257387	0.00722574003572445
XIST_TSS26269	1.03626303986737e-12	-0.470916352784853	2.40827530465177e-09	188	122	117	11.0616	10.4128018795971	7.11386306041315e-29	NA	1.39940630803035e-25	7.11386306041315e-29	188	122	117	11.0616	10.4128018795971
