tracking_ID	pvalue (FVC)	corr_coef (FVC)	fdr (FVC)	fpkm>0_num (FVC)	fpkm>0.1_num (FVC)	fpkm>1_num (FVC)	fpkm_median (FVC)	fpkm_mean (FVC)	pvalue (Gender)	corr_coef (Gender)	fdr (Gender)	pval_dir (Gender)	fpkm>0_num (Gender)	fpkm>0.1_num (Gender)	fpkm>1_num (Gender)	fpkm_median (Gender)	fpkm_mean (Gender)
C7orf13_TSS21089	1.18774912596843e-05	0.300632217093903	0.00948863083008032	201	190	18	0.49642	0.536806127272727	5.55825666627563e-05	NA	0.0284282595453333	-5.55825666627563e-05	201	190	18	0.49642	0.536806127272727
RPS4Y1_TSS13858	3.30344803155156e-16	0.52944089758998	8.44493454785842e-12	128	109	100	0.2296	27.7543122277512	1.63017370224143e-29	NA	3.47403600728502e-26	-1.63017370224143e-29	128	109	100	0.2296	27.7543122277512
ZFY_TSS12744,TSS35370	2.47534622649719e-13	0.482174203325058	9.03996441916773e-10	145	95	93	0.0169038	1.21688394866029	5.99230830717642e-31	NA	3.56660984524344e-27	-5.99230830717642e-31	145	95	93	0.0169038	1.21688394866029
LINC00278_TSS31338	1.07008626998779e-13	0.488581777223799	4.55928090099465e-10	95	94	63	0	0.817187094258373	1.20799838307964e-30	NA	4.41316323578508e-27	-1.20799838307964e-30	95	94	63	0	0.817187094258373
PRKY_TSS9055	3.72579844974351e-14	0.496457578354538	2.38115778923108e-10	201	100	90	0.0637497	1.0116384445933	7.47697737516784e-31	NA	3.56660984524344e-27	-7.47697737516784e-31	201	100	90	0.0637497	1.0116384445933
TTTY15_TSS8327	2.39179136952186e-14	0.499706990958503	2.03812515234856e-10	128	95	23	0.00961993	0.377564908181818	5.33761687995739e-33	NA	1.3649887647115e-28	-5.33761687995739e-33	128	95	23	0.00961993	0.377564908181818
USP9Y_TSS21505	1.79067829178411e-12	0.466504687321113	3.81474165426408e-09	156	98	93	0.0121863	1.29791239784689	1.62444562537836e-30	NA	5.19274349722509e-27	-1.62444562537836e-30	156	98	93	0.0121863	1.29791239784689
DDX3Y_TSS13388,TSS29787,TSS31084	1.07350275312166e-10	0.431311748879277	1.44436970425274e-07	202	137	96	0.162097	6.01407567933014	1.33013188754035e-29	NA	3.09231479636995e-26	-1.33013188754035e-29	202	137	96	0.162097	6.01407567933014
TMSB4Y_TSS24428	5.37423943072379e-11	0.437550604080353	8.58669105043893e-08	207	183	35	0.400779	0.530061436842105	1.51600732227299e-23	NA	2.5845903501658e-20	-1.51600732227299e-23	207	183	35	0.400779	0.530061436842105
NLGN4Y_TSS10714,TSS21586,TSS22064,TSS27039,TSS36193	3.11949152398154e-11	0.442367781724446	5.31644542127094e-08	99	58	1	0	0.102293099330144	5.13468268027901e-27	NA	9.3792314416268e-24	-5.13468268027901e-27	99	58	1	0	0.102293099330144
TXLNGY_TSS26995	4.68636706002939e-13	0.477206477386506	1.22315900441333e-09	123	102	95	0.0609882	2.8640899538756	8.36806752100287e-31	NA	3.56660984524344e-27	-8.36806752100287e-31	123	102	95	0.0609882	2.8640899538756
TTTY14_TSS33631,TSS6044	2.09651413212146e-14	0.500666381611364	2.03812515234856e-10	99	90	39	0	0.541839060287081	7.72403063116641e-31	NA	3.56660984524344e-27	-7.72403063116641e-31	99	90	39	0	0.541839060287081
BCORP1_TSS15103	2.12527683276774e-11	0.445721497872146	3.88075549663389e-08	90	47	3	0	0.0860588280382775	6.64932401282749e-23	NA	1.06276976862523e-19	-6.64932401282749e-23	90	47	3	0	0.0860588280382775
EIF1AY_TSS28363	4.78469333599329e-13	0.477043514485039	1.22315900441333e-09	105	98	95	0.0242544	3.14247865023923	2.36060201972672e-32	NA	3.01838377252358e-28	-2.36060201972672e-32	105	98	95	0.0242544	3.14247865023923
KDM5D_TSS276	9.87128045743908e-14	0.489191337006571	4.55928090099465e-10	139	102	97	0.0341604	4.32308692172249	2.94454867463115e-30	NA	7.88976380899189e-27	-2.94454867463115e-30	139	102	97	0.0341604	4.32308692172249
UTY_TSS10258	2.87579113473282e-13	0.481014343476306	9.18959057103873e-10	142	97	96	0.0182842	1.94158542181818	3.08519290227658e-30	NA	7.88976380899189e-27	-3.08519290227658e-30	142	97	96	0.0182842	1.94158542181818
