tracking_ID	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
LCK_TSS12239,TSS13245	8.22877669454499e-05	NA	0.0187799786686843	-8.22877669454499e-05	203	203	197	6.40246	10.8024079655172	0.000446263593889258	0.244197194111029	0.0329680454433622	209	209	202	6.49815	10.9743441435407
IL12RB2_TSS14387	2.10184754158886e-05	NA	0.0123729780967011	-2.10184754158886e-05	196	176	57	0.425147	0.832462785812808	0.000518069184468525	0.241507894961936	0.0356937100382748	202	182	60	0.427339	0.851976265645933
PDE4B_TSS15460,TSS15932,TSS27165,TSS28364,TSS3070,TSS891	5.66779167077771e-05	NA	0.0157372102865706	-5.66779167077771e-05	203	203	203	7.58832	8.94915295566502	1.4799396078217e-05	0.298889385291439	0.00556304945816625	209	209	209	7.59199	8.94947110047847
GBP5_TSS22297	4.1233207073926e-05	NA	0.0143356084598937	-4.1233207073926e-05	203	203	203	21.6961	26.9334249261084	0.000325189927888748	0.249805749275122	0.027755263846762	209	209	209	22.3408	27.0769605741627
RORC_TSS17590,TSS30208	8.90901627387267e-05	NA	0.0188559572873759	-8.90901627387267e-05	197	185	76	0.691258	1.29109206551724	0.000846398615476601	0.232441538012948	0.0467429838148191	203	189	79	0.691258	1.31739192822967
SLAMF6_TSS3563	5.72575625621479e-05	NA	0.0157372102865706	-5.72575625621479e-05	202	202	191	2.78424	3.58289521182266	8.29447094461302e-05	0.272665319946071	0.0130070534855984	208	208	197	2.78856	3.63012554066986
SLAMF1_TSS19229	1.44103811545934e-05	NA	0.0113954492392685	-1.44103811545934e-05	200	199	128	1.44828	2.22318589408867	0.000205967441287035	0.257680281385417	0.021143509103365	206	205	132	1.45628	2.25817467703349
LY9_TSS34264	0.000507604045686289	NA	0.0491472235294971	-0.000507604045686289	201	196	126	1.4132	2.22976234827586	0.000514260847512314	0.241641589547701	0.0356937100382748	207	202	131	1.42059	2.26430950574163
SLAMF7_TSS33865	7.1523660597099e-05	NA	0.0179236891031612	-7.1523660597099e-05	202	202	187	4.59414	7.1301602955665	0.000535042460879289	0.240922876831822	0.0362154534069522	208	208	193	4.72702	7.22473119617225
CD84_TSS10719	8.82274583916206e-05	NA	0.0188559572873759	-8.82274583916206e-05	203	203	203	10.9141	11.9698117241379	3.81304528487314e-05	0.284812933308026	0.00832858924536602	209	209	209	10.9982	12.0963051674641
FASLG_TSS4455	6.58718170926128e-05	NA	0.0173582424402503	-6.58718170926128e-05	191	180	77	0.680145	1.18337840394089	7.94394964447302e-05	0.273355324675915	0.0126121302398991	196	185	81	0.691387	1.19454288516746
PTPN7_TSS11819,TSS26362	8.99975270552739e-05	NA	0.0188559572873759	-8.99975270552739e-05	203	202	179	3.06809	4.48017197142857	1.58913330975658e-05	0.297855936381721	0.0055643611685874	209	208	184	3.07511	4.5467001062201
