tracking_ID	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
CD84_TSS10719	8.82274583916206e-05	NA	0.0188559572873759	-8.82274583916206e-05	203	203	203	10.9141	11.9698117241379	0.000518440145972535	0.241494920708767	0.0334642640686969	209	209	209	10.9982	12.0963051674641
RASGRP3_TSS12780,TSS24643,TSS6969	7.90654666773556e-05	NA	0.0185412146214669	-7.90654666773556e-05	203	201	163	1.57884	1.77677130285714	0.000203451975981035	0.257888759766915	0.0228071262933537	209	207	169	1.57884	1.78048691138756
SLC40A1_TSS18329	0.000287442494585743	NA	0.0371076646672028	-0.000287442494585743	202	198	153	2.06438	3.79549850039409	0.000167777302101778	0.261137190505546	0.0216184067865948	208	204	159	2.12227	3.96547404583732
MREG_TSS21609	0.000236320477075979	NA	0.0331902138646421	-0.000236320477075979	201	201	189	2.51997	3.41061443349754	0.000609101617590026	0.238555856072263	0.035627566240775	207	207	195	2.5546	3.47642358851675
ST6GAL1_TSS18437,TSS23896	2.6570963687885e-05	NA	0.0123729780967011	-2.6570963687885e-05	203	202	200	3.67524	4.72293987778325	0.00108390746219885	0.227738831049665	0.045050014050837	209	208	206	3.70036	4.80735480952153
OXCT1_TSS11306	0.000327037012490156	NA	0.0396248364932871	-0.000327037012490156	197	188	35	0.473595	0.634527352364532	0.000173540514356383	0.260571148602368	0.0216608810555132	203	194	38	0.502368	0.647026571913876
ABCA1_TSS19198	5.33150887653222e-05	NA	0.0154862157264818	-5.33150887653222e-05	203	203	199	5.7916	6.3298106502463	0.000116386996282117	0.267186875647047	0.0184780621861317	209	209	205	5.8488	6.4192870430622
NFE2_TSS25490,TSS3434	0.000236321698030783	NA	0.0331902138646421	0.000236321698030783	202	201	199	7.9059	8.52174003152709	0.000357800806788502	-0.248125738092777	0.0286700514806298	208	207	205	7.90111	8.5213067291866
PLXNC1_TSS1135,TSS5112	5.22367986234826e-05	NA	0.0154862157264818	-5.22367986234826e-05	203	203	172	2.1798	2.96388399507389	0.000242680156674435	0.254880661684508	0.0237276904813522	209	209	178	2.22571	2.99771364114833
CMKLR1_TSS22814,TSS7058	9.93030972893724e-07	NA	0.00587255904482368	-9.93030972893724e-07	203	202	166	2.10195	3.39936411576355	8.06471643901231e-05	0.273114424520631	0.01662407034384	209	208	172	2.14495	3.48928969138756
PPARA_TSS23356	0.000211075724165104	NA	0.0304819581095155	-0.000211075724165104	203	203	198	1.96839	1.97380654679803	0.00138831881646708	0.2229361178048	0.0490038178743568	209	209	204	1.97622	1.97858903827751
