tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)
TNFRSF25_TSS14993	3.79213644613554e-09	0.396975418903432	9.69307996996705e-07	206	204	168	2.41287	4.21214826315789	2.95266925788817e-05	NA	0.0123729780967011	-2.95266925788817e-05	200	198	164	2.41287	4.11289273399015
ZNF683_TSS31649	3.72004278594158e-09	0.397171133889742	9.60484986378312e-07	202	196	146	2.02632	3.59122206124402	0.000254624815514452	NA	0.0349917468245425	-0.000254624815514452	196	191	141	2.09455	3.61967443596059
LCK_TSS12239,TSS13245	4.14859571509901e-14	0.495664360848825	5.30211275368229e-10	209	209	202	6.49815	10.9743441435407	8.22877669454499e-05	NA	0.0187799786686843	-8.22877669454499e-05	203	203	197	6.40246	10.8024079655172
MACF1_TSS9046	0.002309063978275	0.211709501573143	0.0312947955189222	209	209	209	8.32492	8.68260076555024	0.000339329771385021	NA	0.0403386774175306	-0.000339329771385021	203	203	203	8.3227	8.63737738916256
RIMS3_TSS9319	1.80912240090238e-06	0.326234333955087	0.000144964495878618	203	169	6	0.209124	0.28015598645933	8.64726098177699e-05	NA	0.0188559572873759	-8.64726098177699e-05	197	163	5	0.208581	0.276806508226601
IL23R_TSS32594	9.76504934455771e-05	0.268753012184965	0.00331479981801115	164	106	10	0.101894	0.237982161483254	3.99022508345427e-05	NA	0.0142598238778773	-3.99022508345427e-05	160	102	9	0.101404	0.234118082512315
IL12RB2_TSS14387	3.23538276415885e-07	0.347766771509893	3.50422113706205e-05	202	182	60	0.427339	0.851976265645933	2.10184754158886e-05	NA	0.0123729780967011	-2.10184754158886e-05	196	176	57	0.425147	0.832462785812808
PDE4B_TSS15460,TSS15932,TSS27165,TSS28364,TSS3070,TSS891	0.0002418165555716	0.253721417486161	0.00664511402908956	209	209	209	7.59199	8.94947110047847	5.66779167077771e-05	NA	0.0157372102865706	-5.66779167077771e-05	203	203	203	7.58832	8.94915295566502
GBP5_TSS22297	8.6348691734163e-07	0.335686861635627	7.96808270547632e-05	209	209	209	22.3408	27.0769605741627	4.1233207073926e-05	NA	0.0143356084598937	-4.1233207073926e-05	203	203	203	21.6961	26.9334249261084
TGFBR3_TSS18765,TSS27510	5.99719267159318e-08	0.367398050691983	9.07066519991677e-06	203	159	9	0.210875	0.335963830382775	0.000192873843904556	NA	0.0286630716514206	-0.000192873843904556	197	154	8	0.208128	0.331431577586207
CDC14A_TSS9031	0.00034821458534878	0.247412193929346	0.00848495044432809	208	207	172	1.6327	1.84768783205742	7.90654666773556e-05	NA	0.0185412146214669	-7.90654666773556e-05	202	201	168	1.63106	1.83846896995074
VCAM1_TSS33181	0.00237402137096054	0.211142658781827	0.0319212836733943	182	143	29	0.225804	0.43603979138756	0.000125507823548481	NA	0.0234168283045455	-0.000125507823548481	177	139	27	0.22404	0.426608116256158
KCNA2_TSS22796,TSS2982	0.000952069140080492	0.229107244244757	0.0171138110334722	199	185	27	0.413888	0.527230886124402	9.35492750207843e-05	NA	0.0191297041504501	-9.35492750207843e-05	193	179	26	0.413888	0.524397045320197
RORC_TSS17590,TSS30208	3.67272416871371e-09	0.397301593258431	9.57943902821338e-07	203	189	79	0.691258	1.31739192822967	8.90901627387267e-05	NA	0.0188559572873759	-8.90901627387267e-05	197	185	76	0.691258	1.29109206551724
ATP8B2_TSS17424,TSS2604	3.03794251260063e-09	0.399228758555109	8.26094133665796e-07	208	207	147	1.77171	3.02949454641148	0.000144023098888567	NA	0.0257719679398522	-0.000144023098888567	202	201	143	1.75591	2.98778657241379
SH2D2A_TSS15501,TSS20285	1.61709684741286e-09	0.40554569423355	4.75110488697933e-07	204	202	154	1.75065	2.99199701722488	0.000234090000834361	NA	0.0331902138646421	-0.000234090000834361	198	196	150	1.74019	2.95327428374384
SLAMF6_TSS3563	2.94243395460817e-08	0.375312220873436	5.33415278820847e-06	208	208	197	2.78856	3.63012554066986	5.72575625621479e-05	NA	0.0157372102865706	-5.72575625621479e-05	202	202	191	2.78424	3.58289521182266
SLAMF1_TSS19229	2.61604201090467e-10	0.423087932321328	1.09620737443827e-07	206	205	132	1.45628	2.25817467703349	1.44103811545934e-05	NA	0.0113954492392685	-1.44103811545934e-05	200	199	128	1.44828	2.22318589408867
LY9_TSS34264	1.81600887715046e-09	0.404393371715372	5.21561830436436e-07	207	202	131	1.42059	2.26430950574163	0.000507604045686289	NA	0.0491472235294971	-0.000507604045686289	201	196	126	1.4132	2.22976234827586
SLAMF7_TSS33865	1.99431592297991e-06	0.324964812394983	0.000157335522553362	208	208	193	4.72702	7.22473119617225	7.1523660597099e-05	NA	0.0179236891031612	-7.1523660597099e-05	202	202	187	4.59414	7.1301602955665
FASLG_TSS4455	6.56019390150943e-06	0.308968384641295	0.000426294279411312	196	185	81	0.691387	1.19454288516746	6.58718170926128e-05	NA	0.0173582424402503	-6.58718170926128e-05	191	180	77	0.680145	1.18337840394089
