tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)
TNFRSF4_TSS36373	0.00135104580275732	0.22239068136026	0.0218795519196577	190	159	31	0.331967	0.587299001435407	0.000168183937709842	-0.25984890667263	0.00668576925630058	190	159	31	0.331967	0.587299001435407
TNFRSF18_TSS25091	5.24355969156839e-06	0.312049374398298	0.000352712182305736	196	187	74	0.757463	1.03206700047847	1.77914549718767e-05	-0.29480761386456	0.00119991393281303	196	187	74	0.757463	1.03206700047847
PLCH2_TSS22645,TSS25109	0.000140017285158445	0.26288595031024	0.00435929576849575	202	149	19	0.195132	0.348916737655502	3.63748771331718e-05	-0.284177233285022	0.00210357066606562	202	149	19	0.195132	0.348916737655502
MEGF6_TSS26120	0.000290916868190509	0.250543065822746	0.00744537191445921	208	193	25	0.393853	0.500295341291866	0.00161402405807255	-0.218901461466702	0.0369347081006199	208	193	25	0.393853	0.500295341291866
TNFRSF25_TSS14993	3.79213644613554e-09	0.396975418903432	9.69307996996705e-07	206	204	168	2.41287	4.21214826315789	2.69880522282414e-07	-0.349943715312824	5.31427625333993e-05	206	204	168	2.41287	4.21214826315789
PLEKHG5_TSS15978,TSS22362,TSS25048,TSS27446,TSS28722,TSS3004,TSS5589,TSS569	0.000600496832179129	0.237668663948437	0.0126157667934868	169	27	0	0.0266526	0.0516568102392344	2.91261235887918e-05	-0.287526536605009	0.00177282689221192	169	27	0	0.0266526	0.0516568102392344
SPSB1_TSS21307	0.00130594000698771	0.223050882519729	0.0214531699991085	208	205	90	0.921901	1.09555739267943	6.28435806562998e-05	-0.275750580979216	0.00321912778588313	208	205	90	0.921901	1.09555739267943
PIK3CD_TSS8483	1.28515582118509e-05	0.299505880419706	0.000728378446680979	209	209	209	12.5252	14.2385297607655	4.95866892677317e-05	-0.279435426895421	0.00263510470763511	209	209	209	12.5252	14.2385297607655
FBXO44_TSS1095,TSS5124	0.00343048006562285	0.203481536722156	0.0405580485464319	209	209	208	3.44019	3.61806078947368	0.00179624381337069	-0.216777010093632	0.039871004787684	209	209	208	3.44019	3.61806078947368
TNFRSF1B_TSS13926	9.45173226487148e-06	0.303870528101606	0.000570441276067512	209	209	209	19.0664	20.8821653110048	3.34191272862561e-05	-0.285459470171864	0.00195475128733179	209	209	209	19.0664	20.8821653110048
AGMAT_TSS29273	0.000107866118830219	0.267146615602211	0.00356521328525557	178	107	6	0.103524	0.193587973971292	2.07181949987107e-05	-0.292579158129507	0.00136138247393842	178	107	6	0.103524	0.193587973971292
IFFO2_TSS21010	7.64925361722891e-07	0.337206214276135	7.23009501405911e-05	208	208	173	1.63519	1.87549830143541	3.18404402012187e-06	-0.318789023498698	0.000328174795154578	208	208	173	1.63519	1.87549830143541
NBL1_TSS1011,TSS21321,TSS21806,TSS22276,TSS3303,TSS7451,TSS979	6.84010325161914e-05	0.274419862261961	0.00253024427228129	199	120	44	0.188525	0.610943005740614	0.0010278326870824	-0.227654285847702	0.0268266628909836	199	120	44	0.188525	0.610943005740614
KIF17_TSS11925	0.000410177255919145	0.244524885888778	0.00957492314022763	202	176	11	0.278576	0.370722887607655	0.00202838037425861	-0.214338802976021	0.0432422274782521	202	176	11	0.278576	0.370722887607655
LOC100506801_TSS31428	0.000671579235525027	0.235618641591044	0.0135380416713369	121	39	1	0.0159512	0.0557504292344498	0.00170844063617448	-0.217774829337798	0.0384752873138819	121	39	1	0.0159512	0.0557504292344498
RUNX3_TSS17491,TSS24352	2.59367350856773e-08	0.376692625363456	4.91088063351851e-06	209	209	209	5.89573	7.05907014354067	0.000885585045419038	-0.230472644593538	0.0240813184531447	209	209	209	5.89573	7.05907014354067
AIM1L_TSS7696	5.1103004785254e-08	0.369195337317717	8.06323398343134e-06	201	113	5	0.121859	0.210270656937799	0.000293731480258698	-0.250376393484562	0.0103132834710063	201	113	5	0.121859	0.210270656937799
ZNF683_TSS31649	3.72004278594158e-09	0.397171133889742	9.60484986378312e-07	202	196	146	2.02632	3.59122206124402	2.08990905377954e-05	-0.292451390192463	0.00136974782881176	202	196	146	2.02632	3.59122206124402
ZDHHC18_TSS27899	0.000217505562577046	0.255524950514853	0.00615006602326535	209	209	209	13.4605	13.9477693301435	0.000338920305671476	-0.247885894689508	0.0115201355495593	209	209	209	13.4605	13.9477693301435
AHDC1_TSS7692	0.000104863594204744	0.26760343207082	0.00349012803576492	206	202	11	0.425092	0.479685256363636	0.00042700742370671	-0.243810677425357	0.0137564729743506	206	202	11	0.425092	0.479685256363636
SNHG3_TSS5169	0.00219614469101071	0.212730316628484	0.0303928827541552	209	208	203	4.07312	4.2354787569378	0.0015612619450718	-0.219557552291139	0.0361153091203441	209	208	203	4.07312	4.2354787569378
LCK_TSS12239,TSS13245	4.14859571509901e-14	0.495664360848825	5.30211275368229e-10	209	209	202	6.49815	10.9743441435407	1.50673040215157e-09	-0.40624572122795	2.96257967764586e-06	209	209	202	6.49815	10.9743441435407
MARCKSL1_TSS5912	0.00245034696004984	0.210494350672508	0.0326896235103517	203	202	154	1.46816	1.8643026861244	9.87284970540751e-05	-0.26857624871848	0.00451448857459609	203	202	154	1.46816	1.8643026861244
AZIN2_TSS23747,TSS27906,TSS36322	0.00169968228461746	0.217876913923367	0.0256164969794262	193	176	17	0.387552	0.461749266507177	3.70623816656783e-05	-0.283893100186677	0.00212887986012675	193	176	17	0.387552	0.461749266507177
