tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
PNRC2_TSS27984	0.00200349817273836	-0.214587613514399	0.0286257220756653	209	209	209	21.1237	20.9209825358852	0.000149455241277335	0.263065761574751	0.0208336017762531	209	209	209	21.1237	20.9209825358852
CLCC1_TSS29672,TSS3430	0.00285707559273506	-0.207321114006234	0.0360997079712807	209	209	209	4.91165	4.90519215311005	0.0012293606670699	0.225307925330156	0.0467614404925202	209	209	209	4.91165	4.90519215311005
ACBD3_TSS15303	0.00256292660921766	-0.209570817226693	0.0336482729101024	209	209	209	12.8577	12.7343493779904	0.00114947882735695	0.22660808560153	0.0460530224233086	209	209	209	12.8577	12.7343493779904
KBTBD8_TSS6283	2.1764929189149e-05	-0.291853956896118	0.0010908497156938	209	207	192	2.21149	2.41365870861244	0.000112752454393275	0.267704969815792	0.0183815037638322	209	207	192	2.21149	2.41365870861244
ARL13B_TSS9424	0.00346913258405555	-0.203244137872077	0.0407709580465154	208	208	195	1.80863	1.88230983253589	0.0013450077489127	0.223556648843411	0.0487462062076261	208	208	195	1.80863	1.88230983253589
MFSD1_TSS17967	0.00357335432665535	-0.202615729151279	0.0415931283896345	209	209	209	46.8802	47.7807875598086	0.00145488169741068	0.222016155915813	0.0497673473111069	209	209	209	46.8802	47.7807875598086
ATP13A3_TSS22329	0.000501620779178445	-0.240929110626443	0.0111204932667652	209	209	209	7.72449	8.74168507177033	8.12960679543056e-05	0.272986378433299	0.01662407034384	209	209	209	7.72449	8.74168507177033
FYTTD1_TSS21270,TSS23347,TSS5976	0.00137362290290368	-0.222067771987636	0.0221103117261468	209	209	209	14.083	14.4266297607656	0.000476852570248569	0.243005864539289	0.0325035427949965	209	209	209	14.083	14.4266297607656
SLC30A9_TSS34887	0.00169496089252931	-0.217932144372871	0.0256164969794262	209	209	209	9.63814	9.54392937799043	0.000300435490100883	0.251188994489727	0.0263341483533305	209	209	209	9.63814	9.54392937799043
CDS1_TSS30152	0.00328679528007361	-0.204385760556321	0.0394681712400621	205	204	146	1.25089	1.35363733636364	0.000234525442843333	0.255466649982122	0.023642776900078	205	204	146	1.25089	1.35363733636364
