tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
PIGV_TSS12266,TSS30310	0.000954385932743445	-0.22906126281821	0.0171193395276177	208	208	207	5.86591	5.941915	0.000443171824052982	-0.244321784329104	0.0314664305406063	208	208	207	5.86591	5.941915
MARCKSL1_TSS5912	0.00245034696004984	0.210494350672508	0.0326896235103517	203	202	154	1.46816	1.8643026861244	0.00115837606373507	0.226459242762896	0.0461990786769779	203	202	154	1.46816	1.8643026861244
ST6GAL1_TSS18437,TSS23896	2.64767140453913e-06	0.321240443376385	0.000200970767355366	209	208	206	3.70036	4.80735480952153	0.00108390746219885	0.227738831049665	0.045050014050837	209	208	206	3.70036	4.80735480952153
ANTXR2_TSS10288,TSS15192	0.0034516905251443	0.203350967354613	0.0406958770817406	209	207	175	2.20603	2.62645104961722	0.000567512653208913	0.239850020971498	0.0345794186601499	209	207	175	2.20603	2.62645104961722
SERPINB9_TSS19853	0.00201365901163822	0.214485671655248	0.0287227332569669	209	205	166	2.03821	2.4087370607177	0.0006840011360694	0.236418385830992	0.0372390772976869	209	205	166	2.03821	2.4087370607177
LOC100506178_TSS23162	0.00123851215516925	0.224077842956445	0.0205702463926454	148	63	1	0.0494152	0.104513786124402	9.06238602017711e-05	0.271244574637012	0.0170990740833504	148	63	1	0.0494152	0.104513786124402
AMPD3_TSS14989,TSS22629,TSS25071,TSS25967,TSS36176	0.000419904495483427	0.244108858753682	0.00977520838711464	208	207	116	1.18702	1.63070045933014	0.000377129323811779	0.247195926504763	0.0290992935307864	208	207	116	1.18702	1.63070045933014
CMKLR1_TSS22814,TSS7058	0.000154924235542287	0.261214144133814	0.0047255589316186	209	208	172	2.14495	3.48928969138756	8.06471643901231e-05	0.273114424520631	0.01662407034384	209	208	172	2.14495	3.48928969138756
IRS2_TSS5397	0.00131891426551759	-0.22285886874393	0.0216038897317157	209	209	209	14.0603	14.2529357894737	0.000826445005758516	-0.232890223640035	0.0403117126777923	209	209	209	14.0603	14.2529357894737
ODF3L1_TSS109	0.00251594628085571	-0.209951646067357	0.0333849786373429	206	205	180	2.3205	2.74379872583732	0.000171161226385151	-0.260802674863069	0.0216184067865948	206	205	180	2.3205	2.74379872583732
RASGRP4_TSS24505	0.00157619712338127	-0.219369803879675	0.0242998640957471	209	209	209	12.5943	12.9323371291866	0.0004700148491845	-0.243265896593564	0.0324704042162297	209	209	209	12.5943	12.9323371291866
ANGPT4_TSS20384	0.00179351962459048	-0.216807292762642	0.0265784901857584	208	208	207	13.0669	14.0791536650718	0.000315164821766367	-0.250353740012359	0.0269884828856357	208	208	207	13.0669	14.0791536650718
RASSF2_TSS28636,TSS36094	0.000691005258280798	0.235093288305962	0.0138314686036926	209	209	197	3.1514	4.31977766985646	0.000215020777249313	0.256949098479876	0.0230981113663085	209	209	197	3.1514	4.31977766985646
FHL1_TSS10004,TSS15569,TSS18174,TSS32008,TSS33805,TSS765,TSS7962	4.29419722738863e-05	-0.28164790103844	0.00181911444462565	209	209	209	82.498	85.7244406698565	0.00121323500736208	-0.225564017504821	0.0467040662999731	209	209	209	82.498	85.7244406698565
