tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)
TNFRSF1B_TSS13926	9.45173226487148e-06	0.303870528101606	0.000570441276067512	209	209	209	19.0664	20.8821653110048	0.000284574283257866	0.249144468658331	0.0438359188692495	209	209	209	19.0664	20.8821653110048
MARCKSL1_TSS5912	0.00245034696004984	0.210494350672508	0.0326896235103517	203	202	154	1.46816	1.8643026861244	0.000306676737093229	0.247857269069264	0.0449903656511684	203	202	154	1.46816	1.8643026861244
SRGAP3_TSS19094	4.0692006798046e-06	0.315495493835639	0.00028563248944691	204	168	10	0.206151	0.310248976602871	0.0003077931770997	0.247794563350316	0.0449903656511684	204	168	10	0.206151	0.310248976602871
CCR5_TSS491	2.18724496431795e-05	0.29178134077727	0.00109409331766989	209	209	200	5.23042	6.81950903349282	0.000331491036061505	0.246511106979516	0.0473532167156015	209	209	200	5.23042	6.81950903349282
ST6GAL1_TSS18437,TSS23896	2.64767140453913e-06	0.321240443376385	0.000200970767355366	209	208	206	3.70036	4.80735480952153	0.000378257647330978	0.244210627631985	0.0496268488356879	209	208	206	3.70036	4.80735480952153
GPX3_TSS27092	2.65217827109736e-05	0.288925572257197	0.00126008046073457	209	209	209	51.9675	64.1682688995215	0.000167815607076842	0.258046653824847	0.0339186603912514	209	209	209	51.9675	64.1682688995215
TREM2_TSS28347	0.00260263819206925	0.209253819938645	0.0339072552637524	209	209	209	82.5211	92.1779719617225	4.47605357225816e-06	0.312019863518284	0.00524033880396593	209	209	209	82.5211	92.1779719617225
TIAM2_TSS16201,TSS8920	6.08821341525465e-05	0.276246779188449	0.00234368709498982	201	126	8	0.135787	0.266306408878249	0.000291439429322347	0.248734986110793	0.0438359188692495	201	126	8	0.135787	0.266306408878249
MYC_TSS15543	7.20394416541025e-05	0.273602619109937	0.00262758985668749	207	207	206	4.25449	4.91106254066986	0.000152152122571445	0.259663844082198	0.0324210814512653	207	207	206	4.25449	4.91106254066986
ANKRD22_TSS21907	0.00253332793169159	0.209810001474445	0.0334664662650097	200	186	74	0.572189	0.990218796650718	4.50869979222724e-06	0.311921842079583	0.00524033880396593	200	186	74	0.572189	0.990218796650718
CMKLR1_TSS22814,TSS7058	0.000154924235542287	0.261214144133814	0.0047255589316186	209	208	172	2.14495	3.48928969138756	3.79856103395603e-06	0.314224345678992	0.00485646028191278	209	208	172	2.14495	3.48928969138756
WARS_TSS12929,TSS2584	7.39693860835555e-05	0.273184727165082	0.00268951846042925	209	209	209	169.405	176.618449282297	0.00019010102393982	0.255973476177167	0.035439505537791	209	209	209	169.405	176.618449282297
GPR132_TSS30533	5.8526735299386e-07	0.340533763677602	5.77525819600542e-05	206	203	128	1.18441	1.54090603162679	0.000191265223473413	0.255871519219747	0.035439505537791	206	203	128	1.18441	1.54090603162679
SQRDL_TSS11216,TSS34109	0.00138225589026648	0.221945581403036	0.0221933685999382	209	209	209	94.2479	97.3251224880383	0.000215549585217325	0.253866977748217	0.0383331467801463	209	209	209	94.2479	97.3251224880383
HS3ST3B1_TSS7808	2.0020334515562e-05	0.293082146829322	0.00101940193337108	208	196	28	0.365773	0.529076080956938	3.25093419387243e-05	0.283868515825691	0.0169645688443506	208	196	28	0.365773	0.529076080956938
PSTPIP2_TSS28471	5.63812740560271e-06	0.311055334476068	0.000373357965322826	209	209	204	4.53493	5.09686786602871	0.000146766928999435	0.260255970376258	0.0320754732864578	209	209	204	4.53493	5.09686786602871
BCL2_TSS20723	8.31810759164596e-08	0.363689452466314	1.17469142624344e-05	208	206	170	1.81542	2.25534995598086	0.000168011701999942	0.258027316262034	0.0339186603912514	208	206	170	1.81542	2.25534995598086
ICAM1_TSS170	1.52063248539894e-05	0.29708580861272	0.000834096286679878	209	209	209	17.0734	18.7117527751196	0.000366121616804084	0.244781085734976	0.0487590090712523	209	209	209	17.0734	18.7117527751196
RASSF2_TSS28636,TSS36094	0.000691005258280798	0.235093288305962	0.0138314686036926	209	209	197	3.1514	4.31977766985646	0.000119550710044894	0.263599987488459	0.0291576925220798	209	209	197	3.1514	4.31977766985646
PLTP_TSS19891,TSS3611	0.000175989600928841	0.259091519121339	0.00519057771815725	209	209	209	18.7074	30.0824481818182	7.69133016003973e-05	0.270645075997662	0.0242799150854588	209	209	209	18.7074	30.0824481818182
TRPM2_TSS9091	0.000156929356649472	0.261000848725498	0.00476964481012741	206	201	115	1.13557	1.80009315526316	6.25678363511396e-05	0.273876886091217	0.0228597319150134	206	201	115	1.13557	1.80009315526316
ADORA2A_TSS17679,TSS2251,TSS24762	0.000101625635399911	0.268110008239969	0.00341347288627742	203	173	79	0.59649	1.10821974332666	0.000103696327582055	0.265893900614957	0.0265831072268473	203	173	79	0.59649	1.10821974332666
