tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
MEGF6_TSS26120	0.00161402405807255	-0.218901461466702	0.0369347081006199	208	193	25	0.393853	0.500295341291866	0.000892515736990749	0.23144068382389	0.047927720069791	208	193	25	0.393853	0.500295341291866
SLC2A5_TSS22535	6.66580183745995e-05	-0.27482594008972	0.00338736701326667	185	156	21	0.23489	0.426866288516746	0.000324563311073039	0.249839538346646	0.027755263846762	185	156	21	0.23489	0.426866288516746
PIK3CD_TSS8483	4.95866892677317e-05	-0.279435426895421	0.00263510470763511	209	209	209	12.5252	14.2385297607655	0.000511968598830551	0.241722502938028	0.0356937100382748	209	209	209	12.5252	14.2385297607655
SNHG3_TSS5169	0.0015612619450718	-0.219557552291139	0.0361153091203441	209	208	203	4.07312	4.2354787569378	4.23523817189222e-05	0.283204104735059	0.00873039700901105	209	208	203	4.07312	4.2354787569378
LCK_TSS12239,TSS13245	1.50673040215157e-09	-0.40624572122795	2.96257967764586e-06	209	209	202	6.49815	10.9743441435407	0.000446263593889258	0.244197194111029	0.0329680454433622	209	209	202	6.49815	10.9743441435407
LRP8_TSS2911	6.81452579856587e-05	-0.274478838509745	0.00344922958291371	208	207	93	0.957771	1.08099998133971	5.57961460284297e-05	0.278933047928254	0.0100614692500795	208	207	93	0.957771	1.08099998133971
IL12RB2_TSS14387	1.01882492250537e-07	-0.361366673645018	2.95933907319997e-05	202	182	60	0.427339	0.851976265645933	0.000518069184468525	0.241507894961936	0.0356937100382748	202	182	60	0.427339	0.851976265645933
PDE4B_TSS15460,TSS15932,TSS27165,TSS28364,TSS3070,TSS891	4.35874782434712e-07	-0.344152755710559	7.14192007295749e-05	209	209	209	7.59199	8.94947110047847	1.4799396078217e-05	0.298889385291439	0.00556304945816625	209	209	209	7.59199	8.94947110047847
LPAR3_TSS31752	0.00018460626715033	0.258291021120048	0.00714957696155999	204	201	146	1.77051	2.30095476937799	0.000887627209202009	-0.231544492440546	0.047866327203402	204	201	146	1.77051	2.30095476937799
GBP5_TSS22297	4.83733396270145e-08	-0.369809323359468	2.09835077021551e-05	209	209	209	22.3408	27.0769605741627	0.000325189927888748	0.249805749275122	0.027755263846762	209	209	209	22.3408	27.0769605741627
GFI1_TSS13114,TSS14018,TSS17395	4.98478108474187e-07	-0.3425104282008	7.91403660292466e-05	203	199	90	0.875283	1.49110776315789	1.55233969518104e-05	0.298196448036091	0.0055643611685874	203	199	90	0.875283	1.49110776315789
FAM212B_TSS23351,TSS35432	0.000722802594265998	0.234262074594403	0.0206893136752891	209	209	207	3.45787	3.45379391866029	0.000793048971398384	-0.233663995532364	0.0453616396416431	209	209	207	3.45787	3.45379391866029
OLFML3_TSS7201	0.000601129465395546	-0.23764945088212	0.0179503157301116	167	120	12	0.123717	0.316471566507177	3.31250635152322e-05	0.286953619805139	0.00789902562535361	167	120	12	0.123717	0.316471566507177
FAM46C_TSS1048	2.02226922874974e-07	-0.3533747547391	4.23698555377641e-05	207	203	81	0.723954	1.12093063444976	0.000362666201864724	0.247887373943527	0.0292774806893608	207	203	81	0.723954	1.12093063444976
RORC_TSS17590,TSS30208	1.65870600879403e-09	-0.405293716666977	3.02844173505602e-06	203	189	79	0.691258	1.31739192822967	0.000846398615476601	0.232441538012948	0.0467429838148191	203	189	79	0.691258	1.31739192822967
CD5L_TSS11670	4.17252616859732e-05	0.28208767928241	0.00232361528094806	209	209	207	6.71135	7.14850135406699	8.90608117521562e-06	-0.306149862650988	0.00416391766825873	209	209	207	6.71135	7.14850135406699
