tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)
TNFRSF25_TSS14993	2.69880522282414e-07	-0.349943715312824	5.31427625333993e-05	206	204	168	2.41287	4.21214826315789	2.95266925788817e-05	NA	0.0123729780967011	-2.95266925788817e-05	200	198	164	2.41287	4.11289273399015
ZNF683_TSS31649	2.08990905377954e-05	-0.292451390192463	0.00136974782881176	202	196	146	2.02632	3.59122206124402	0.000254624815514452	NA	0.0349917468245425	-0.000254624815514452	196	191	141	2.09455	3.61967443596059
LCK_TSS12239,TSS13245	1.50673040215157e-09	-0.40624572122795	2.96257967764586e-06	209	209	202	6.49815	10.9743441435407	8.22877669454499e-05	NA	0.0187799786686843	-8.22877669454499e-05	203	203	197	6.40246	10.8024079655172
RIMS3_TSS9319	1.83474652689008e-06	-0.326051481578711	0.000215921874539889	203	169	6	0.209124	0.28015598645933	8.64726098177699e-05	NA	0.0188559572873759	-8.64726098177699e-05	197	163	5	0.208581	0.276806508226601
IL23R_TSS32594	7.27812737521318e-08	-0.365209205937955	2.48048285117099e-05	164	106	10	0.101894	0.237982161483254	3.99022508345427e-05	NA	0.0142598238778773	-3.99022508345427e-05	160	102	9	0.101404	0.234118082512315
IL12RB2_TSS14387	1.01882492250537e-07	-0.361366673645018	2.95933907319997e-05	202	182	60	0.427339	0.851976265645933	2.10184754158886e-05	NA	0.0123729780967011	-2.10184754158886e-05	196	176	57	0.425147	0.832462785812808
PDE4B_TSS15460,TSS15932,TSS27165,TSS28364,TSS3070,TSS891	4.35874782434712e-07	-0.344152755710559	7.14192007295749e-05	209	209	209	7.59199	8.94947110047847	5.66779167077771e-05	NA	0.0157372102865706	-5.66779167077771e-05	203	203	203	7.58832	8.94915295566502
MCOLN2_TSS20328	0.000370824580098801	-0.246307109397045	0.0123580796504634	207	206	172	1.98249	2.22799292057416	0.000491968193814842	NA	0.0482119234111547	-0.000491968193814842	201	200	168	1.97327	2.22866714482759
GBP5_TSS22297	4.83733396270145e-08	-0.369809323359468	2.09835077021551e-05	209	209	209	22.3408	27.0769605741627	4.1233207073926e-05	NA	0.0143356084598937	-4.1233207073926e-05	203	203	203	21.6961	26.9334249261084
TGFBR3_TSS18765,TSS27510	6.76330983021592e-06	-0.308546332745048	0.000578183821304847	203	159	9	0.210875	0.335963830382775	0.000192873843904556	NA	0.0286630716514206	-0.000192873843904556	197	154	8	0.208128	0.331431577586207
