tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
SLC9A1_TSS20166	0.000181293102963076	0.258594607731511	0.00704260335081942	209	209	209	21.6485	21.91691784689	8.1276028865948e-05	-0.272990318312909	0.01662407034384	209	209	209	21.6485	21.91691784689
MARCKSL1_TSS5912	9.87284970540751e-05	-0.26857624871848	0.00451448857459609	203	202	154	1.46816	1.8643026861244	0.00115837606373507	0.226459242762896	0.0461990786769779	203	202	154	1.46816	1.8643026861244
LRP8_TSS2911	6.81452579856587e-05	-0.274478838509745	0.00344922958291371	208	207	93	0.957771	1.08099998133971	0.000180549040626644	0.259905978127351	0.0219762572736079	208	207	93	0.957771	1.08099998133971
IL6R_TSS1917	0.00132327102745615	-0.222794778324996	0.0321216816076037	209	209	208	4.6504	4.96279679425837	0.00120291872602703	0.22572949244845	0.0465875841757227	209	209	208	4.6504	4.96279679425837
CD84_TSS10719	3.67461222381291e-05	-0.28402318207586	0.00211546763632617	209	209	209	10.9982	12.0963051674641	0.000518440145972535	0.241494920708767	0.0334642640686969	209	209	209	10.9982	12.0963051674641
PVRL4_TSS17869	0.00012945959665245	-0.264173878150683	0.00552343313449371	201	137	2	0.147953	0.195467274401914	0.000954653955325695	0.230164850885625	0.0427353936113487	201	137	2	0.147953	0.195467274401914
RGL1_TSS21741,TSS9460	0.000318321684185818	-0.248980279531853	0.0110073182490773	207	206	102	0.978164	1.50499364880383	1.89862162519041e-06	0.327136201116321	0.00441187885104473	207	206	102	0.978164	1.50499364880383
ASAP2_TSS26345	0.000524708535812915	-0.240117766054531	0.01633198449368	188	87	0	0.0818782	0.114831790669856	5.86616927060926e-05	0.278149596059206	0.0148460547253508	188	87	0	0.0818782	0.114831790669856
RASGRP3_TSS12780,TSS24643,TSS6969	1.93661782555721e-06	-0.325347840061373	0.00022198156161017	209	207	169	1.57884	1.78048691138756	0.000203451975981035	0.257888759766915	0.0228071262933537	209	207	169	1.57884	1.78048691138756
CYP1B1_TSS12002	0.000637475080337992	-0.2365758337545	0.0186390776165902	191	139	25	0.167267	0.503274355502392	7.69657773362454e-05	0.273859690212103	0.0165109615868382	191	139	25	0.167267	0.503274355502392
