tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)
TNFRSF1B_TSS13926	3.34191272862561e-05	-0.285459470171864	0.00195475128733179	209	209	209	19.0664	20.8821653110048	0.000284574283257866	0.249144468658331	0.0438359188692495	209	209	209	19.0664	20.8821653110048
MARCKSL1_TSS5912	9.87284970540751e-05	-0.26857624871848	0.00451448857459609	203	202	154	1.46816	1.8643026861244	0.000306676737093229	0.247857269069264	0.0449903656511684	203	202	154	1.46816	1.8643026861244
ADORA3_TSS29272	0.00142756869799122	-0.221315461016633	0.0340075335408702	201	195	91	0.870591	1.10432421781435	5.48308732876288e-06	0.30926946859473	0.00609576273897681	201	195	91	0.870591	1.10432421781435
CTSK_TSS32163	0.000242299082413442	-0.253687360063203	0.00882251687403133	205	205	204	5.90238	7.94862558373206	0.000270998675880356	0.249981996958345	0.0426608877564835	205	205	204	5.90238	7.94862558373206
CD84_TSS10719	3.67461222381291e-05	-0.28402318207586	0.00211546763632617	209	209	209	10.9982	12.0963051674641	0.000150415318145819	0.259852644066153	0.0324210814512653	209	209	209	10.9982	12.0963051674641
HSPA7_TSS10980	0.00077215929628967	-0.233036349122182	0.0218815562887586	208	206	188	2.60873	3.76194343971292	9.6359359181459e-05	0.267069008131703	0.0263104050419298	208	206	188	2.60873	3.76194343971292
FCGR2B_TSS1648	0.00201412169275344	-0.214481040821719	0.0430757460108026	209	208	205	4.74621	5.98402158229665	8.67312619598557e-06	0.302950546558882	0.00718710940160291	209	208	205	4.74621	5.98402158229665
RGL1_TSS21741,TSS9460	0.000318321684185818	-0.248980279531853	0.0110073182490773	207	206	102	0.978164	1.50499364880383	1.08730634697688e-06	0.330475950829932	0.00198588737801421	207	206	102	0.978164	1.50499364880383
CHIT1_TSS23928	0.000251139514064558	-0.253074315031523	0.00906691683475164	206	205	153	2.38222	21.1433327813397	8.71335124949903e-06	0.302886031504483	0.00718710940160291	206	205	153	2.38222	21.1433327813397
DYSF_TSS10947,TSS28868	3.86827694426931e-06	-0.316178604745573	0.00037687596140732	208	208	147	1.67572	2.74688610047847	0.000241516264044693	0.251944271502788	0.0408276304304306	208	208	147	1.67572	2.74688610047847
SLC20A1_TSS28706	5.64670716545296e-06	-0.311034462234739	0.000499430733066239	209	209	209	8.36027	8.53118205741627	3.1729560448719e-05	0.284231785755682	0.0169026012640364	209	209	209	8.36027	8.53118205741627
CYBRD1_TSS22715,TSS9625	0.00184960323668106	-0.216192147702632	0.0405817238908194	204	202	100	0.968177	1.41495529090909	0.000288174761720289	0.248928580845094	0.0438359188692495	204	202	100	0.968177	1.41495529090909
SLC40A1_TSS18329	8.32503175205547e-07	-0.336145798188952	0.000116920954183676	208	204	159	2.12227	3.96547404583732	8.43030857281967e-07	0.333669646342175	0.00165817684774615	208	204	159	2.12227	3.96547404583732
MREG_TSS21609	4.02248140935048e-05	-0.282646953948761	0.00225975049020676	207	207	195	2.5546	3.47642358851675	0.000263541548449827	0.250458815800696	0.0426608877564835	207	207	195	2.5546	3.47642358851675
SRGAP3_TSS19094	3.07530585049776e-07	-0.34837759016229	5.57125142615078e-05	204	168	10	0.206151	0.310248976602871	0.0003077931770997	0.247794563350316	0.0449903656511684	204	168	10	0.206151	0.310248976602871
CCR5_TSS491	1.82409047673162e-08	-0.380510366901929	1.16563941689343e-05	209	209	200	5.23042	6.81950903349282	0.000331491036061505	0.246511106979516	0.0473532167156015	209	209	200	5.23042	6.81950903349282
STAB1_TSS12767	0.00130391883513009	-0.223080952226607	0.0318952378839864	206	205	121	1.19156	2.01703387607655	3.50863438229764e-05	0.282723832875903	0.0175662100021312	206	205	121	1.19156	2.01703387607655
RAP2B_TSS29949	0.000190363614590889	-0.257775365735003	0.00731711932715446	209	209	209	6.9475	7.08496138755981	1.05177529148384e-05	0.300248812782978	0.00814966491007324	209	209	209	6.9475	7.08496138755981
ETV5_TSS36356	0.000878928791161635	-0.230614495627103	0.0239512780713034	202	196	43	0.547203	0.673170967942584	7.31923771344071e-07	0.335428029941945	0.00165817684774615	202	196	43	0.547203	0.673170967942584
IGF2BP2_TSS18618,TSS4889	2.52583968851016e-05	-0.289651649764972	0.00160205926248159	207	205	75	0.827591	0.951822913444976	5.61575811097123e-05	0.275553110366663	0.0228597319150134	207	205	75	0.827591	0.951822913444976
ST6GAL1_TSS18437,TSS23896	9.89169989225137e-08	-0.361706148479974	2.94002024355625e-05	209	208	206	3.70036	4.80735480952153	0.000378257647330978	0.244210627631985	0.0496268488356879	209	208	206	3.70036	4.80735480952153
FAM198B_TSS21137,TSS8367	0.00212149535365582	-0.213431713838959	0.0444124019122001	208	206	127	1.21759	1.72426393875598	5.22790744101969e-05	0.276656986150845	0.0221833541858378	208	206	127	1.21759	1.72426393875598
SEPP1_TSS35282	0.000335972172333118	-0.248038673828395	0.0114656671522121	207	206	187	3.58969	7.60575014032091	9.11589517605677e-06	0.302255531004842	0.00728416998911787	207	206	187	3.58969	7.60575014032091
LMNB1_TSS24427,TSS29306	0.00143999672753735	-0.221145835923516	0.0342397733512393	209	209	208	6.15506	6.49232171291866	0.000377304148889588	0.244254827775559	0.0496268488356879	209	209	208	6.15506	6.49232171291866
GPX3_TSS27092	0.000546939045212202	-0.239367172380296	0.0167845984505126	209	209	209	51.9675	64.1682688995215	0.000167815607076842	0.258046653824847	0.0339186603912514	209	209	209	51.9675	64.1682688995215
TREM2_TSS28347	0.000607531254096313	-0.237456072539934	0.0180991915920231	209	209	209	82.5211	92.1779719617225	4.47605357225816e-06	0.312019863518284	0.00524033880396593	209	209	209	82.5211	92.1779719617225
TDRD6_TSS352	0.000474085706365419	-0.24194320161747	0.0149791158719487	194	92	7	0.0783972	0.191294600526316	2.38356167554614e-06	0.320390001468755	0.00380922950273217	194	92	7	0.0783972	0.191294600526316
PLA2G7_TSS21440,TSS24190	1.52965555430215e-05	-0.297000312328395	0.00106829304982288	205	200	155	2.32229	4.61703503732057	2.03072674851081e-07	0.350904037795508	0.000806501852126265	205	200	155	2.32229	4.61703503732057
SMPDL3A_TSS14511	0.000222771424736507	-0.255118901910341	0.00832494208726589	203	201	159	2.05051	2.43421643827751	0.000127875295580251	0.262507370411851	0.0295310349864367	203	201	159	2.05051	2.43421643827751
TIAM2_TSS16201,TSS8920	3.22851792205005e-06	-0.318603816901782	0.000331422275524182	201	126	8	0.135787	0.266306408878249	0.000291439429322347	0.248734986110793	0.0438359188692495	201	126	8	0.135787	0.266306408878249
SOD2_TSS5048	0.000637560324151101	-0.236573382865399	0.0186390776165902	209	209	209	54.7059	62.582723923445	0.000272212520587905	0.24990553988048	0.0426608877564835	209	209	209	54.7059	62.582723923445
RPS6KA2_TSS20929,TSS3075	0.0014857291650605	-0.220532973187405	0.0348965762464066	209	209	208	3.37722	3.47830947368421	6.69068176313732e-06	0.306544570733169	0.0063363234327193	209	209	208	3.37722	3.47830947368421
GAL3ST4_TSS15819	0.00158851774892661	-0.219216142509714	0.0365144803779793	202	194	88	0.876877	1.29071236985646	0.000297853937704297	0.248360409118391	0.0445387437842039	202	194	88	0.876877	1.29071236985646
EGR3_TSS1913,TSS20331,TSS3219	0.0012557685637417	-0.223810229989546	0.0311033917226759	200	176	18	0.28566	0.451309334976077	5.94324232957012e-05	0.274675515376626	0.0228597319150134	200	176	18	0.28566	0.451309334976077
ADAMDEC1_TSS4471	0.00135014234403313	-0.222403705637763	0.0326499417746744	174	141	35	0.253402	0.674015088038277	4.88118030901214e-05	0.277711098669037	0.0218968035967439	174	141	35	0.253402	0.674015088038277
ABCA1_TSS19198	0.000865251145159554	-0.230909108840188	0.0236795337488473	209	209	205	5.8488	6.4192870430622	0.00018915272417766	0.256056956736815	0.035439505537791	209	209	205	5.8488	6.4192870430622
ANKRD22_TSS21907	9.85173769199707e-08	-0.361752640928967	2.94002024355625e-05	200	186	74	0.572189	0.990218796650718	4.50869979222724e-06	0.311921842079583	0.00524033880396593	200	186	74	0.572189	0.990218796650718
ENTPD1_TSS23460,TSS4290,TSS7598	2.23746708884295e-05	-0.291446560405062	0.00144789610779531	209	209	208	3.94187	3.97986890430622	0.000250230508826384	0.251342044546605	0.0418195693509192	209	209	208	3.94187	3.97986890430622
XPNPEP1_TSS26510	0.000350891990467712	-0.247277912544015	0.0118326519371308	209	209	209	17.348	17.6570478947368	0.000289782377869277	0.248832995771589	0.0438359188692495	209	209	209	17.348	17.6570478947368
MMP12_TSS34111	5.9390910392789e-05	-0.276634179481808	0.00307305882702445	189	173	81	0.6856	1.56787286267943	0.000182125028770768	0.25668807655577	0.0353660319853253	189	173	81	0.6856	1.56787286267943
ZC3H12C_TSS6750	0.000100841583843022	-0.26823494514587	0.00459467330590281	204	164	5	0.209882	0.291283082870813	4.32820465801859e-05	0.279547743835936	0.0204948505750992	204	164	5	0.209882	0.291283082870813
KCNJ5_TSS12525	0.000191716134356177	-0.257656339897392	0.00733601214113509	205	199	122	1.35636	1.81629113909091	1.19156655873658e-05	0.29848594590162	0.00870524483054122	205	199	122	1.35636	1.81629113909091
ARNTL2_TSS3808	0.000596910823559523	-0.237777925709223	0.0178660861370082	208	206	49	0.639262	0.729017996076555	0.000177000938587202	0.257162736686658	0.0348147230744213	208	206	49	0.639262	0.729017996076555
GPR84_TSS10840	0.00086496099117997	-0.23091540499167	0.0236795337488473	199	195	96	0.929063	1.16022221626794	0.000240558958870231	0.252011658132862	0.0408276304304306	199	195	96	0.929063	1.16022221626794
PLXNC1_TSS1135,TSS5112	7.03931057840994e-08	-0.36558761247534	2.4578479142825e-05	209	209	178	2.22571	2.99771364114833	2.8123543721786e-05	0.286029488470068	0.0156330220210015	209	209	178	2.22571	2.99771364114833
ANKS1B_TSS11899,TSS12368,TSS14332,TSS15455,TSS24501	0.00131102375378063	-0.222975437818424	0.0319868125656074	153	16	0	0.0212484	0.0337467675119617	9.67416649368525e-05	0.267005738418463	0.0263104050419298	153	16	0	0.0212484	0.0337467675119617
CHST11_TSS3539	0.000373692944076934	-0.246171412928307	0.0124275249963075	209	209	209	11.7907	13.0120266507177	5.06383266355191e-05	0.277147331493609	0.0221833541858378	209	209	209	11.7907	13.0120266507177
