tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)
VGLL3_TSS35944	0.000196473388681987	0.257243819552132	0.00746219359301673	207	202	156	1.79808	2.56977439665072	0.000270912096445161	-0.249987462549984	0.0426608877564835	207	202	156	1.79808	2.56977439665072
MGLL_TSS14603,TSS20093	0.0024924804264585	0.210144287444464	0.0498515588268434	209	209	209	26.178	26.8005241626794	0.0001368778319461	-0.261398267836725	0.0303255325401756	209	209	209	26.178	26.8005241626794
PDLIM1_TSS23538	8.44134984048548e-05	0.27108682803059	0.0040288706149209	209	209	209	160.686	165.61306937799	0.000219355633952438	-0.253572079915316	0.0384172846586564	209	209	209	160.686	165.61306937799
PELI3_TSS14501,TSS28537	0.000173197501421179	0.259358768776763	0.00682141962068839	209	209	209	9.90599	10.3773895215311	6.42027100324766e-05	-0.273475266440826	0.023096505742693	209	209	209	9.90599	10.3773895215311
CSPG4_TSS34313	0.000146717528909109	0.262114908021182	0.00605855695710137	209	208	183	2.69232	3.15999306555024	2.07153586916891e-07	-0.350670126563972	0.000806501852126265	209	208	183	2.69232	3.15999306555024
ODF3L1_TSS109	0.000906979825150026	0.230023253436531	0.024610733875435	206	205	180	2.3205	2.74379872583732	0.000113643340025281	-0.264419424009291	0.0282122349946256	206	205	180	2.3205	2.74379872583732
AOC3_TSS29860,TSS5849	0.00102016966944152	0.227796686480692	0.0268266628909836	209	209	209	52.3673	58.1172094736842	0.000288747648634435	-0.248894461596246	0.0438359188692495	209	209	209	52.3673	58.1172094736842
CDC42EP4_TSS27099	0.00137855712775424	0.221997847599883	0.03318013064268	209	209	209	6.66922	7.1184123923445	0.000135547374898425	-0.261557802729934	0.0303255325401756	209	209	209	6.66922	7.1184123923445
TRIP10_TSS29414	0.000637633082777042	0.236571291183706	0.0186390776165902	209	209	209	6.13321	6.70037330143541	1.2406597320547e-05	-0.297913111446038	0.00881213037462187	209	209	209	6.13321	6.70037330143541
IQSEC2_TSS24617,TSS3634	0.00119639569987331	0.22474562011753	0.029806111583296	209	209	209	21.9236	22.1192535406699	6.7886694345334e-05	-0.272604385486988	0.0231448369921359	209	209	209	21.9236	22.1192535406699
