tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Traction Bronchiestasis)	corr_coef (Traction Bronchiestasis)	fdr (Traction Bronchiestasis)	fpkm>0_num (Traction Bronchiestasis)	fpkm>0.1_num (Traction Bronchiestasis)	fpkm>1_num (Traction Bronchiestasis)	fpkm_median (Traction Bronchiestasis)	fpkm_mean (Traction Bronchiestasis)
ADORA3_TSS29272	0.00142756869799122	-0.221315461016633	0.0340075335408702	201	195	91	0.870591	1.10432421781435	6.25254210360201e-05	0.277148343662646	0.0369691233536332	201	195	91	0.870591	1.10432421781435
RGL1_TSS21741,TSS9460	0.000318321684185818	-0.248980279531853	0.0110073182490773	207	206	102	0.978164	1.50499364880383	2.81112649978721e-05	0.289428559593278	0.0240231202335827	207	206	102	0.978164	1.50499364880383
CHIT1_TSS23928	0.000251139514064558	-0.253074315031523	0.00906691683475164	206	205	153	2.38222	21.1433327813397	4.756276828446e-06	0.31485937057396	0.0138444279974937	206	205	153	2.38222	21.1433327813397
IL10_TSS12474	0.000525209939118381	-0.240100515007187	0.01633198449368	197	183	44	0.49019	0.782303934449761	2.33528513991353e-05	0.292197745914857	0.0240231202335827	197	183	44	0.49019	0.782303934449761
DYSF_TSS10947,TSS28868	3.86827694426931e-06	-0.316178604745573	0.00037687596140732	208	208	147	1.67572	2.74688610047847	9.99119608136391e-06	0.304523089333325	0.0173595070057029	208	208	147	1.67572	2.74688610047847
SLC40A1_TSS18329	8.32503175205547e-07	-0.336145798188952	0.000116920954183676	208	204	159	2.12227	3.96547404583732	4.91509393314103e-07	0.344282942718783	0.00628173580125089	208	204	159	2.12227	3.96547404583732
ETV5_TSS36356	0.000878928791161635	-0.230614495627103	0.0239512780713034	202	196	43	0.547203	0.673170967942584	1.05039666180461e-05	0.303811880451894	0.0173595070057029	202	196	43	0.547203	0.673170967942584
BASP1_TSS16428,TSS25158	0.00146142532738466	-0.220856486622622	0.034524485021515	208	208	197	2.99271	4.08667410526316	3.70725812918913e-05	0.285242322885455	0.0278709485412363	208	208	197	2.99271	4.08667410526316
SEPP1_TSS35282	0.000335972172333118	-0.248038673828395	0.0114656671522121	207	206	187	3.58969	7.60575014032091	2.18213268152009e-05	0.29320348072134	0.0240231202335827	207	206	187	3.58969	7.60575014032091
RHOBTB3_TSS35763	5.3528254401557e-05	-0.278251535057064	0.00281529981637489	209	206	77	0.744939	0.92817366076555	6.96617075818722e-05	0.275443004522883	0.0379719861329836	209	206	77	0.744939	0.92817366076555
AFAP1L1_TSS19023	0.000163221493944304	-0.260347670249259	0.00653934891333912	196	133	14	0.178064	0.341701501626794	5.64484263707711e-05	0.278751440865208	0.0351391859823922	196	133	14	0.178064	0.341701501626794
TDRD6_TSS352	0.000474085706365419	-0.24194320161747	0.0149791158719487	194	92	7	0.0783972	0.191294600526316	2.88408341905803e-06	0.321613928083383	0.0112141081445009	194	92	7	0.0783972	0.191294600526316
PLA2G7_TSS21440,TSS24190	1.52965555430215e-05	-0.297000312328395	0.00106829304982288	205	200	155	2.32229	4.61703503732057	2.55483376837225e-07	0.352230121920537	0.00628173580125089	205	200	155	2.32229	4.61703503732057
SMPDL3A_TSS14511	0.000222771424736507	-0.255118901910341	0.00832494208726589	203	201	159	2.05051	2.43421643827751	2.55160758555807e-05	0.290878500770166	0.0240231202335827	203	201	159	2.05051	2.43421643827751
ADAMDEC1_TSS4471	0.00135014234403313	-0.222403705637763	0.0326499417746744	174	141	35	0.253402	0.674015088038277	2.95066595747269e-05	0.288700393220836	0.0243296685609547	174	141	35	0.253402	0.674015088038277
ADHFE1_TSS6280	0.000839144625534588	-0.231483536326049	0.0233444279781522	200	190	59	0.636595	0.730208723444976	8.92856467113937e-05	0.271483832478999	0.0450898725634499	200	190	59	0.636595	0.730208723444976
ANKRD22_TSS21907	9.85173769199707e-08	-0.361752640928967	2.94002024355625e-05	200	186	74	0.572189	0.990218796650718	1.06217392010109e-05	0.303653184430735	0.0173595070057029	200	186	74	0.572189	0.990218796650718
MYO7A_TSS21748,TSS8185	1.12928492086617e-07	-0.360180615298393	3.05315404447583e-05	208	205	105	1.00335	1.57458260555024	2.8195047416278e-05	0.289383886683246	0.0240231202335827	208	205	105	1.00335	1.57458260555024
MMP12_TSS34111	5.9390910392789e-05	-0.276634179481808	0.00307305882702445	189	173	81	0.6856	1.56787286267943	3.07103622751483e-06	0.320774827277203	0.0112141081445009	189	173	81	0.6856	1.56787286267943
KCNJ5_TSS12525	0.000191716134356177	-0.257656339897392	0.00733601214113509	205	199	122	1.35636	1.81629113909091	1.26248312457951e-05	0.301182326913484	0.0189825477337511	205	199	122	1.35636	1.81629113909091
PLXNC1_TSS1135,TSS5112	7.03931057840994e-08	-0.36558761247534	2.4578479142825e-05	209	209	178	2.22571	2.99771364114833	4.18642410750726e-05	0.283382193114751	0.0305740533177123	209	209	178	2.22571	2.99771364114833
CMKLR1_TSS22814,TSS7058	2.09168978234174e-06	-0.324341741166939	0.000232674867255877	209	208	172	2.14495	3.48928969138756	1.08662459250908e-05	0.303328973476906	0.0173595070057029	209	208	172	2.14495	3.48928969138756
SDS_TSS12760	3.44337813535787e-05	-0.285007658656657	0.00200612579326969	199	192	114	1.11377	2.37169808755981	1.69346279009775e-06	0.328627936906976	0.0108216505944221	199	192	114	1.11377	2.37169808755981
SLC7A1_TSS3015	0.00142651504840557	-0.221329903912518	0.0340075335408702	209	209	203	2.52784	2.55805097129187	8.05620217002361e-05	0.273131297136055	0.0420254252383619	209	209	203	2.52784	2.55805097129187
RRN3P1_TSS34716	0.00103498265731352	-0.227522295875017	0.0268266628909836	206	201	106	1.01616	1.14010458803828	9.17285463518405e-05	0.27104955155091	0.0450898725634499	206	201	106	1.01616	1.14010458803828
FAM20A_TSS19359,TSS6805	0.00102615128927089	-0.227685447274346	0.0268266628909836	206	201	57	0.611654	0.891293261244019	2.46350867051808e-05	0.291402528686155	0.0240231202335827	206	201	57	0.611654	0.891293261244019
TRIM47_TSS25847	4.73951247828101e-06	-0.313428152465067	0.000433154664395115	207	205	191	2.10838	2.53512616526316	2.36186894153701e-05	0.292029546683743	0.0240231202335827	207	205	191	2.10838	2.53512616526316
PLTP_TSS19891,TSS3611	0.000374877947389102	-0.246115634749822	0.0124444872898868	209	209	209	18.7074	30.0824481818182	1.86563391592217e-05	0.295512560177318	0.0240231202335827	209	209	209	18.7074	30.0824481818182
