tracking_ID	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
POMGNT2_TSS9710	0.00021868248310499	-0.25666148726833	0.0230981113663085	208	207	207	4.05668	4.10798016794258	3.43019382815324e-05	-0.286424155971131	0.00789902562535361	208	207	207	4.05668	4.10798016794258
CAMP_TSS10293	0.000350087238666368	-0.248509876354774	0.0282970707364534	209	209	209	21.6008	28.4225872248804	0.00019607108788996	-0.258514651168369	0.0207702635928997	209	209	209	21.6008	28.4225872248804
CLIP2_TSS1196	9.33436920670115e-06	-0.305486445338049	0.00798564047022604	209	209	209	5.18126	5.26373086124402	0.000909810410373398	-0.231077580152907	0.0484492997907384	209	209	209	5.18126	5.26373086124402
POR_TSS20694	0.000155981238185686	-0.262354707392755	0.0209844022592859	209	209	209	97.8255	99.6826148325359	1.4120036950949e-05	-0.2995694143246	0.00549724221793166	209	209	209	97.8255	99.6826148325359
PILRA_TSS11161	0.000193905777207521	-0.258702437684271	0.0226665162699238	209	209	209	118.372	121.106026794258	0.00067904606118971	-0.236552949133725	0.0417237893511303	209	209	209	118.372	121.106026794258
PDLIM2_TSS24850,TSS6025	0.000491609102142533	-0.242456251333662	0.0328094523756274	209	209	209	18.1835	19.1344552631579	0.000183869887438124	-0.259599174001039	0.0200850350119909	209	209	209	18.1835	19.1344552631579
LINC00094_TSS29449	0.000203925149299179	-0.257849360970813	0.0228071262933537	209	208	204	2.13779	2.22096072535885	0.000272105553952219	-0.252908490094415	0.0251093504136198	209	208	204	2.13779	2.22096072535885
PDLIM1_TSS23538	0.00049000233698739	-0.242515349527816	0.0327878265333368	209	209	209	160.686	165.61306937799	6.44257010925205e-06	-0.31068027922278	0.00382973336192073	209	209	209	160.686	165.61306937799
PELI3_TSS14501,TSS28537	1.92382579471376e-05	-0.295061523889392	0.00978471017506324	209	209	209	9.90599	10.3773895215311	2.38324891496026e-08	-0.379351562720977	0.000304591127576496	209	209	209	9.90599	10.3773895215311
STARD10_TSS34780	0.000229384115830182	-0.255845932189013	0.0235473388945192	208	206	197	2.23973	2.50997764401914	0.000169224826400899	-0.260993332491601	0.0194073045436149	208	206	197	2.23973	2.50997764401914
LAMTOR1_TSS19163	0.000279122939731682	-0.252467575965096	0.0260508874231846	209	209	209	125.068	128.888501913876	0.000523408458606205	-0.24132197839961	0.0357723091188054	209	209	209	125.068	128.888501913876
C1RL_TSS36204	0.000240793058177502	-0.255014617591256	0.0237276904813522	209	209	209	16.2863	16.677969138756	9.60741301649104e-05	-0.270303151009572	0.0141135105812947	209	209	209	16.2863	16.677969138756
NFE2_TSS25490,TSS3434	0.000357800806788502	-0.248125738092777	0.0286700514806298	208	207	205	7.90111	8.5213067291866	3.55818453484678e-06	-0.318797840851857	0.00320545937275026	208	207	205	7.90111	8.5213067291866
SELPLG_TSS11918,TSS24366	2.17137963165071e-06	-0.325374957610466	0.00462521956371864	209	209	209	141.883	148.833581818182	0.000107520891406043	-0.268478854324155	0.0151571870013963	209	209	209	141.883	148.833581818182
IRS2_TSS5397	0.000826445005758516	-0.232890223640035	0.0403117126777923	209	209	209	14.0603	14.2529357894737	0.000341480782672883	-0.248947866975549	0.0284974258771091	209	209	209	14.0603	14.2529357894737
INF2_TSS25474	3.1860008166468e-06	-0.32028266321425	0.0052854726338186	209	209	209	36.8217	37.8844966507177	2.32324609337301e-05	-0.292274514239196	0.00682580383824223	209	209	209	36.8217	37.8844966507177
CSPG4_TSS34313	0.000402339981295108	-0.246047451598383	0.0298959658775705	209	208	183	2.69232	3.15999306555024	1.59106125672876e-09	-0.407547560310294	4.06691167832438e-05	209	208	183	2.69232	3.15999306555024
ODF3L1_TSS109	0.000171161226385151	-0.260802674863069	0.0216184067865948	206	205	180	2.3205	2.74379872583732	0.000511282383673432	-0.241746790627922	0.0356937100382748	206	205	180	2.3205	2.74379872583732
MSRB1_TSS18648	0.00142473948912395	-0.222427873335081	0.0492131974074289	209	209	209	31.2292	32.204883062201	2.5256719614159e-06	-0.323378533316554	0.00268994587523966	209	209	209	31.2292	32.204883062201
ST3GAL2_TSS11591	0.000187126668591684	-0.259303269540306	0.022424486845953	209	209	209	15.3721	15.6850083732057	0.00031664376715133	-0.250271888576469	0.0275925093226358	209	209	209	15.3721	15.6850083732057
BCAR1_TSS11528,TSS12694,TSS13521,TSS29281,TSS29637,TSS6650,TSS7009	0.000616204996437117	-0.238343017020587	0.0357161358592498	209	209	209	9.10515	9.67724	2.82093975813743e-07	-0.35104064880502	0.000655509465070461	209	209	209	9.10515	9.67724
SPIRE2_TSS12543	8.24556381676804e-05	-0.272759933174962	0.0167273695809847	207	207	206	5.59326	5.68016766028708	7.72343194611591e-05	-0.273804207015633	0.012473406035458	207	207	206	5.59326	5.68016766028708
RAB11FIP4_TSS21984,TSS33478	0.000939384055689732	-0.230471137559356	0.0423704724378424	209	209	208	3.99309	4.3094913492823	0.000296745438410535	-0.251404203457489	0.0265213641650758	209	209	208	3.99309	4.3094913492823
RARA_TSS19901,TSS20305,TSS8154	1.18374006925107e-05	-0.302106028632475	0.00798564047022604	209	209	209	47.1502	47.252980861244	0.000599996937337659	-0.238832038111002	0.0385339741590148	209	209	209	47.1502	47.252980861244
AOC3_TSS29860,TSS5849	0.00047983359540017	-0.242893577970397	0.0325332268753946	209	209	209	52.3673	58.1172094736842	5.97382833938374e-06	-0.311726496613236	0.00382362322035123	209	209	209	52.3673	58.1172094736842
DLX3_TSS20775	0.00146681080647804	-0.221855366260065	0.0497673473111069	194	172	32	0.427603	0.569069438277512	5.20393076800502e-07	-0.34357887500124	0.00102321287969982	194	172	32	0.427603	0.569069438277512
OCEL1_TSS3777	2.27534040530017e-05	-0.292583759329278	0.0105745411090687	206	206	206	8.85152	9.14657693779904	0.000214293786755046	-0.257006743060298	0.0216504485503784	206	206	206	8.85152	9.14657693779904
RASGRP4_TSS24505	0.0004700148491845	-0.243265896593564	0.0324704042162297	209	209	209	12.5943	12.9323371291866	0.000132032201829485	-0.265116753739874	0.0163828888881721	209	209	209	12.5943	12.9323371291866
ACTN4_TSS9698	3.76732880723437e-05	-0.284997101425071	0.0121894546381921	209	209	209	99.4658	101.073481339713	0.000569192980811735	-0.239796058406708	0.0374977880993009	209	209	209	99.4658	101.073481339713
OSCAR_TSS34207	0.000176263184521214	-0.260309815787399	0.0216608810555132	209	209	209	78.2697	79.9575966507177	0.000788499042677204	-0.23377172958859	0.0452917393929708	209	209	209	78.2697	79.9575966507177
ANGPT4_TSS20384	0.000315164821766367	-0.250353740012359	0.0269884828856357	208	208	207	13.0669	14.0791536650718	6.01465433639523e-06	-0.311632329067795	0.00382362322035123	208	208	207	13.0669	14.0791536650718
IQSEC2_TSS24617,TSS3634	0.000913114617288536	-0.231008931126152	0.0419599675290076	209	209	209	21.9236	22.1192535406699	0.000200520282592523	-0.258134788866419	0.0207702635928997	209	209	209	21.9236	22.1192535406699
FHL1_TSS10004,TSS15569,TSS18174,TSS32008,TSS33805,TSS765,TSS7962	0.00121323500736208	-0.225564017504821	0.0467040662999731	209	209	209	82.498	85.7244406698565	1.328828839459e-07	-0.359957836540303	0.000566103232756858	209	209	209	82.498	85.7244406698565
