tracking_ID	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
LRP8_TSS2911	0.000180549040626644	0.259905978127351	0.0219762572736079	208	207	93	0.957771	1.08099998133971	5.57961460284297e-05	0.278933047928254	0.0100614692500795	208	207	93	0.957771	1.08099998133971
RTCA_TSS8279	0.000476018878384591	0.24303738357617	0.0325035427949965	208	208	208	7.01029	6.9999143062201	0.000709872069879395	0.235730095321755	0.0427533421590226	208	208	208	7.01029	6.9999143062201
CD84_TSS10719	0.000518440145972535	0.241494920708767	0.0334642640686969	209	209	209	10.9982	12.0963051674641	3.81304528487314e-05	0.284812933308026	0.00832858924536602	209	209	209	10.9982	12.0963051674641
PVRL4_TSS17869	0.000954653955325695	0.230164850885625	0.0427353936113487	201	137	2	0.147953	0.195467274401914	0.000937761223068622	0.230503957265278	0.0493212235038211	201	137	2	0.147953	0.195467274401914
RGL1_TSS21741,TSS9460	1.89862162519041e-06	0.327136201116321	0.00441187885104473	207	206	102	0.978164	1.50499364880383	3.63672476858329e-06	0.318503481988992	0.00320545937275026	207	206	102	0.978164	1.50499364880383
RASGRP3_TSS12780,TSS24643,TSS6969	0.000203451975981035	0.257888759766915	0.0228071262933537	209	207	169	1.57884	1.78048691138756	1.52541827513477e-05	0.298450468766076	0.0055643611685874	209	207	169	1.57884	1.78048691138756
DYSF_TSS10947,TSS28868	9.49194416395077e-05	0.270498344459442	0.0173846491259706	208	208	147	1.67572	2.74688610047847	0.000371419191017011	0.247465925179914	0.0296466478260279	208	208	147	1.67572	2.74688610047847
ST3GAL5_TSS30007,TSS5642	0.000929971663043818	0.230662221720452	0.0422351923101869	209	209	209	11.3885	11.5321142105263	0.000276990649325993	0.252600450496615	0.0252862785265061	209	209	209	11.3885	11.5321142105263
MERTK_TSS7593	6.3429710322289e-05	0.276922416223291	0.0152369300033708	200	195	65	0.590316	1.03511450239234	0.000251159901939532	0.254290449417203	0.0240445627471025	200	195	65	0.590316	1.03511450239234
SLC20A1_TSS28706	0.00118614501155492	0.226001344141556	0.04645857937574	209	209	209	8.36027	8.53118205741627	0.000220067206979314	0.256553891345066	0.0219731948343681	209	209	209	8.36027	8.53118205741627
