tracking_ID	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
MGLL_TSS14603,TSS20093	0.0001368778319461	-0.261398267836725	0.0303255325401756	209	209	209	26.178	26.8005241626794	7.28418484899596e-08	-0.366888727490807	0.000465477622312964	209	209	209	26.178	26.8005241626794
ITIH5_TSS21794,TSS23392	9.04192368440363e-05	-0.268083539552153	0.025977751529236	209	208	203	26.5752	30.9198530036842	0.000152162308957307	-0.262767353284113	0.0182601914519142	209	208	203	26.5752	30.9198530036842
PDLIM1_TSS23538	0.000219355633952438	-0.253572079915316	0.0384172846586564	209	209	209	160.686	165.61306937799	6.44257010925205e-06	-0.31068027922278	0.00382973336192073	209	209	209	160.686	165.61306937799
PELI3_TSS14501,TSS28537	6.42027100324766e-05	-0.273475266440826	0.023096505742693	209	209	209	9.90599	10.3773895215311	2.38324891496026e-08	-0.379351562720977	0.000304591127576496	209	209	209	9.90599	10.3773895215311
GALNT6_TSS20693	0.000135524443567047	-0.261560565238907	0.0303255325401756	209	209	209	17.9184	18.4286615789474	5.98479344861575e-05	-0.277835756614847	0.0104066194108889	209	209	209	17.9184	18.4286615789474
CSPG4_TSS34313	2.07153586916891e-07	-0.350670126563972	0.000806501852126265	209	208	183	2.69232	3.15999306555024	1.59106125672876e-09	-0.407547560310294	4.06691167832438e-05	209	208	183	2.69232	3.15999306555024
ODF3L1_TSS109	0.000113643340025281	-0.264419424009291	0.0282122349946256	206	205	180	2.3205	2.74379872583732	0.000511282383673432	-0.241746790627922	0.0356937100382748	206	205	180	2.3205	2.74379872583732
EPN2_TSS32081	0.000215850372581438	-0.253843496421944	0.0383331467801463	208	207	204	2.84046	2.82186964162679	0.000127150919514221	-0.265736823085705	0.0161483033856943	208	207	204	2.84046	2.82186964162679
AOC3_TSS29860,TSS5849	0.000288747648634435	-0.248894461596246	0.0438359188692495	209	209	209	52.3673	58.1172094736842	5.97382833938374e-06	-0.311726496613236	0.00382362322035123	209	209	209	52.3673	58.1172094736842
CDC42EP4_TSS27099	0.000135547374898425	-0.261557802729934	0.0303255325401756	209	209	209	6.66922	7.1184123923445	1.13091955002732e-07	-0.361833207148672	0.000566103232756858	209	209	209	6.66922	7.1184123923445
C20orf202_TSS19400	8.37888770880869e-05	-0.269292572318735	0.0257625534417263	207	201	142	1.5361	1.7288195861244	7.66830525135792e-06	-0.308252782370468	0.0040835323027075	207	201	142	1.5361	1.7288195861244
IQSEC2_TSS24617,TSS3634	6.7886694345334e-05	-0.272604385486988	0.0231448369921359	209	209	209	21.9236	22.1192535406699	0.000200520282592523	-0.258134788866419	0.0207702635928997	209	209	209	21.9236	22.1192535406699
