tracking_ID	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
CD84_TSS10719	0.000150415318145819	0.259852644066153	0.0324210814512653	209	209	209	10.9982	12.0963051674641	3.81304528487314e-05	0.284812933308026	0.00832858924536602	209	209	209	10.9982	12.0963051674641
HSPA7_TSS10980	9.6359359181459e-05	0.267069008131703	0.0263104050419298	208	206	188	2.60873	3.76194343971292	3.58391418849328e-05	0.285757800882625	0.0079659504845284	208	206	188	2.60873	3.76194343971292
FCGR2B_TSS1648	8.67312619598557e-06	0.302950546558882	0.00718710940160291	209	208	205	4.74621	5.98402158229665	1.35908918954357e-06	0.331475346164431	0.00231597858492821	209	208	205	4.74621	5.98402158229665
RGL1_TSS21741,TSS9460	1.08730634697688e-06	0.330475950829932	0.00198588737801421	207	206	102	0.978164	1.50499364880383	3.63672476858329e-06	0.318503481988992	0.00320545937275026	207	206	102	0.978164	1.50499364880383
CHIT1_TSS23928	8.71335124949903e-06	0.302886031504483	0.00718710940160291	206	205	153	2.38222	21.1433327813397	0.00016229468073296	0.261692782213258	0.0192056219176629	206	205	153	2.38222	21.1433327813397
NLRP3_TSS20143,TSS2387	1.89290751113295e-05	0.291844604170998	0.0115242012046832	205	203	158	1.47035	1.68992473827751	0.000430260176158383	0.244850948603978	0.0324753701708876	205	203	158	1.47035	1.68992473827751
DYSF_TSS10947,TSS28868	0.000241516264044693	0.251944271502788	0.0408276304304306	208	208	147	1.67572	2.74688610047847	0.000371419191017011	0.247465925179914	0.0296466478260279	208	208	147	1.67572	2.74688610047847
SULT1C2_TSS16144	8.56959139262559e-05	0.268935889203402	0.0257793472834631	166	120	29	0.153348	0.42380145784689	0.000539197305017749	0.240782288802155	0.0362695324041018	166	120	29	0.153348	0.42380145784689
MERTK_TSS7593	1.69201952102679e-05	0.293469615809433	0.0110935741417064	200	195	65	0.590316	1.03511450239234	0.000251159901939532	0.254290449417203	0.0240445627471025	200	195	65	0.590316	1.03511450239234
SLC20A1_TSS28706	3.1729560448719e-05	0.284231785755682	0.0169026012640364	209	209	209	8.36027	8.53118205741627	0.000220067206979314	0.256553891345066	0.0219731948343681	209	209	209	8.36027	8.53118205741627
TMEM37_TSS6210	0.000261022457451073	0.250622730342394	0.0426608877564835	199	191	94	0.859995	1.40116949330144	3.8715170706211e-05	0.284580389048734	0.00832858924536602	199	191	94	0.859995	1.40116949330144
CYBRD1_TSS22715,TSS9625	0.000288174761720289	0.248928580845094	0.0438359188692495	204	202	100	0.968177	1.41495529090909	0.000178590143308879	0.260089433900812	0.0197616565070055	204	202	100	0.968177	1.41495529090909
SLC40A1_TSS18329	8.43030857281967e-07	0.333669646342175	0.00165817684774615	208	204	159	2.12227	3.96547404583732	2.26056033472747e-07	0.353692502648258	0.000612638734948525	208	204	159	2.12227	3.96547404583732
MREG_TSS21609	0.000263541548449827	0.250458815800696	0.0426608877564835	207	207	195	2.5546	3.47642358851675	8.60780942518723e-05	0.272071284149021	0.0130966795665006	207	207	195	2.5546	3.47642358851675
CCR5_TSS491	0.000331491036061505	0.246511106979516	0.0473532167156015	209	209	200	5.23042	6.81950903349282	0.000159209172811584	0.262013214890535	0.018928119377846	209	209	200	5.23042	6.81950903349282
STAB1_TSS12767	3.50863438229764e-05	0.282723832875903	0.0175662100021312	206	205	121	1.19156	2.01703387607655	3.98088673375519e-05	0.284154168112309	0.0083406103115997	206	205	121	1.19156	2.01703387607655
MGLL_TSS14603,TSS20093	0.0001368778319461	-0.261398267836725	0.0303255325401756	209	209	209	26.178	26.8005241626794	7.28418484899596e-08	-0.366888727490807	0.000465477622312964	209	209	209	26.178	26.8005241626794
ETV5_TSS36356	7.31923771344071e-07	0.335428029941945	0.00165817684774615	202	196	43	0.547203	0.673170967942584	2.57563274910429e-05	0.29073855919315	0.00731508318887275	202	196	43	0.547203	0.673170967942584
ST6GAL1_TSS18437,TSS23896	0.000378257647330978	0.244210627631985	0.0496268488356879	209	208	206	3.70036	4.80735480952153	2.25171529280758e-06	0.324896386464263	0.00250243889562846	209	208	206	3.70036	4.80735480952153
FAM198B_TSS21137,TSS8367	5.22790744101969e-05	0.276656986150845	0.0221833541858378	208	206	127	1.21759	1.72426393875598	0.000717322289726538	0.235536174020549	0.0427533421590226	208	206	127	1.21759	1.72426393875598
SEPP1_TSS35282	9.11589517605677e-06	0.302255531004842	0.00728416998911787	207	206	187	3.58969	7.60575014032091	3.0458255823776e-05	0.288222221029481	0.00786407552637918	207	206	187	3.58969	7.60575014032091
MEF2C_TSS31559,TSS3336,TSS8197	6.70396824501966e-05	0.272800614570743	0.0231448369921359	207	207	110	1.03807	1.16547546411483	0.000593456744331233	0.239032828391379	0.0385008828473367	207	207	110	1.03807	1.16547546411483
ABLIM3_TSS28820,TSS31562	2.97938842771461e-05	0.285171279099	0.0162091408716303	183	81	1	0.0637607	0.125918878516746	0.000665499375351623	0.23692550995417	0.0412884211974826	183	81	1	0.0637607	0.125918878516746
SMIM3_TSS9883	0.000361472385266242	0.245004284507257	0.0485606266221632	205	205	163	1.50895	1.72082799521531	0.00049162779030469	0.242455565019412	0.0348102436232082	205	205	163	1.50895	1.72082799521531
TREM2_TSS28347	4.47605357225816e-06	0.312019863518284	0.00524033880396593	209	209	209	82.5211	92.1779719617225	8.80785416566707e-06	0.306306276540027	0.00416391766825873	209	209	209	82.5211	92.1779719617225
TDRD6_TSS352	2.38356167554614e-06	0.320390001468755	0.00380922950273217	194	92	7	0.0783972	0.191294600526316	0.000116721568233213	0.267139947382975	0.0157027368716272	194	92	7	0.0783972	0.191294600526316
