tracking_ID	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)	pvalue (Race)	corr_coef (Race)	fdr (Race)	pval_dir (Race)	fpkm>0_num (Race)	fpkm>0.1_num (Race)	fpkm>1_num (Race)	fpkm_median (Race)	fpkm_mean (Race)
ODC1_TSS14668,TSS9374	0.000122808200349138	0.263164201697918	0.0293064099489597	209	209	209	16.1159	16.7394486124402	0.000462490612700413	NA	0.0418980414278633	-0.000462490612700413	209	209	209	16.1159	16.7394486124402
ACAT2_TSS28311,TSS31949	5.14340645586157e-05	0.276907683840173	0.0221833541858378	209	208	208	9.64148	10.3028635885167	3.12335620725509e-05	NA	0.0069384679153692	-3.12335620725509e-05	209	208	208	9.64148	10.3028635885167
ATP6V0D2_TSS10384	9.69609238780313e-05	0.266969557808663	0.0263104050419298	208	207	178	3.11176	4.31598389808612	0.000183821933986079	NA	0.0232480145917938	-0.000183821933986079	208	207	178	3.11176	4.31598389808612
SQLE_TSS26036	0.000169016528017446	0.257928556566238	0.0339186603912514	209	209	209	5.73908	6.56221411483254	0.000105377774383293	NA	0.0162173855552408	-0.000105377774383293	209	209	209	5.73908	6.56221411483254
MYOZ1_TSS27330	0.000212042501596466	0.254143039971569	0.0383331467801463	205	205	151	1.56337	1.86814367464115	3.18760512471917e-07	NA	0.000180963884713779	-3.18760512471917e-07	205	205	151	1.56337	1.86814367464115
FAM213A_TSS17196,TSS36051,TSS443	6.08217835559277e-06	0.307853309359278	0.0062647284475585	209	209	208	10.2684	11.8696567559809	6.49800555467579e-07	NA	0.000338784791643474	-6.49800555467579e-07	209	209	208	10.2684	11.8696567559809
FADS1_TSS12651	0.000310543742580519	0.247640973149603	0.0451170653283174	209	209	209	11.9013	13.7663655980861	3.28074899903721e-05	NA	0.00716352945969262	-3.28074899903721e-05	209	209	209	11.9013	13.7663655980861
FADS2_TSS14538,TSS20044,TSS23063	0.000164521392081802	0.258374701765428	0.0339186603912514	209	209	203	7.81713	9.5535348277512	5.72470534266768e-05	NA	0.0106477421522261	-5.72470534266768e-05	209	209	203	7.81713	9.5535348277512
FLT1_TSS20113	3.13850841805902e-07	0.345742043960448	0.00100314575312211	204	185	47	0.46145	0.80010121569378	0.000343278175208762	NA	0.0356492989514562	-0.000343278175208762	204	185	47	0.46145	0.80010121569378
GATM_TSS21952	2.08279557964611e-07	0.350606365773134	0.000806501852126265	206	204	160	1.71601	2.04519791196172	0.000420507449511243	NA	0.0404266571991362	-0.000420507449511243	206	204	160	1.71601	2.04519791196172
SQRDL_TSS11216,TSS34109	0.000215549585217325	0.253866977748217	0.0383331467801463	209	209	209	94.2479	97.3251224880383	3.95173019253386e-07	NA	0.000211877999146628	-3.95173019253386e-07	209	209	209	94.2479	97.3251224880383
MYO1E_TSS36478	0.000126153969666824	0.262727725280134	0.0295310349864367	209	209	209	8.05348	8.18939205741627	9.01824268627687e-06	NA	0.00264814995294615	-9.01824268627687e-06	209	209	209	8.05348	8.18939205741627
TRIB3_TSS12636,TSS15112,TSS21067,TSS28778	4.4660618801722e-05	0.279070037739038	0.020763127686546	208	208	206	4.00152	4.63322618660287	6.84068357683355e-05	NA	0.0120523409198184	-6.84068357683355e-05	208	208	206	4.00152	4.63322618660287
TRPM2_TSS9091	6.25678363511396e-05	0.273876886091217	0.0228597319150134	206	201	115	1.13557	1.80009315526316	0.000115538142341325	NA	0.017354670405868	-0.000115538142341325	206	201	115	1.13557	1.80009315526316
