tracking_ID	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
PDLIM1_TSS23538	0.000219355633952438	-0.253572079915316	0.0384172846586564	209	209	209	160.686	165.61306937799	0.00049000233698739	-0.242515349527816	0.0327878265333368	209	209	209	160.686	165.61306937799
PELI3_TSS14501,TSS28537	6.42027100324766e-05	-0.273475266440826	0.023096505742693	209	209	209	9.90599	10.3773895215311	1.92382579471376e-05	-0.295061523889392	0.00978471017506324	209	209	209	9.90599	10.3773895215311
PLEKHB1_TSS17097,TSS35974,TSS6067	0.000242698467947808	-0.251861396233589	0.0408276304304306	209	208	205	3.37839	3.68126026172249	0.00106406342908457	-0.228093420214585	0.045050014050837	209	208	205	3.37839	3.68126026172249
PLEKHG3_TSS17202	3.27568096280041e-06	-0.316198609068783	0.00440837695888455	209	209	209	7.45388	7.68578770334928	0.000699924068961021	-0.235991978496431	0.0374283663738759	209	209	209	7.45388	7.68578770334928
CSPG4_TSS34313	2.07153586916891e-07	-0.350670126563972	0.000806501852126265	209	208	183	2.69232	3.15999306555024	0.000402339981295108	-0.246047451598383	0.0298959658775705	209	208	183	2.69232	3.15999306555024
ODF3L1_TSS109	0.000113643340025281	-0.264419424009291	0.0282122349946256	206	205	180	2.3205	2.74379872583732	0.000171161226385151	-0.260802674863069	0.0216184067865948	206	205	180	2.3205	2.74379872583732
AOC3_TSS29860,TSS5849	0.000288747648634435	-0.248894461596246	0.0438359188692495	209	209	209	52.3673	58.1172094736842	0.00047983359540017	-0.242893577970397	0.0325332268753946	209	209	209	52.3673	58.1172094736842
CTIF_TSS34326	3.57232272237318e-05	-0.282453169455119	0.0175662100021312	207	207	207	3.09205	3.2458909569378	0.000304742803891174	-0.250940872068615	0.0264950027559943	207	207	207	3.09205	3.2458909569378
RGL3_TSS22698	1.66726231477564e-06	-0.325027827646394	0.00284212649258754	208	207	191	3.06079	3.38297424401914	0.000631243948441085	-0.237899780564437	0.0359359166282908	208	207	191	3.06079	3.38297424401914
IQSEC2_TSS24617,TSS3634	6.7886694345334e-05	-0.272604385486988	0.0231448369921359	209	209	209	21.9236	22.1192535406699	0.000913114617288536	-0.231008931126152	0.0419599675290076	209	209	209	21.9236	22.1192535406699
GABRE_TSS30383	0.000213185876259222	-0.254052573906522	0.0383331467801463	199	187	85	0.728892	1.28686729090909	0.000863225228650738	-0.232070671954288	0.0410891993846211	199	187	85	0.728892	1.28686729090909
