tracking_ID	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
MARCKSL1_TSS5912	0.000306676737093229	0.247857269069264	0.0449903656511684	203	202	154	1.46816	1.8643026861244	0.00115837606373507	0.226459242762896	0.0461990786769779	203	202	154	1.46816	1.8643026861244
CD84_TSS10719	0.000150415318145819	0.259852644066153	0.0324210814512653	209	209	209	10.9982	12.0963051674641	0.000518440145972535	0.241494920708767	0.0334642640686969	209	209	209	10.9982	12.0963051674641
RGL1_TSS21741,TSS9460	1.08730634697688e-06	0.330475950829932	0.00198588737801421	207	206	102	0.978164	1.50499364880383	1.89862162519041e-06	0.327136201116321	0.00441187885104473	207	206	102	0.978164	1.50499364880383
FAM150B_TSS9895	0.000169792277281196	0.257852686070016	0.0339186603912514	63	12	0	0	0.0236735507177033	0.0005509766041365	0.240389088965376	0.0339752847113014	63	12	0	0	0.0236735507177033
DYSF_TSS10947,TSS28868	0.000241516264044693	0.251944271502788	0.0408276304304306	208	208	147	1.67572	2.74688610047847	9.49194416395077e-05	0.270498344459442	0.0173846491259706	208	208	147	1.67572	2.74688610047847
SULT1C2P1_TSS14397	2.82634231500338e-06	0.318151586322777	0.00425115135262567	42	8	0	0	0.0153666827751196	0.000379095682710061	0.247103826286332	0.0290992935307864	42	8	0	0	0.0153666827751196
MERTK_TSS7593	1.69201952102679e-05	0.293469615809433	0.0110935741417064	200	195	65	0.590316	1.03511450239234	6.3429710322289e-05	0.276922416223291	0.0152369300033708	200	195	65	0.590316	1.03511450239234
SLC20A1_TSS28706	3.1729560448719e-05	0.284231785755682	0.0169026012640364	209	209	209	8.36027	8.53118205741627	0.00118614501155492	0.226001344141556	0.04645857937574	209	209	209	8.36027	8.53118205741627
DHRS9_TSS11781,TSS16426,TSS3314	7.52348303409612e-05	0.270992461501057	0.0240917103257529	209	209	209	13.8205	14.4915411483254	8.98823216806575e-06	0.306020299025234	0.00798564047022604	209	209	209	13.8205	14.4915411483254
CYBRD1_TSS22715,TSS9625	0.000288174761720289	0.248928580845094	0.0438359188692495	204	202	100	0.968177	1.41495529090909	0.00111387474896029	0.227214486835154	0.0451216362253153	204	202	100	0.968177	1.41495529090909
SLC40A1_TSS18329	8.43030857281967e-07	0.333669646342175	0.00165817684774615	208	204	159	2.12227	3.96547404583732	0.000167777302101778	0.261137190505546	0.0216184067865948	208	204	159	2.12227	3.96547404583732
MREG_TSS21609	0.000263541548449827	0.250458815800696	0.0426608877564835	207	207	195	2.5546	3.47642358851675	0.000609101617590026	0.238555856072263	0.035627566240775	207	207	195	2.5546	3.47642358851675
RAP2B_TSS29949	1.05177529148384e-05	0.300248812782978	0.00814966491007324	209	209	209	6.9475	7.08496138755981	0.000224568984293171	0.256208401113154	0.0231566841159771	209	209	209	6.9475	7.08496138755981
IGF2BP2_TSS18618,TSS4889	5.61575811097123e-05	0.275553110366663	0.0228597319150134	207	205	75	0.827591	0.951822913444976	8.71031977288385e-05	0.271881339706794	0.0170990740833504	207	205	75	0.827591	0.951822913444976
ST6GAL1_TSS18437,TSS23896	0.000378257647330978	0.244210627631985	0.0496268488356879	209	208	206	3.70036	4.80735480952153	0.00108390746219885	0.227738831049665	0.045050014050837	209	208	206	3.70036	4.80735480952153
