tracking_ID	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)	pvalue (Traction Bronchiestasis)	corr_coef (Traction Bronchiestasis)	fdr (Traction Bronchiestasis)	fpkm>0_num (Traction Bronchiestasis)	fpkm>0.1_num (Traction Bronchiestasis)	fpkm>1_num (Traction Bronchiestasis)	fpkm_median (Traction Bronchiestasis)	fpkm_mean (Traction Bronchiestasis)
ADORA3_TSS29272	5.48308732876288e-06	0.30926946859473	0.00609576273897681	201	195	91	0.870591	1.10432421781435	6.25254210360201e-05	0.277148343662646	0.0369691233536332	201	195	91	0.870591	1.10432421781435
RGL1_TSS21741,TSS9460	1.08730634697688e-06	0.330475950829932	0.00198588737801421	207	206	102	0.978164	1.50499364880383	2.81112649978721e-05	0.289428559593278	0.0240231202335827	207	206	102	0.978164	1.50499364880383
CHIT1_TSS23928	8.71335124949903e-06	0.302886031504483	0.00718710940160291	206	205	153	2.38222	21.1433327813397	4.756276828446e-06	0.31485937057396	0.0138444279974937	206	205	153	2.38222	21.1433327813397
DYSF_TSS10947,TSS28868	0.000241516264044693	0.251944271502788	0.0408276304304306	208	208	147	1.67572	2.74688610047847	9.99119608136391e-06	0.304523089333325	0.0173595070057029	208	208	147	1.67572	2.74688610047847
SULT1C2P1_TSS14397	2.82634231500338e-06	0.318151586322777	0.00425115135262567	42	8	0	0	0.0153666827751196	7.52001789060234e-06	0.308526015822964	0.0173595070057029	42	8	0	0	0.0153666827751196
TMEM37_TSS6210	0.000261022457451073	0.250622730342394	0.0426608877564835	199	191	94	0.859995	1.40116949330144	1.08149286069686e-06	0.3344029220139	0.00921467967075746	199	191	94	0.859995	1.40116949330144
SLC40A1_TSS18329	8.43030857281967e-07	0.333669646342175	0.00165817684774615	208	204	159	2.12227	3.96547404583732	4.91509393314103e-07	0.344282942718783	0.00628173580125089	208	204	159	2.12227	3.96547404583732
ETV5_TSS36356	7.31923771344071e-07	0.335428029941945	0.00165817684774615	202	196	43	0.547203	0.673170967942584	1.05039666180461e-05	0.303811880451894	0.0173595070057029	202	196	43	0.547203	0.673170967942584
SEPP1_TSS35282	9.11589517605677e-06	0.302255531004842	0.00728416998911787	207	206	187	3.58969	7.60575014032091	2.18213268152009e-05	0.29320348072134	0.0240231202335827	207	206	187	3.58969	7.60575014032091
ABLIM3_TSS28820,TSS31562	2.97938842771461e-05	0.285171279099	0.0162091408716303	183	81	1	0.0637607	0.125918878516746	4.88745652458165e-05	0.280993722002937	0.0328758621644294	183	81	1	0.0637607	0.125918878516746
TDRD6_TSS352	2.38356167554614e-06	0.320390001468755	0.00380922950273217	194	92	7	0.0783972	0.191294600526316	2.88408341905803e-06	0.321613928083383	0.0112141081445009	194	92	7	0.0783972	0.191294600526316
PLA2G7_TSS21440,TSS24190	2.03072674851081e-07	0.350904037795508	0.000806501852126265	205	200	155	2.32229	4.61703503732057	2.55483376837225e-07	0.352230121920537	0.00628173580125089	205	200	155	2.32229	4.61703503732057
SMPDL3A_TSS14511	0.000127875295580251	0.262507370411851	0.0295310349864367	203	201	159	2.05051	2.43421643827751	2.55160758555807e-05	0.290878500770166	0.0240231202335827	203	201	159	2.05051	2.43421643827751
HGF_TSS32222	0.000108502989304858	0.265165589910033	0.0274695191735171	169	115	8	0.119527	0.219411251913876	1.6675944538931e-05	0.297154045579864	0.0236807676866453	169	115	8	0.119527	0.219411251913876
DOCK5_TSS22178	7.96754003526054e-07	0.334373395503128	0.00165817684774615	209	208	196	2.16704	2.3276639562201	9.13005611937062e-05	0.271124846126607	0.0450898725634499	209	208	196	2.16704	2.3276639562201
ADAMDEC1_TSS4471	4.88118030901214e-05	0.277711098669037	0.0218968035967439	174	141	35	0.253402	0.674015088038277	2.95066595747269e-05	0.288700393220836	0.0243296685609547	174	141	35	0.253402	0.674015088038277
PTGS1_TSS16909,TSS26306,TSS5673	5.91944633603592e-05	0.274737733041632	0.0228597319150134	209	209	208	3.29494	3.55571864114833	3.12710848798971e-05	0.287824808656626	0.0249787562692203	209	209	208	3.29494	3.55571864114833
PAPSS2_TSS4097	6.3700797667783e-06	0.307219313549902	0.0062647284475585	209	209	208	3.32666	3.86016883253589	3.58965889648534e-05	0.285733424054574	0.0278046275918369	209	209	208	3.32666	3.86016883253589
ANKRD22_TSS21907	4.50869979222724e-06	0.311921842079583	0.00524033880396593	200	186	74	0.572189	0.990218796650718	1.06217392010109e-05	0.303653184430735	0.0173595070057029	200	186	74	0.572189	0.990218796650718
HTRA1_TSS17304	0.000329372396049749	0.246622320191265	0.0473532167156015	174	135	9	0.177177	0.298502291866029	5.65898479364809e-05	0.278712326806228	0.0351391859823922	174	135	9	0.177177	0.298502291866029
VWCE_TSS28844	0.000265259364141238	0.250347873509638	0.0426608877564835	125	19	0	0.0112018	0.0338378997607656	4.8746078783085e-06	0.314523289565128	0.0138444279974937	125	19	0	0.0112018	0.0338378997607656
MMP12_TSS34111	0.000182125028770768	0.25668807655577	0.0353660319853253	189	173	81	0.6856	1.56787286267943	3.07103622751483e-06	0.320774827277203	0.0112141081445009	189	173	81	0.6856	1.56787286267943
KCNJ5_TSS12525	1.19156655873658e-05	0.29848594590162	0.00870524483054122	205	199	122	1.35636	1.81629113909091	1.26248312457951e-05	0.301182326913484	0.0189825477337511	205	199	122	1.35636	1.81629113909091
PLXNC1_TSS1135,TSS5112	2.8123543721786e-05	0.286029488470068	0.0156330220210015	209	209	178	2.22571	2.99771364114833	4.18642410750726e-05	0.283382193114751	0.0305740533177123	209	209	178	2.22571	2.99771364114833
CMKLR1_TSS22814,TSS7058	3.79856103395603e-06	0.314224345678992	0.00485646028191278	209	208	172	2.14495	3.48928969138756	1.08662459250908e-05	0.303328973476906	0.0173595070057029	209	208	172	2.14495	3.48928969138756
SDS_TSS12760	6.24779793337745e-06	0.307485199257945	0.0062647284475585	199	192	114	1.11377	2.37169808755981	1.69346279009775e-06	0.328627936906976	0.0108216505944221	199	192	114	1.11377	2.37169808755981
SLC7A1_TSS3015	4.80334905424754e-07	0.340604925119689	0.00136468483685677	209	209	203	2.52784	2.55805097129187	8.05620217002361e-05	0.273131297136055	0.0420254252383619	209	209	203	2.52784	2.55805097129187
SPRY2_TSS27001	1.85493522123019e-07	0.351966122925071	0.000806501852126265	198	190	71	0.662398	0.936608148325359	0.000106066200134525	0.268700308079734	0.0492937843934289	198	190	71	0.662398	0.936608148325359
