tracking_ID	pvalue (Traction Bronchiestasis)	corr_coef (Traction Bronchiestasis)	fdr (Traction Bronchiestasis)	fpkm>0_num (Traction Bronchiestasis)	fpkm>0.1_num (Traction Bronchiestasis)	fpkm>1_num (Traction Bronchiestasis)	fpkm_median (Traction Bronchiestasis)	fpkm_mean (Traction Bronchiestasis)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
RGL1_TSS21741,TSS9460	2.81112649978721e-05	0.289428559593278	0.0240231202335827	207	206	102	0.978164	1.50499364880383	3.63672476858329e-06	0.318503481988992	0.00320545937275026	207	206	102	0.978164	1.50499364880383
CHIT1_TSS23928	4.756276828446e-06	0.31485937057396	0.0138444279974937	206	205	153	2.38222	21.1433327813397	0.00016229468073296	0.261692782213258	0.0192056219176629	206	205	153	2.38222	21.1433327813397
DYSF_TSS10947,TSS28868	9.99119608136391e-06	0.304523089333325	0.0173595070057029	208	208	147	1.67572	2.74688610047847	0.000371419191017011	0.247465925179914	0.0296466478260279	208	208	147	1.67572	2.74688610047847
TMEM37_TSS6210	1.08149286069686e-06	0.3344029220139	0.00921467967075746	199	191	94	0.859995	1.40116949330144	3.8715170706211e-05	0.284580389048734	0.00832858924536602	199	191	94	0.859995	1.40116949330144
SLC40A1_TSS18329	4.91509393314103e-07	0.344282942718783	0.00628173580125089	208	204	159	2.12227	3.96547404583732	2.26056033472747e-07	0.353692502648258	0.000612638734948525	208	204	159	2.12227	3.96547404583732
ETV5_TSS36356	1.05039666180461e-05	0.303811880451894	0.0173595070057029	202	196	43	0.547203	0.673170967942584	2.57563274910429e-05	0.29073855919315	0.00731508318887275	202	196	43	0.547203	0.673170967942584
SEPP1_TSS35282	2.18213268152009e-05	0.29320348072134	0.0240231202335827	207	206	187	3.58969	7.60575014032091	3.0458255823776e-05	0.288222221029481	0.00786407552637918	207	206	187	3.58969	7.60575014032091
RHOBTB3_TSS35763	6.96617075818722e-05	0.275443004522883	0.0379719861329836	209	206	77	0.744939	0.92817366076555	2.19422908198613e-06	0.325237145293954	0.00250243889562846	209	206	77	0.744939	0.92817366076555
ABLIM3_TSS28820,TSS31562	4.88745652458165e-05	0.280993722002937	0.0328758621644294	183	81	1	0.0637607	0.125918878516746	0.000665499375351623	0.23692550995417	0.0412884211974826	183	81	1	0.0637607	0.125918878516746
TDRD6_TSS352	2.88408341905803e-06	0.321613928083383	0.0112141081445009	194	92	7	0.0783972	0.191294600526316	0.000116721568233213	0.267139947382975	0.0157027368716272	194	92	7	0.0783972	0.191294600526316
PLA2G7_TSS21440,TSS24190	2.55483376837225e-07	0.352230121920537	0.00628173580125089	205	200	155	2.32229	4.61703503732057	3.52604905102431e-05	0.286005417863009	0.00790608243800284	205	200	155	2.32229	4.61703503732057
SMPDL3A_TSS14511	2.55160758555807e-05	0.290878500770166	0.0240231202335827	203	201	159	2.05051	2.43421643827751	3.95112387356127e-05	0.284269052854025	0.0083406103115997	203	201	159	2.05051	2.43421643827751
HGF_TSS32222	1.6675944538931e-05	0.297154045579864	0.0236807676866453	169	115	8	0.119527	0.219411251913876	2.81519583114616e-05	0.289406846190298	0.00765523623829011	169	115	8	0.119527	0.219411251913876
CLEC5A_TSS12782,TSS26901	6.36376287140512e-05	0.27687089799063	0.0369691233536332	209	209	207	5.73269	6.75381868421053	0.000342536337445302	0.248893600932413	0.0284974258771091	209	209	207	5.73269	6.75381868421053
DOCK5_TSS22178	9.13005611937062e-05	0.271124846126607	0.0450898725634499	209	208	196	2.16704	2.3276639562201	9.26801052339602e-05	0.270883318853097	0.0138565236251411	209	208	196	2.16704	2.3276639562201
ADAMDEC1_TSS4471	2.95066595747269e-05	0.288700393220836	0.0243296685609547	174	141	35	0.253402	0.674015088038277	0.000208944645566853	0.257436580195939	0.0212031154582064	174	141	35	0.253402	0.674015088038277
ADHFE1_TSS6280	8.92856467113937e-05	0.271483832478999	0.0450898725634499	200	190	59	0.636595	0.730208723444976	0.000793265244701477	0.233658888760357	0.0453616396416431	200	190	59	0.636595	0.730208723444976
PTGS1_TSS16909,TSS26306,TSS5673	3.12710848798971e-05	0.287824808656626	0.0249787562692203	209	209	208	3.29494	3.55571864114833	2.35554118194136e-05	0.292069420517345	0.00684204410813672	209	209	208	3.29494	3.55571864114833
LIPM_TSS32723	6.92514973985928e-05	0.275536484352351	0.0379719861329836	79	1	0	0	0.00293586764542198	8.53376817795341e-06	0.306751635484258	0.00416391766825873	79	1	0	0	0.00293586764542198
ANKRD22_TSS21907	1.06217392010109e-05	0.303653184430735	0.0173595070057029	200	186	74	0.572189	0.990218796650718	0.000102563864878314	0.269245378055167	0.0148114968935287	200	186	74	0.572189	0.990218796650718
VWCE_TSS28844	4.8746078783085e-06	0.314523289565128	0.0138444279974937	125	19	0	0.0112018	0.0338378997607656	0.000787802024323445	0.233788284278826	0.0452917393929708	125	19	0	0.0112018	0.0338378997607656
MYO7A_TSS21748,TSS8185	2.8195047416278e-05	0.289383886683246	0.0240231202335827	208	205	105	1.00335	1.57458260555024	2.22609200869973e-05	0.292908150095811	0.00677394498028258	208	205	105	1.00335	1.57458260555024
KCNJ5_TSS12525	1.26248312457951e-05	0.301182326913484	0.0189825477337511	205	199	122	1.35636	1.81629113909091	0.000855996568090594	0.232229172318748	0.0467429838148191	205	199	122	1.35636	1.81629113909091
METTL7B_TSS34515	2.25865579108793e-05	0.292692908780011	0.0240231202335827	118	80	10	0.0405179	0.180919493779904	4.41702712493729e-05	0.282557459720614	0.00875883711475371	118	80	10	0.0405179	0.180919493779904
PLXNC1_TSS1135,TSS5112	4.18642410750726e-05	0.283382193114751	0.0305740533177123	209	209	178	2.22571	2.99771364114833	6.71734853066482e-06	0.310100111379255	0.00385499135886099	209	209	178	2.22571	2.99771364114833
CMKLR1_TSS22814,TSS7058	1.08662459250908e-05	0.303328973476906	0.0173595070057029	209	208	172	2.14495	3.48928969138756	2.34387404840614e-07	0.35326076839331	0.000612638734948525	209	208	172	2.14495	3.48928969138756
SDS_TSS12760	1.69346279009775e-06	0.328627936906976	0.0108216505944221	199	192	114	1.11377	2.37169808755981	2.85680825143238e-05	0.289186492027413	0.00768060300992515	199	192	114	1.11377	2.37169808755981
SLC7A1_TSS3015	8.05620217002361e-05	0.273131297136055	0.0420254252383619	209	209	203	2.52784	2.55805097129187	0.000127614619299333	0.265676970832247	0.0161483033856943	209	209	203	2.52784	2.55805097129187
SPRY2_TSS27001	0.000106066200134525	0.268700308079734	0.0492937843934289	198	190	71	0.662398	0.936608148325359	1.54524010010721e-05	0.298263030097491	0.0055643611685874	198	190	71	0.662398	0.936608148325359
GATM_TSS21952	1.97612786219093e-05	0.294667010661077	0.0240231202335827	206	204	160	1.71601	2.04519791196172	3.91523565139598e-06	0.317506285673561	0.00324424953446904	206	204	160	1.71601	2.04519791196172
RRN3P1_TSS34716	9.17285463518405e-05	0.27104955155091	0.0450898725634499	206	201	106	1.01616	1.14010458803828	8.12418930482396e-06	0.307443112356322	0.00415324805641211	206	201	106	1.01616	1.14010458803828
FAM20A_TSS19359,TSS6805	2.46350867051808e-05	0.291402528686155	0.0240231202335827	206	201	57	0.611654	0.891293261244019	2.72848724962309e-05	0.289876051751056	0.00749923253630277	206	201	57	0.611654	0.891293261244019
TRIM47_TSS25847	2.36186894153701e-05	0.292029546683743	0.0240231202335827	207	205	191	2.10838	2.53512616526316	8.95956620453934e-06	0.306065381229605	0.00416391766825873	207	205	191	2.10838	2.53512616526316
SLC26A11_TSS13292	2.81776796967238e-05	0.2893931368765	0.0240231202335827	209	209	209	7.34484	8.04649248803828	9.25654153313569e-05	0.27090326960425	0.0138565236251411	209	209	209	7.34484	8.04649248803828
