tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean SCADDING 0	Fold Change (other vs. SCADDING_0)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
LINC01342	-	-	LINC01342	LINC01342	TSS2510	chr1:1137016-1144054	-	-	0.0186149777777778	0	Inf	6.04995294420984	0.0493908181497336	0.714152778935925	0.559829638028634	9	2	0	0	0.013402784
RNF207	-	-	RNF207	RNF207	TSS35327	chr1:6206128-6221299	-	-	0.21999413834591	0.0928241787398733	2.37000899261832	1.30118339379492	0.0194630704665972	0.714152778935925	0.559829638028634	71	37	1	0.0902077	0.184386549656219
MIR34A	-	-	MIR34A	MIR34A	TSS10574	chr1:9151667-9151777	-	-	20.1668261111111	48.111330952381	-2.38566697046461	1.52530448588087	-0.0213004579463065	0.714152778935925	0.559829638028634	47	47	47	17.3344	27.9912874666667
MST1L	-	-	MST1L	MST1L	TSS10968	chr1:16754633-16764480	-	-	0.03551923	0.0167824776190476	2.11644733312123	1.2829744135951	0.0401516589928549	0.714152778935925	0.559829638028634	56	3	0	0.0157236	0.0302729393333333
LCK	-	-	LCK	LCK	TSS12239,TSS13245	chr1:32251238-32286167	-	-	11.0901096666667	5.52943961904762	2.00564802777913	1.29638311336728	0.0224141599924562	0.714152778935925	0.559829638028634	75	75	71	4.94807	9.53312205333333
POU3F1	-	-	POU3F1	POU3F1	TSS19213	chr1:38043850-38046778	-	-	0.109785437407407	0.0451282571428571	2.43274268403215	2.39214487189874	0.0459944179038153	0.714152778935925	0.559829638028634	55	15	1	0.025755	0.0916814269333333
INADL	-	-	INADL	INADL	TSS29686	chr1:61742476-62163919	-	-	0.357394216111111	0.15075293952381	2.37072800862145	1.14682233956772	0.0417969854893997	0.714152778935925	0.559829638028634	72	50	3	0.143975	0.299534658666667
IL23R	-	-	IL23R	IL23R	TSS32594	chr1:67166485-67259967	-	-	0.18609317962963	0.0615737476190476	3.02228119654134	1.60341162900652	0.0356104006040366	0.714152778935925	0.559829638028634	52	32	1	0.0780286	0.151227738666667
LRRC7	-	-	LRRC7	LRRC7	TSS34624	chr1:69760174-70123488	-	-	0.00230754814814815	0.00509979428571429	-2.21004891698878	1.7392273857487	-0.0355827756583886	0.714152778935925	0.559829638028634	27	0	0	0	0.00308937706666667
ZRANB2-AS2	-	-	ZRANB2-AS2	ZRANB2-AS2	TSS1581	chr1:71081323-71237723	-	-	0.0788478907407407	0.0262743904761905	3.00094081391504	1.73763393540934	0.0375026718740199	0.714152778935925	0.559829638028634	31	17	0	0	0.0641273106666667
GBP1P1	-	-	GBP1P1	GBP1P1	TSS9429	chr1:89407678-89424934	-	-	1.48650903703704	0.728788866666667	2.03969778495112	0.939576291312771	0.00779387748961024	0.714152778935925	0.559829638028634	75	74	35	0.954129	1.27434738933333
LOC729970	-	-	LOC729970	LOC729970	TSS28718	chr1:94928027-94963270	-	-	0.0712189185185185	0.00244411904761905	29.1388909995595	3.05622249209095	0.0385370563796217	0.714152778935925	0.559829638028634	15	9	0	0	0.0519619746666667
AMY2A	-	-	AMY2A	AMY2A	TSS27923	chr1:103617331-103625780	-	-	0.0294268888888889	0.0076906	3.82634500414648	1.51101124013496	0.0093295094117472	0.714152778935925	0.559829638028634	37	2	0	0	0.023340728
LOC100996251	-	-	LOC100996251	LOC100996251	TSS35326	chr1:113011686-113073102	-	-	0.0884197703703704	0.0396299761904762	2.23113357286395	1.25300561687693	0.0453491838750688	0.714152778935925	0.559829638028634	55	23	0	0.0417991	0.074758628
RNU1-27P	-	-	RNU1-27P	RNU1-27P	TSS21676	chr1:146376806-146376970	-	-	1.28355055555556	14.0583933333333	-10.9527383027375	4.68554812997183	-0.0358472845234089	0.714152778935925	0.559829638028634	29	29	29	0	4.86050653333333
CIART	-	-	CIART	CIART	TSS14648,TSS20270	chr1:150282532-150287092	-	-	0.127932372222222	0.0516285047619048	2.47794068048664	1.34942126903	0.0495554408421567	0.714152778935925	0.559829638028634	48	27	0	0.0576641	0.106567289333333
BNIPL	-	-	BNIPL	BNIPL	TSS19371	chr1:151036552-151047600	-	-	0.14959117962963	0.0514919714285714	2.90513599459169	1.78418780541029	0.00818864449028089	0.714152778935925	0.559829638028634	59	28	1	0.0697019	0.122123401333333
