tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean SCADDING 0	Fold Change (other vs. SCADDING_0)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
HES4	-	-	HES4	HES4	TSS29140	chr1:998961-1000172	-	-	0.679683766666667	0.23287339047619	2.91868369020959	2.31592327635277	0.00977515014408008	0.285761309406549	0.254067929714817	43	34	3	0.213133	0.505924175925926
TAS1R3	-	-	TAS1R3	TAS1R3	TSS21119	chr1:1331345-1334464	-	-	0.1179941	0.0449689666666667	2.62390063073127	1.20745932933558	0.000583928491854455	0.108718514183755	0.096660698670863	43	16	0	0.0691663	0.089595437037037
PLCH2	-	-	PLCH2	PLCH2	TSS22645,TSS25109	chr1:2467458-2505530	-	-	0.352098954545455	0.171830123809524	2.04911075391973	1.20877215278946	0.0242285895487169	0.40589231837334	0.360875379632127	52	37	2	0.1828255	0.281994409259259
CHD5	-	-	CHD5	CHD5	TSS27341	chr1:6101786-6180134	-	-	0.00322155303030303	0.0151365428571429	-4.69852357380535	2.37740602075441	-0.0104553704348324	0.293458794800735	0.260911697970822	33	1	0	0.003407445	0.00785516018518518
MIR34A	-	-	MIR34A	MIR34A	TSS10574	chr1:9151667-9151777	-	-	10.8469754545455	48.111330952381	-4.43546047965101	1.80545747410324	-0.000376732785974867	0.0993935865010922	0.0883699854319199	35	35	35	8.815555	25.3386692592593
C1orf158	-	-	C1orf158	C1orf158	TSS7491	chr1:12746185-12761169	-	-	0.129396124242424	0.316161942857143	-2.44336485894131	1.3859297109174	-0.044085595451546	0.483791841194236	0.430135177363245	31	25	1	0.06373545	0.202027275925926
PDPN	-	-	PDPN	PDPN	TSS11826,TSS3823	chr1:13583756-13617957	-	-	0.0872095242424242	0.0168840371428571	5.16520566168729	1.7613212767886	0.00175036657282375	0.160641851586467	0.14282529269931	27	13	0	0.00413289	0.0598607237037037
CLCNKB	-	-	CLCNKB	CLCNKB	TSS20626,TSS21174	chr1:16043735-16057326	-	-	0.00458060606060606	0.0248752904761905	-5.43056751597172	2.54424866971059	-0.00707467893131601	0.252919771794547	0.224868800248827	20	1	0	0	0.0124729833333333
TCEA3	-	-	TCEA3	TCEA3	TSS33337	chr1:23380908-23424779	-	-	4.36095412121212	8.86612238095238	-2.03306940053019	0.70706955439547	-0.000359567933588688	0.0976935588267088	0.086858505404811	54	54	49	5.50111	6.112964
SNORA73B	-	-	SNORA73B	SNORA73B	TSS29223	chr1:28508557-28508715	-	-	10.6121672727273	4.48478	2.36626261995622	1.42842423147029	0.00971366128683225	0.285761309406549	0.254067929714817	31	31	31	2.872765	8.22929444444445
MIR3605	-	-	MIR3605	MIR3605	TSS18192	chr1:33332392-33332492	-	-	3.11818454545455	0	Inf	3.52315358634271	0.0421128432169768	0.476477631485713	0.423632176232673	6	6	6	0	1.90555722222222
SH3D21	-	-	SH3D21	SH3D21	TSS31704,TSS7139	chr1:36306392-36321347	-	-	1.47093633333333	0.655747414285714	2.24314469457051	0.83005535772695	7.05471912594493e-05	0.0591320657334541	0.0525738125705651	54	52	23	0.8912805	1.15391842037037
POU3F1	-	-	POU3F1	POU3F1	TSS19213	chr1:38043850-38046778	-	-	0.110727478787879	0.0451282571428571	2.45361744056195	1.09481907885427	0.000591806281741312	0.108718514183755	0.096660698670863	44	19	0	0.0465886	0.0852166703703704
GJA9	-	-	GJA9	GJA9	TSS11545	chr1:38874066-38881626	-	-	0.057513695672175	0.00496342860077484	11.5874933031567	2.49918065146786	0.00616982473573999	0.239868731387544	0.213265232139072	42	6	0	9.350625e-15	0.0370774806999638
