tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean 50-80	Fold Change (other vs. 50-80)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
HES4	-	-	HES4	HES4	TSS29140	chr1:998961-1000172	-	-	0.261793786092715	0.897899417021277	-3.42979652199721	2.81147040147969	-0.00924138164385832	1	1	151	118	12	0.183031	0.412788557070707
FAM43B	-	-	FAM43B	FAM43B	TSS25803	chr1:20552438-20555020	-	-	0.00592551079470199	0.00242319872340426	2.44532598068452	1.89952404939913	0.021625885294722	1	1	56	0	0	0	0.00509415388888889
LOC101928163	-	-	LOC101928163	LOC101928163	TSS13747	chr1:23521929-23528419	-	-	0.0118410635770283	0.00175268089252766	6.75597230934121	3.54123537091524	0.0311671544499303	1	1	27	5	0	0	0.00944634647515189
TCEB3-AS1	-	-	TCEB3-AS1	TCEB3-AS1	TSS19584	chr1:23760381-23778297	-	-	0.32301950012703	0.751928119566064	-2.32781030021519	1.69804324187617	-0.0116403250838766	1	1	196	126	20	0.2280565	0.424831142115084
C1orf146	-	-	C1orf146	C1orf146	TSS5715	chr1:92218015-92245810	-	-	0.0159243907284768	0.00118021914893617	13.4927405158871	3.60333866186142	0.022847750703149	1	1	22	8	0	0	0.0124245116161616
FAM231D	-	-	FAM231D	FAM231D	TSS12260	chr1:143792815-143797108	-	-	0.0352296540428417	0.109239982378426	-3.10079634178587	3.52016836245808	-0.0254622592040976	1	1	153	22	1	0.02065885	0.0527977622841167
SV2A	-	-	SV2A	SV2A	TSS14140,TSS2620	chr1:149903319-149917882	-	-	0.0604325189403973	0.0284994074468085	2.12048334875695	1.44781122419733	0.0459693991813835	1	1	129	38	0	0.02300565	0.0528524369191919
BGLAP	-	-	BGLAP	BGLAP	TSS14683	chr1:156241961-156243332	-	-	0.147852135099341	0.0637245106382979	2.32017686159339	2.58490477981241	0.0226099912559594	1	1	183	59	5	1.10476e-56	0.127882446464649
ATP1A2	-	-	ATP1A2	ATP1A2	TSS32505	chr1:160115729-160143584	-	-	0.00629673761589404	0.00304640276595745	2.06694193107294	1.53621579788867	0.0356985436785229	1	1	90	0	0	0	0.00552519348484848
LOC101928751	-	-	LOC101928751	LOC101928751	TSS36066	chr1:175877342-175880464	-	-	0.00357693046357616	0	Inf	4.69442227487206	0.0383783250686743	1	1	13	1	0	0	0.00272786111111111
LRRN2	-	-	LRRN2	LRRN2	TSS26643,TSS34400	chr1:204617172-204685469	-	-	0.142312080529801	0.288114361702128	-2.02452497798874	1.34490483302813	-0.00336306550692499	1	1	173	131	2	0.1417925	0.176921712929293
C4BPA	-	-	C4BPA	C4BPA	TSS32120	chr1:207104261-207144972	-	-	0.0325463072847682	0.0665785808510638	-2.04565698555371	2.41926017755338	-0.0308977597562155	1	1	88	20	0	0	0.0406246752525252
CR2	-	-	CR2	CR2	TSS13095	chr1:207454299-207489895	-	-	0.0303889	0.0130531391489362	2.32809132372397	2.98515925849221	0.0421628908025848	1	1	93	12	0	0	0.0262738456565657
G0S2	-	-	G0S2	G0S2	TSS32186	chr1:209675324-209676390	-	-	2.82970887549669	6.31732757446809	-2.23250088698938	1.79517979810458	-0.0106184571031076	1	1	190	188	143	1.83206	3.65757796060606
LOC101927604	-	-	LOC101927604	LOC101927604	TSS19070	chr1:230874845-230879015	-	-	0.00943896821192053	0.00326110638297872	2.89440671460061	3.2928884367295	0.0357441559398436	1	1	21	4	0	0	0.00797250606060606
SNORA14B	-	-	SNORA14B	SNORA14B	TSS20081	chr1:235127802-235127937	-	-	3.70258264900662	0.739204255319149	5.00887626439332	6.21081722548866	0.0213640754038136	1	1	36	36	36	0	2.99915444444444
LINC01341	-	-	LINC01341	LINC01341	TSS18720	chr1:246789616-246791486	-	-	0.139115872847682	0.0677965574468085	2.05196072023021	1.61988442154121	0.028495876110203	1	1	112	73	1	0.0417703	0.12218654040404
FIGLA	-	-	FIGLA	FIGLA	TSS18493	chr2:70777309-70790643	-	-	0.00726192450331126	0	Inf	4.31865251662434	0.0472382876962203	1	1	12	3	0	0	0.00553813434343434
TLX2	-	-	TLX2	TLX2	TSS30028	chr2:74514468-74517148	-	-	0.00974685894039735	0.00329541914893617	2.95769930921954	2.09266444076766	0.03935406832455	1	1	57	0	0	0	0.00821545656565657
GGT8P	-	-	GGT8P	GGT8P	TSS28123	chr2:91775341-91782127	-	-	0.127681539072848	0.0598834914893617	2.13216590912256	1.53310798404985	0.00106647130364488	1	1	147	72	3	0.05810095	0.111588063131313
LINC01127	-	-	LINC01127	LINC01127	TSS7730	chr2:101983464-101985545	-	-	0.136928398675497	0.0438245361702128	3.12446886245806	1.68629090187614	0.000565874619620951	0.850309832836306	0.850309832836306	101	59	1	0.03914245	0.114827986868687
LINC01159	-	-	LINC01159	LINC01159	TSS1185	chr2:104865496-104872595	-	-	0.00538978450331126	0.00140839787234043	3.82689054645809	2.37474117210171	0.018318460334804	1	1	42	0	0	0	0.00444470787878788
SCN3A	-	-	SCN3A	SCN3A	TSS8428	chr2:165087519-165204067	-	-	0.0105850453642384	0.00265617617021277	3.98506901874303	3.61032239848591	0.0135197131080605	1	1	94	1	0	0	0.00870294005050505
HOXD3	-	-	HOXD3	HOXD3	TSS27140	chr2:176164076-176173098	-	-	0.00344978556291391	0.000978142553191489	3.52687402430037	2.91528709993013	0.0287682405345909	1	1	28	0	0	0	0.00286308242424242
CCDC141	-	-	CCDC141	CCDC141	TSS27441	chr2:178829756-179050059	-	-	0.0175735931125828	0.00712446191489362	2.46665549237415	1.62134299410168	0.0106823258063357	1	1	126	2	0	0.00541769	0.0150932437878788
COL3A1	-	-	COL3A1	COL3A1	TSS34728	chr2:188974372-189012746	-	-	0.0189604444370861	0.131443267659574	-6.93249929323783	4.67926351827064	-0.0182476888406338	1	1	93	9	3	0	0.0456609125757576
LOC101927641	-	-	LOC101927641	LOC101927641	TSS7951	chr2:199608067-199659132	-	-	0.0039932417218543	0.000365453191489362	10.9268213135048	3.76906915161512	0.0241584291019135	1	1	22	1	0	0	0.0031321
AOX2P	-	-	AOX2P	AOX2P	TSS1604	chr2:200695722-200794218	-	-	0.00384386013245033	0.00132400765957447	2.90320082716571	2.20163078172967	0.0198635293646561	1	1	47	0	0	0	0.00324571333333333
EFHD1	-	-	EFHD1	EFHD1	TSS17162,TSS27077	chr2:232606056-232682781	-	-	0.0415108715231788	0.0207189021276596	2.0035265994023	3.62040603877848	0.0156040031394745	1	1	58	15	1	0	0.036575404040404
ENTPD3	-	-	ENTPD3	ENTPD3	TSS14064,TSS24873	chr3:40387155-40428626	-	-	0.0238424164990627	0.0596278573638085	-2.50091501279464	2.40976348179384	-0.032342327022025	1	1	90	16	0	0	0.0323369403406943
PDZRN3	-	-	PDZRN3	PDZRN3	TSS10425,TSS12603,TSS14822,TSS18522,TSS23854	chr3:73382429-73624921	-	-	0.00668375503311258	0.0136684404255319	-2.04502414553135	2.40177271622797	-0.0181557749510957	1	1	77	3	0	0	0.00834173590909091
TMEM108-AS1	-	-	TMEM108-AS1	TMEM108-AS1	TSS22455	chr3:133246447-133257121	-	-	0.00841806046357616	0.00305524680851064	2.75528001211783	2.00009481146346	0.0165777227933552	1	1	56	0	0	0	0.00714506934343434
CLSTN2-AS1	-	-	CLSTN2-AS1	CLSTN2-AS1	TSS19160	chr3:140505617-140508789	-	-	0.00273822337748344	0	Inf	6.7410667467023	0.0472382876962203	1	1	12	1	0	0	0.00208824106060606
LOC102724699	-	-	LOC102724699	LOC102724699	TSS25933	chr3:186810879-186825521	-	-	0.0146805344370861	0.00712365106382979	2.06081604861673	1.87820698749904	0.0302679477787218	1	1	73	2	0	0	0.0128867287878788
MIR4800	-	-	MIR4800	MIR4800	TSS10681	chr4:2250076-2250156	-	-	2.47018752914825	1.2213065e-05	202257.789436824	7.56153436410598	0.0394421597023944	1	1	116	5	5	4.508805e-07	1.88383278240121
LOC101927157	-	-	LOC101927157	LOC101927157	TSS5063	chr4:47914226-47990737	-	-	0.048353161589404	0.0139534723404255	3.46531389533176	1.77593775047114	0.000485394761402624	0.826627278668669	0.826627278668669	93	25	0	0	0.0401875787878788
SRD5A3-AS1	-	-	SRD5A3-AS1	SRD5A3-AS1	TSS15214	chr4:55366600-55385580	-	-	0.313611729801325	0.976715165957447	-3.11440891122345	4.15511726679668	-0.0179221484206467	1	1	152	131	11	0.216557	0.471015070707071
