tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean nonaccute stage I, untreated	Fold Change (other vs. nonaccute stage I, untreated)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
TTC34	-	-	TTC34	TTC34	TSS7390	chr1:2641367-2789665	-	-	0.0172103904761905	0.043749592	-2.54204528714935	1.69596366373642	-0.0213862243091466	0.985305471778545	0.985305471778545	29	5	0	0	0.0271130776119403
LINC01226	-	-	LINC01226	LINC01226	TSS20293	chr1:31518434-31524245	-	-	0.0163352173809524	0.033409688	-2.0452551821537	1.42608884295972	-0.0416129477943119	0.985305471778545	0.985305471778545	41	2	0	0.0140662	0.0227062885074627
FNDC5	-	-	FNDC5	FNDC5	TSS15429,TSS23337	chr1:32862267-32872492	-	-	0.425300778571429	0.199525208	2.13156414086499	1.56089992674303	0.0295354938356435	0.985305471778545	0.985305471778545	56	40	6	0.177279	0.341056162686567
TMIGD3	-	-	TMIGD3	TMIGD3	TSS2326,TSS29272	chr1:111483347-111564003	-	-	0.572005952381525	0.247146472453816	2.31444109520283	1.09924308500066	0.00817639568466486	0.985305471778545	0.985305471778545	65	49	9	0.304984	0.450789728527902
LOC645166	-	-	LOC645166	LOC645166	TSS26310,TSS34309	chr1:143399970-143424684	-	-	0.0780940285714286	0.159723328	-2.04526941331896	1.48486589814991	-0.0128013502873305	0.985305471778545	0.985305471778545	31	24	0	0	0.10855272238806
SPRR3	-	-	SPRR3	SPRR3	TSS2559	chr1:153001746-153003856	-	-	0.314266433333333	2.01532246	-6.41278305997894	3.90489848070329	-0.0238013796571252	0.985305471778545	0.985305471778545	36	29	10	0.0530721	0.948988831343284
OLFML2B	-	-	OLFML2B	OLFML2B	TSS10605	chr1:161983191-162024465	-	-	0.508170321428571	0.209026596	2.43112757492626	1.48170284258959	0.0385530202514795	0.985305471778545	0.985305471778545	60	48	5	0.226155	0.396549528358209
FAM163A	-	-	FAM163A	FAM163A	TSS20738	chr1:179743162-179816198	-	-	0.00443583642857143	0.0003480772	12.743829324562	2.83734276048292	0.0307461409062557	0.985305471778545	0.985305471778545	11	0	0	0	0.00291055313432836
FCAMR	-	-	FCAMR	FCAMR	TSS6613	chr1:206957966-206970625	-	-	0.00727260952380952	0	Inf	3.76487777927828	0.0219988921230292	0.985305471778545	0.985305471778545	8	1	0	0	0.00455894925373134
LOC101927851	-	-	LOC101927851	LOC101927851	TSS31241	chr1:234957342-234963999	-	-	0.181076471428571	0.442225004	-2.44220025114882	2.86049293728079	-0.0430218041127908	0.985305471778545	0.985305471778545	47	36	2	0.10822	0.278519953731343
RYR2	-	-	RYR2	RYR2	TSS4250	chr1:237042401-237833988	-	-	0.03556008	0.0124908344	2.84689387924317	1.3450293267548	0.00370490122735233	0.985305471778545	0.985305471778545	57	3	0	0.0165168	0.0269521525373134
