tracking_ID	pvalue (Traction Bronchiestasis)	corr_coef (Traction Bronchiestasis)	fdr (Traction Bronchiestasis)	fpkm>0_num (Traction Bronchiestasis)	fpkm>0.1_num (Traction Bronchiestasis)	fpkm>1_num (Traction Bronchiestasis)	fpkm_median (Traction Bronchiestasis)	fpkm_mean (Traction Bronchiestasis)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
AK4_TSS19216,TSS26102,TSS34022	0.00010922245068015	0.268223351719315	0.0498541975327735	187	42	1	0.044879	0.0775098831100478	0.00031146270091391	0.250560207299583	0.0269625115968818	187	42	1	0.044879	0.0775098831100478
RGL1_TSS21741,TSS9460	2.81112649978721e-05	0.289428559593278	0.0240231202335827	207	206	102	0.978164	1.50499364880383	1.89862162519041e-06	0.327136201116321	0.00441187885104473	207	206	102	0.978164	1.50499364880383
DYSF_TSS10947,TSS28868	9.99119608136391e-06	0.304523089333325	0.0173595070057029	208	208	147	1.67572	2.74688610047847	9.49194416395077e-05	0.270498344459442	0.0173846491259706	208	208	147	1.67572	2.74688610047847
SULT1C2P1_TSS14397	7.52001789060234e-06	0.308526015822964	0.0173595070057029	42	8	0	0	0.0153666827751196	0.000379095682710061	0.247103826286332	0.0290992935307864	42	8	0	0	0.0153666827751196
SLC40A1_TSS18329	4.91509393314103e-07	0.344282942718783	0.00628173580125089	208	204	159	2.12227	3.96547404583732	0.000167777302101778	0.261137190505546	0.0216184067865948	208	204	159	2.12227	3.96547404583732
BASP1_TSS16428,TSS25158	3.70725812918913e-05	0.285242322885455	0.0278709485412363	208	208	197	2.99271	4.08667410526316	0.00117400482875175	0.226200308061872	0.0463813561479497	208	208	197	2.99271	4.08667410526316
SEPP1_TSS35282	2.18213268152009e-05	0.29320348072134	0.0240231202335827	207	206	187	3.58969	7.60575014032091	0.000469344095052365	0.24329159306212	0.0324704042162297	207	206	187	3.58969	7.60575014032091
RHOBTB3_TSS35763	6.96617075818722e-05	0.275443004522883	0.0379719861329836	209	206	77	0.744939	0.92817366076555	3.61005276818804e-05	0.285647181560758	0.0121416524746914	209	206	77	0.744939	0.92817366076555
ABLIM3_TSS28820,TSS31562	4.88745652458165e-05	0.280993722002937	0.0328758621644294	183	81	1	0.0637607	0.125918878516746	0.000318826344219451	0.250151741574118	0.0270748178890145	183	81	1	0.0637607	0.125918878516746
TDRD6_TSS352	2.88408341905803e-06	0.321613928083383	0.0112141081445009	194	92	7	0.0783972	0.191294600526316	5.36048031262361e-07	0.34321274948687	0.00399810514292415	194	92	7	0.0783972	0.191294600526316
PLA2G7_TSS21440,TSS24190	2.55483376837225e-07	0.352230121920537	0.00628173580125089	205	200	155	2.32229	4.61703503732057	4.78593553177478e-07	0.34461068573875	0.00399810514292415	205	200	155	2.32229	4.61703503732057
SMPDL3A_TSS14511	2.55160758555807e-05	0.290878500770166	0.0240231202335827	203	201	159	2.05051	2.43421643827751	0.000151781513255696	0.26280902831094	0.0209598062302998	203	201	159	2.05051	2.43421643827751
DOCK5_TSS22178	9.13005611937062e-05	0.271124846126607	0.0450898725634499	209	208	196	2.16704	2.3276639562201	3.6868859762549e-06	0.318318633228553	0.0052854726338186	209	208	196	2.16704	2.3276639562201
PAPSS2_TSS4097	3.58965889648534e-05	0.285733424054574	0.0278046275918369	209	209	208	3.32666	3.86016883253589	6.38296679135868e-06	0.310809222691463	0.00684628839396081	209	209	208	3.32666	3.86016883253589
HTRA1_TSS17304	5.65898479364809e-05	0.278712326806228	0.0351391859823922	174	135	9	0.177177	0.298502291866029	0.000416399101051536	0.245435658975492	0.0303255496681628	174	135	9	0.177177	0.298502291866029
METTL7B_TSS34515	2.25865579108793e-05	0.292692908780011	0.0240231202335827	118	80	10	0.0405179	0.180919493779904	5.76089724426205e-05	0.278433146646698	0.0147921916067174	118	80	10	0.0405179	0.180919493779904
PLXNC1_TSS1135,TSS5112	4.18642410750726e-05	0.283382193114751	0.0305740533177123	209	209	178	2.22571	2.99771364114833	0.000242680156674435	0.254880661684508	0.0237276904813522	209	209	178	2.22571	2.99771364114833
CMKLR1_TSS22814,TSS7058	1.08662459250908e-05	0.303328973476906	0.0173595070057029	209	208	172	2.14495	3.48928969138756	8.06471643901231e-05	0.273114424520631	0.01662407034384	209	208	172	2.14495	3.48928969138756
SDS_TSS12760	1.69346279009775e-06	0.328627936906976	0.0108216505944221	199	192	114	1.11377	2.37169808755981	5.23770148103658e-06	0.31353841359323	0.00684628839396081	199	192	114	1.11377	2.37169808755981
SLC7A1_TSS3015	8.05620217002361e-05	0.273131297136055	0.0420254252383619	209	209	203	2.52784	2.55805097129187	3.94422397514774e-05	0.284295802854451	0.0123646550144613	209	209	203	2.52784	2.55805097129187
SPRY2_TSS27001	0.000106066200134525	0.268700308079734	0.0492937843934289	198	190	71	0.662398	0.936608148325359	0.000435110637819894	0.244650455833318	0.0311536779084435	198	190	71	0.662398	0.936608148325359
GATM_TSS21952	1.97612786219093e-05	0.294667010661077	0.0240231202335827	206	204	160	1.71601	2.04519791196172	0.000647508129220465	0.237431275488675	0.0362085132289903	206	204	160	1.71601	2.04519791196172
HS3ST2_TSS15246	1.0827356206671e-05	0.303380075181803	0.0173595070057029	162	117	31	0.123074	0.584588838755981	9.2896233403211e-07	0.336334389890403	0.00399810514292415	162	117	31	0.123074	0.584588838755981
FAM20A_TSS19359,TSS6805	2.46350867051808e-05	0.291402528686155	0.0240231202335827	206	201	57	0.611654	0.891293261244019	0.000859427103526691	0.232153799180178	0.041061338678964	206	201	57	0.611654	0.891293261244019
TRIM47_TSS25847	2.36186894153701e-05	0.292029546683743	0.0240231202335827	207	205	191	2.10838	2.53512616526316	0.000297862388486192	0.251338800051956	0.0263341483533305	207	205	191	2.10838	2.53512616526316
