tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
PNRC2_TSS27984	0.00200349817273836	-0.214587613514399	0.0286257220756653	209	209	209	21.1237	20.9209825358852	0.000149455241277335	0.263065761574751	0.0208336017762531	209	209	209	21.1237	20.9209825358852
PIGV_TSS12266,TSS30310	0.000954385932743445	-0.22906126281821	0.0171193395276177	208	208	207	5.86591	5.941915	0.000443171824052982	-0.244321784329104	0.0314664305406063	208	208	207	5.86591	5.941915
MARCKSL1_TSS5912	0.00245034696004984	0.210494350672508	0.0326896235103517	203	202	154	1.46816	1.8643026861244	0.00115837606373507	0.226459242762896	0.0461990786769779	203	202	154	1.46816	1.8643026861244
CLCC1_TSS29672,TSS3430	0.00285707559273506	-0.207321114006234	0.0360997079712807	209	209	209	4.91165	4.90519215311005	0.0012293606670699	0.225307925330156	0.0467614404925202	209	209	209	4.91165	4.90519215311005
ACBD3_TSS15303	0.00256292660921766	-0.209570817226693	0.0336482729101024	209	209	209	12.8577	12.7343493779904	0.00114947882735695	0.22660808560153	0.0460530224233086	209	209	209	12.8577	12.7343493779904
KBTBD8_TSS6283	2.1764929189149e-05	-0.291853956896118	0.0010908497156938	209	207	192	2.21149	2.41365870861244	0.000112752454393275	0.267704969815792	0.0183815037638322	209	207	192	2.21149	2.41365870861244
ARL13B_TSS9424	0.00346913258405555	-0.203244137872077	0.0407709580465154	208	208	195	1.80863	1.88230983253589	0.0013450077489127	0.223556648843411	0.0487462062076261	208	208	195	1.80863	1.88230983253589
MFSD1_TSS17967	0.00357335432665535	-0.202615729151279	0.0415931283896345	209	209	209	46.8802	47.7807875598086	0.00145488169741068	0.222016155915813	0.0497673473111069	209	209	209	46.8802	47.7807875598086
ST6GAL1_TSS18437,TSS23896	2.64767140453913e-06	0.321240443376385	0.000200970767355366	209	208	206	3.70036	4.80735480952153	0.00108390746219885	0.227738831049665	0.045050014050837	209	208	206	3.70036	4.80735480952153
ATP13A3_TSS22329	0.000501620779178445	-0.240929110626443	0.0111204932667652	209	209	209	7.72449	8.74168507177033	8.12960679543056e-05	0.272986378433299	0.01662407034384	209	209	209	7.72449	8.74168507177033
