tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean nonaccute stage I, untreated	Fold Change (other vs. nonaccute stage I, untreated)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
CCDC27	-	-	CCDC27	CCDC27	TSS18904	chr1:3752400-3771645	-	-	0.00446577352941176	0	Inf	2.88549074410246	0.0174944193926042	0.897794179149858	0.813163423768925	7	0	0	0	0.00257349661016949
CELA2A	-	-	CELA2A	CELA2A	TSS20383	chr1:15456727-15472091	-	-	0.891910855882353	2.08938124	-2.34258976244101	1.28906047661344	-0.0348306924001374	0.897794179149858	0.813163423768925	47	42	24	0.694081	1.39931356101695
VWA5B1	-	-	VWA5B1	VWA5B1	TSS9503	chr1:20290918-20354894	-	-	0.0032965	0.0006484536	5.08363281505415	2.03153783339361	0.0223787547418022	0.897794179149858	0.813163423768925	13	0	0	0	0.00217444644067797
FNDC5	-	-	FNDC5	FNDC5	TSS15429,TSS23337	chr1:32862267-32872492	-	-	0.4648705	0.199525208	2.3298835503532	1.1061718151095	0.00266363371403179	0.897794179149858	0.813163423768925	50	38	4	0.215731	0.352436054237288
HPCA	-	-	HPCA	HPCA	TSS15465	chr1:32886496-32894646	-	-	0.0284015441176471	0.002346337736636	12.1046274260444	3.21644826152755	0.0249883304648095	0.897794179149858	0.813163423768925	13	2	0	0	0.017361202430778
BEND5	-	-	BEND5	BEND5	TSS4594	chr1:48727522-48776969	-	-	0.0233691352941176	0.062066172	-2.65590366176805	1.72651566634493	-0.0151992138135504	0.897794179149858	0.813163423768925	29	7	0	0	0.0397661847457627
PTGER3	-	-	PTGER3	PTGER3	TSS14687	chr1:70852352-71047808	-	-	1.88316834705882	3.775832884	-2.00504266647068	1.07522939611891	-0.00332253355342091	0.897794179149858	0.813163423768925	58	53	36	1.74165	2.68514484576271
GPR88	-	-	GPR88	GPR88	TSS23802	chr1:100538171-100542027	-	-	0.00768453676470588	0.001457836	5.27119426650589	2.19092973977304	0.0175410381674281	0.897794179149858	0.813163423768925	14	0	0	0	0.00504610423728814
TMIGD3	-	-	TMIGD3	TMIGD3	TSS2326,TSS29272	chr1:111483347-111564003	-	-	0.608858408823529	0.247146472453816	2.46355289953534	0.941462596147947	0.000872596362022951	0.897794179149858	0.813163423768925	57	45	9	0.304984	0.455590639175346
LOC645166	-	-	LOC645166	LOC645166	TSS26310,TSS34309	chr1:143399970-143424684	-	-	0.0567102588235294	0.159723328	-2.81648032143577	1.64194947373111	-0.00217720844425447	0.897794179149858	0.813163423768925	26	20	0	0	0.10035986440678
PGLYRP3	-	-	PGLYRP3	PGLYRP3	TSS35109	chr1:153297861-153310718	-	-	0.00563054411764706	0	Inf	3.3856550508404	0.048977017355766	0.897794179149858	0.813163423768925	5	0	0	0	0.00324472033898305
RUSC1-AS1	-	-	RUSC1-AS1	RUSC1-AS1	TSS31815	chr1:155320459-155324147	-	-	0.480936611764706	1.12201104	-2.33297073367526	2.03035571988721	-0.0342485843191387	0.897794179149858	0.813163423768925	55	52	8	0.543776	0.752578318644068
FCRL5	-	-	FCRL5	FCRL5	TSS10556	chr1:157513376-157552520	-	-	0.125237021176471	0.0464613172	2.69551163686058	1.32971167938371	0.0326889400132616	0.897794179149858	0.813163423768925	46	19	0	0.0434964	0.0918574855932203
OLFML2B	-	-	OLFML2B	OLFML2B	TSS10605	chr1:161983191-162024465	-	-	0.449743523529412	0.209026596	2.15160908772304	0.984497443136536	0.0163368367007518	0.897794179149858	0.813163423768925	54	43	4	0.218461	0.347744825423729
RGS4	-	-	RGS4	RGS4	TSS10061,TSS11288,TSS20507,TSS23672	chr1:163068605-163076802	-	-	0.00727936764705882	0.000927584	7.84766408978467	2.98823855081094	0.0299851331491939	0.897794179149858	0.813163423768925	12	0	0	0	0.00458793389830508
MYBPH	-	-	MYBPH	MYBPH	TSS36298	chr1:203167810-203175814	-	-	0.0312219588235294	0.00943062	3.31070055028507	1.79277650613404	0.0468083822793589	0.897794179149858	0.813163423768925	22	5	0	0	0.0219883406779661
TMCC2	-	-	TMCC2	TMCC2	TSS12734,TSS20031,TSS30932,TSS31852	chr1:205227909-205273343	-	-	0.0830262441176471	0.180109168	-2.16930405456843	1.32773381361911	-0.0477279865736373	0.897794179149858	0.813163423768925	53	25	1	0.0887141	0.124163076271186
FAM150B	-	-	FAM150B	FAM150B	TSS9895	chr2:279560-288308	-	-	0.0377963058823529	0.000787336	48.0053063525013	3.66614301590388	0.00619275470189084	0.897794179149858	0.813163423768925	12	3	0	0	0.0221145389830508
C2orf48	-	-	C2orf48	C2orf48	TSS18048	chr2:10141381-10211730	-	-	0.0565394352941176	0.027279264	2.07261586288096	1.33971981184471	0.0487524642597724	0.897794179149858	0.813163423768925	34	10	0	0.0198645	0.0441410576271186
FLJ33534	-	-	FLJ33534	FLJ33534	TSS18665	chr2:11099850-11132176	-	-	0.00967860882352941	0.001404024	6.89347819092082	2.5976037707795	0.0299851331491939	0.897794179149858	0.813163423768925	12	1	0	0	0.00617242881355932
OSR1	-	-	OSR1	OSR1	TSS14392	chr2:19351484-19358611	-	-	0.00890862058823529	0.001595848	5.58237412851054	2.21632861805373	0.0263891807878822	0.897794179149858	0.813163423768925	13	0	0	0	0.00580998813559322
SDC1	-	-	SDC1	SDC1	TSS22595,TSS27290	chr2:20200796-20225433	-	-	0.182304076470588	0.067479728	2.70161249717231	1.08110713999809	0.00105596006897356	0.897794179149858	0.813163423768925	49	29	0	0.0992396	0.133649691525424
FLJ31356	-	-	FLJ31356	FLJ31356	TSS11158	chr2:28384408-28394672	-	-	0.0162166411764706	0.0051613728	3.14192401999534	2.56953149717347	0.0407414735473422	0.897794179149858	0.813163423768925	20	1	0	0	0.0115322054237288
TSPYL6	-	-	TSPYL6	TSPYL6	TSS15595	chr2:54253177-54256272	-	-	0.0166489735294118	0.0516705548	-3.10352795676681	2.54760702317054	-0.0366647125637884	0.897794179149858	0.813163423768925	25	5	0	0	0.0314886266101695
LINC01185	-	-	LINC01185	LINC01185	TSS7537	chr2:60847759-60881314	-	-	0.00815672352941177	0.001742888	4.68000441187946	2.10712754354464	0.0392813819731718	0.897794179149858	0.813163423768925	12	0	0	0	0.00543899661016949
PLGLB1	-	-	PLGLB1	PLGLB1	TSS34358	chr2:87010464-87021846	-	-	0.0246810532354273	0.073380086	-2.97313430265893	2.26942688189957	-0.0499382037604488	0.897794179149858	0.813163423768925	49	6	0	0.0181843	0.0453162366102462
LOC100506076	-	-	LOC100506076	LOC100506076	TSS16442,TSS17248	chr2:97278716-97291878	-	-	0.0546438673764706	0.134594695164	-2.46312535378775	1.48125970154229	-0.00863349955548376	0.897794179149858	0.813163423768925	43	19	0	1.71884e-05	0.0885213367779661
SULT1C4	-	-	SULT1C4	SULT1C4	TSS34726	chr2:108377964-108387814	-	-	0.0147577441176471	0.0018548	7.95651505156732	2.73787852614787	0.0406382750810405	0.897794179149858	0.813163423768925	9	2	0	0	0.00929039491525424
SH3RF3	-	-	SH3RF3	SH3RF3	TSS34210	chr2:109129540-109504636	-	-	0.0923104590589647	0.0317684772	2.90572502036593	1.19058786992678	0.00137442213151041	0.897794179149858	0.813163423768925	46	13	0	0.0480827	0.0666570769153356
