tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean nonaccute stage I, untreated	Fold Change (other vs. nonaccute stage I, untreated)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
SCNN1D	-	-	SCNN1D	SCNN1D	TSS34790	chr1:1280435-1292029	-	-	0.574049428571429	1.454458448	-2.53368155355462	2.03130441914748	-0.0143558093998384	0.802354445417008	0.750251842409159	38	37	9	0.738518	1.13841418461538
HSPB7	-	-	HSPB7	HSPB7	TSS6367	chr1:16014027-16018790	-	-	0.0199863285714286	0.0451789964	-2.26049502981681	1.12787696188608	-0.0389365126091502	0.802354445417008	0.750251842409159	27	3	0	0.0211309	0.0361354746153846
MST1P2	-	-	MST1P2	MST1P2	TSS11713	chr1:16645573-16650420	-	-	0.253023264285714	0.62231832	-2.45953004264966	2.03986795138223	-0.00275335648488481	0.802354445417008	0.750251842409159	38	32	2	0.28589	0.489750864102564
SNORA44	-	-	SNORA44	SNORA44	TSS12265	chr1:28580380-28580512	-	-	198.936414285714	30.7520048	6.46905512598367	3.63219127202867	0.00871726155839698	0.802354445417008	0.750251842409159	34	34	34	25.0359	91.1258953846154
TMEM54	-	-	TMEM54	TMEM54	TSS17239	chr1:32894594-32901352	-	-	0.0499158857142857	0.201111808	-4.02901411288476	1.37603274944709	-0.0278333237370927	0.802354445417008	0.750251842409159	23	15	0	0.0858164	0.146836348717949
BEST4	-	-	BEST4	BEST4	TSS9002	chr1:44783584-44787754	-	-	0.121021364285714	0.2774011	-2.29216635952885	0.882148263330984	-0.0137535790193902	0.802354445417008	0.750251842409159	33	29	0	0.176078	0.221264784615385
TCTEX1D4	-	-	TCTEX1D4	TCTEX1D4	TSS2444	chr1:44805909-44807285	-	-	1.03662075	2.094903076	-2.02089633648564	0.958791806669958	-0.00625675829462631	0.802354445417008	0.750251842409159	39	37	26	1.24378	1.71500685641026
CCDC163P	-	-	CCDC163P	CCDC163P	TSS24764	chr1:45493925-45500079	-	-	1.1342477	0.383511696	2.95753092234246	1.50718333697776	0.00392199326158297	0.802354445417008	0.750251842409159	36	34	5	0.379889	0.653006671794872
LRRC7	-	-	LRRC7	LRRC7	TSS34624	chr1:69760174-70123488	-	-	0.005212085	0.0024889908	2.09405555054683	1.49190411094875	0.0273808337630352	0.802354445417008	0.750251842409159	15	0	0	0	0.00346651179487179
AMY1B	-	-	AMY1B	AMY1B	TSS10396	chr1:103687418-103696267	-	-	3.03176857142857e-05	7.9457416e-05	-2.62082722107511	1.05127536426064	-0.0093447605894748	0.802354445417008	0.750251842409159	20	0	0	6.41047e-05	6.18175128205128e-05
AMY1C	-	-	AMY1C	AMY1C	TSS36198	chr1:103687418-103696289	-	-	2.62884285714286e-06	8.831112e-06	-3.35931528809525	1.05957907120816	-0.0085308355840193	0.802354445417008	0.750251842409159	20	0	0	5.2001e-06	6.60465641025641e-06
UBL4B	-	-	UBL4B	UBL4B	TSS2663	chr1:110112439-110113947	-	-	0.0289318571428571	0.0051655	5.60097902291301	2.54696834463792	0.0135666947578339	0.802354445417008	0.750251842409159	8	1	0	0	0.0136970128205128
FAM231D	-	-	FAM231D	FAM231D	TSS12260	chr1:143792815-143797108	-	-	0.0223151211292857	0.05281356058096	-2.36671628511346	1.04715357151269	-0.0287173900261503	0.802354445417008	0.750251842409159	32	4	0	0.0255543	0.0418654028290769
RUSC1-AS1	-	-	RUSC1-AS1	RUSC1-AS1	TSS31815	chr1:155320459-155324147	-	-	0.329734042857143	1.12201104	-3.40277585619545	2.23278904658205	-0.00841215308981514	0.802354445417008	0.750251842409159	37	32	5	0.560835	0.837603912820513
MSTO2P	-	-	MSTO2P	MSTO2P	TSS20080	chr1:155745767-155750688	-	-	0.1588023	0.339306112	-2.13665741617092	0.717650077041913	-0.00541156702214274	0.802354445417008	0.750251842409159	37	31	0	0.238035	0.274509871794872
MAEL	-	-	MAEL	MAEL	TSS10501,TSS25660	chr1:166975581-167022212	-	-	0.0168880357142857	0.005810728	2.90635454185529	1.85082650158867	0.0269080612671187	0.802354445417008	0.750251842409159	11	0	0	0	0.00978719743589744
FMO1	-	-	FMO1	FMO1	TSS25020,TSS2779	chr1:171248470-171285978	-	-	0.0103218214285714	0	Inf	3.66843878420516	0.00592479203929854	0.802354445417008	0.750251842409159	4	0	0	0	0.00370526923076923
MYOC	-	-	MYOC	MYOC	TSS24281	chr1:171635416-171652633	-	-	0.00769067142857143	0.001883116	4.0840136393995	2.04017976567793	0.0487604757389105	0.802354445417008	0.750251842409159	8	0	0	0	0.00396787948717949
SCARNA3	-	-	SCARNA3	SCARNA3	TSS23324	chr1:175968396-175968540	-	-	193.697744285714	0.7184972	269.587333514611	6.08272415188845	0.0134730295381516	0.802354445417008	0.750251842409159	11	11	11	0	69.9930987179487
SNORD75	-	-	SNORD75	SNORD75	TSS18787	chr1:173866878-173866938	-	-	27.1803285714286	0	Inf	4.37533264584504	0.0190759720906935	0.802354445417008	0.750251842409159	3	3	3	0	9.75704102564103
CFHR3	-	-	CFHR3	CFHR3	TSS14571	chr1:196774799-196794073	-	-	0.0089032	0	Inf	3.81319261529899	0.0190759720906935	0.802354445417008	0.750251842409159	3	0	0	0	0.00319602051282051
SLC26A9	-	-	SLC26A9	SLC26A9	TSS15538	chr1:205913047-205943460	-	-	0.0132452492857143	0.0024114164	5.49272588745531	2.55225442701227	0.0114111782044814	0.802354445417008	0.750251842409159	13	0	0	0	0.00630048461538462
SYT14	-	-	SYT14	SYT14	TSS5524	chr1:209938173-210164288	-	-	0.00281489785714286	0.0002816792	9.99327553167879	2.9583858614191	0.028377369030964	0.802354445417008	0.750251842409159	5	0	0	0	0.00119103974358974
FAM150B	-	-	FAM150B	FAM150B	TSS9895	chr2:279560-288308	-	-	0.0160390142857143	0.000787336	20.3712446601124	2.58273897477036	0.00734477074052818	0.802354445417008	0.750251842409159	6	0	0	0	0.00626229743589744
VSNL1	-	-	VSNL1	VSNL1	TSS20256	chr2:17540539-17656439	-	-	0.277737685714286	0.043648084	6.36311288519069	2.11228712138824	0.0473981111276472	0.802354445417008	0.750251842409159	19	12	1	0	0.127680248717949
FAM179A	-	-	FAM179A	FAM179A	TSS4944	chr2:28981297-29052230	-	-	0.291758978571429	0.60299646	-2.06676230823304	1.03567910755892	-0.0232633090863383	0.802354445417008	0.750251842409159	37	34	3	0.432635	0.491270184615385
VIT	-	-	VIT	VIT	TSS16097	chr2:36696689-36814794	-	-	0.00965413571428572	0.003023312	3.19323169897308	2.2310279553809	0.0373464976059376	0.802354445417008	0.750251842409159	9	0	0	0	0.00540360769230769
GPR75-ASB3	-	-	GPR75-ASB3	GPR75-ASB3	TSS18404	chr2:53670315-53860033	-	-	0.0663794051024272	0.356285036479827	-5.36740327711672	2.28375446158576	-0.0439046016106183	0.802354445417008	0.750251842409159	39	9	5	1.08424e-10	0.252216348293068
CLEC4F	-	-	CLEC4F	CLEC4F	TSS4196	chr2:70808644-70820600	-	-	0.122058028571429	0.460340536	-3.77148919565425	2.20498356648714	-0.0357936843475887	0.802354445417008	0.750251842409159	32	24	2	0.180209	0.33890578974359
GNLY	-	-	GNLY	GNLY	TSS9696	chr2:85694290-85698851	-	-	2.173679	5.45829208	-2.51108470017882	1.40315243195653	-0.0291651482988167	0.802354445417008	0.750251842409159	37	37	30	2.46959	4.27920020512821
RGPD1	-	-	RGPD1	RGPD1	TSS2272	chr2:86917614-87013976	-	-	0.0135809524866429	0.037090446342672	-2.73106369963014	1.38874512760894	-0.0156547715324753	0.802354445417008	0.750251842409159	39	4	0	6.63141e-06	0.0286511408558923
RGPD2	-	-	RGPD2	RGPD2	TSS34894	chr2:87757200-87825767	-	-	0.01239393965	0.04820279449096	-3.88922294703605	1.43169557161678	-0.0351317829268907	0.802354445417008	0.750251842409159	39	2	0	0.0172527	0.0353483337788205
ACTR3BP2	-	-	ACTR3BP2	ACTR3BP2	TSS15061	chr2:91941132-91942470	-	-	0.0100176	0	Inf	3.8423098266858	0.0190759720906935	0.802354445417008	0.750251842409159	3	0	0	0	0.00359606153846154
LYG1	-	-	LYG1	LYG1	TSS11143	chr2:99284237-99301176	-	-	0.47582255	0.95717	-2.01161126138305	0.888934149027801	-0.0361329973682536	0.802354445417008	0.750251842409159	34	32	11	0.653146	0.784378607692308
ST6GAL2	-	-	ST6GAL2	ST6GAL2	TSS25466,TSS3306	chr2:106801599-106887107	-	-	0.00359857071428571	0.0177380316	-4.9291880049996	2.80999927188705	-0.018706630969127	0.802354445417008	0.750251842409159	23	1	0	0.00510193	0.0126623276923077
TUBA3E	-	-	TUBA3E	TUBA3E	TSS5172	chr2:130191744-130198461	-	-	0.0148057714285714	0.00401844	3.68445750803084	2.70443384356983	0.0143778686369891	0.802354445417008	0.750251842409159	6	1	0	0	0.00789081538461538
C2orf27A	-	-	C2orf27A	C2orf27A	TSS2801	chr2:131722490-131767404	-	-	0.36446185	0.094081684	3.87388739767881	1.42036955638428	0.0211108538176979	0.802354445417008	0.750251842409159	24	19	2	0.0748469	0.191141230769231
LOC101929319	-	-	LOC101929319	LOC101929319	TSS17101	chr2:151337825-151379371	-	-	0.0062213	0.001771812	3.51126417475443	2.82825943043395	0.0412652269611341	0.802354445417008	0.750251842409159	5	0	0	0	0.0033690641025641
KCNJ3	-	-	KCNJ3	KCNJ3	TSS13668	chr2:154698580-154858352	-	-	0.0193720678571429	0.0032856204	5.89601521135639	1.83912379475414	0.00498976283741921	0.802354445417008	0.750251842409159	15	0	0	0	0.00906024256410256
ITGB6	-	-	ITGB6	ITGB6	TSS16757	chr2:160099665-160200313	-	-	0.092994125	0.0243632792	3.81697899681747	2.68376714547731	0.031140137840148	0.802354445417008	0.750251842409159	24	4	0	0.00867419	0.0489999930769231
FKBP7	-	-	FKBP7	FKBP7	TSS5463	chr2:178463663-178478628	-	-	0.278183928571429	0.133893244	2.07765470654687	0.877706350809889	0.00802750886376879	0.802354445417008	0.750251842409159	35	27	0	0.182872	0.1856899
LMCD1-AS1	-	-	LMCD1-AS1	LMCD1-AS1	TSS14273	chr3:8221146-8501658	-	-	0.0667482142857143	0.005358316	12.45693876317	4.06635982167059	0.0165185124266756	0.802354445417008	0.750251842409159	11	1	0	0	0.0273957153846154
LMCD1	-	-	LMCD1	LMCD1	TSS6336	chr3:8501806-8568125	-	-	0.664462914285714	0.284590332	2.33480494441292	1.21395597966987	0.043615666306738	0.802354445417008	0.750251842409159	30	26	6	0.20469	0.420954848717949
