tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean nonaccute stage I, untreated	Fold Change (other vs. nonaccute stage I, untreated)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
PRAMEF19	-	-	PRAMEF19	PRAMEF19	TSS30556	chr1:13368430-13371947	-	-	0.00403366956521739	0	Inf	3.53487067744367	0.0330903769393744	0.987433080383356	0.987433080383356	4	0	0	0	0.0019328
LINC01141	-	-	LINC01141	LINC01141	TSS32136	chr1:20359800-20428794	-	-	0.00357106869565217	0.0007950712	4.49150805066537	2.11775921275189	0.0303273912202434	0.987433080383356	0.987433080383356	10	0	0	0	0.00212523666666667
VWA5B1	-	-	VWA5B1	VWA5B1	TSS9503	chr1:20290918-20354894	-	-	0.00372278260869565	0.0006484536	5.74101617863738	1.9578964969996	0.00914142054281695	0.987433080383356	0.987433080383356	11	0	0	0	0.00212156958333333
EPHA10	-	-	EPHA10	EPHA10	TSS36135	chr1:37715973-37765152	-	-	0.0128726586956522	0.0037423784	3.43969992335681	1.71015128773596	0.0211697107986278	0.987433080383356	0.987433080383356	20	0	0	0	0.008117304375
ST6GALNAC3	-	-	ST6GALNAC3	ST6GALNAC3	TSS33573	chr1:76074703-76630984	-	-	0.183400882608696	0.060089236	3.05214202771185	1.38854062329349	0.0263154986428606	0.987433080383356	0.987433080383356	37	19	0	0.07330595	0.119176066666667
SYDE2	-	-	SYDE2	SYDE2	TSS5351	chr1:85157672-85201045	-	-	0.02523309	0.095637304	-3.79015427757758	2.81315321008862	-0.0342756603971158	0.987433080383356	0.987433080383356	33	5	1	0.0251515	0.0619019514583333
GPR88	-	-	GPR88	GPR88	TSS23802	chr1:100538171-100542027	-	-	0.0104907391304348	0.001457836	7.19610376642831	2.34382044570614	0.00540666222589944	0.987433080383356	0.987433080383356	12	0	0	0	0.00578610208333333
OLFM3	-	-	OLFM3	OLFM3	TSS21213,TSS5411	chr1:101802566-101997234	-	-	0.00493774913043478	0.0007900324	6.2500590234461	2.29192562185013	0.0393252629304502	0.987433080383356	0.987433080383356	9	0	0	0	0.00277748
GSTM5	-	-	GSTM5	GSTM5	TSS19858	chr1:109712241-109718268	-	-	0.0230057260869565	0.008207504	2.80301125493896	1.74712029366412	0.0490789798188918	0.987433080383356	0.987433080383356	16	1	0	0	0.01529831875
TMIGD3	-	-	TMIGD3	TMIGD3	TSS2326,TSS29272	chr1:111483347-111564003	-	-	3.12708591304825	0.247146472453816	12.6527636911047	4.69104986070791	0.0380199702754508	0.987433080383356	0.987433080383356	44	34	9	0.261397	1.62711745440532
LOC645166	-	-	LOC645166	LOC645166	TSS26310,TSS34309	chr1:143399970-143424684	-	-	0.0466412043478261	0.159723328	-3.42451122850228	1.55423317311842	-0.00501854752296323	0.987433080383356	0.987433080383356	23	18	0	0	0.10553814375
CADM3-AS1	-	-	CADM3-AS1	CADM3-AS1	TSS16961	chr1:159195984-159202422	-	-	0.019983852173913	1.70454031025593e-34	1.1723895324548e+32	4.02736460573297	0.0472141959312227	0.987433080383356	0.987433080383356	31	2	0	6.7614e-128	0.00957559583333333
FAM163A	-	-	FAM163A	FAM163A	TSS20738	chr1:179743162-179816198	-	-	0.00475049173913043	0.0003480772	13.6478107130557	2.63378705494088	0.0131485972951548	0.987433080383356	0.987433080383356	8	0	0	0	0.0024575675
KCNH1	-	-	KCNH1	KCNH1	TSS22834	chr1:210678314-211134115	-	-	0.00620458652173913	0.0150865684	-2.43151873974855	1.43453879637431	-0.0428821887910223	0.987433080383356	0.987433080383356	30	0	0	0.00481807	0.01083061875
TGFB2-OT1	-	-	TGFB2-OT1	TGFB2-OT1	TSS3028	chr1:218442625-218443995	-	-	0.00952295600865217	0.04621928988	-4.8534604001118	4.11779163610041	-0.0261302203176383	0.987433080383356	0.987433080383356	20	2	0	0	0.0286356298999792
LOC101927604	-	-	LOC101927604	LOC101927604	TSS19070	chr1:230874845-230879015	-	-	0.0161277043478261	0.002262428	7.12849396658196	2.49687972565422	0.0314428532486962	0.987433080383356	0.987433080383356	7	0	0	0	0.00890620625
LYPD8	-	-	LYPD8	LYPD8	TSS17047	chr1:248739415-248755787	-	-	0.0697243347826087	0.005967972	11.6830867810051	3.52489742375422	0.0465825425348839	0.987433080383356	0.987433080383356	11	2	0	0	0.0365178958333333
FAM150B	-	-	FAM150B	FAM150B	TSS9895	chr2:279560-288308	-	-	0.0144594391304348	0.000787336	18.3650171342791	2.72365758213051	0.0131485972951548	0.987433080383356	0.987433080383356	8	0	0	0	0.00733855208333333
FLJ31356	-	-	FLJ31356	FLJ31356	TSS11158	chr2:28384408-28394672	-	-	0.0289088852173913	0.0051613728	5.6010070067776	2.32682966062715	0.00348222052730624	0.987433080383356	0.987433080383356	19	2	0	0	0.0165403891666667
GKN1	-	-	GKN1	GKN1	TSS19274	chr2:68974572-68980980	-	-	0.0263370608695652	0.00580966	4.53332223737107	1.91758042195185	0.0210650065378191	0.987433080383356	0.987433080383356	12	2	0	0	0.01564570625
CLEC4F	-	-	CLEC4F	CLEC4F	TSS4196	chr2:70808644-70820600	-	-	0.153137965217391	0.460340536	-3.00605101645768	2.16710818422292	-0.0459250517431087	0.987433080383356	0.987433080383356	40	30	2	0.1603295	0.313139304166667
ACTG2	-	-	ACTG2	ACTG2	TSS33529	chr2:73892965-73919653	-	-	0.0835203826086957	0.030962324	2.69748429118873	1.15048091043393	0.00568431053910905	0.987433080383356	0.987433080383356	31	9	0	0.03668685	0.05614639375
DGUOK-AS1	-	-	DGUOK-AS1	DGUOK-AS1	TSS3951	chr2:73957967-73981439	-	-	0.0942256	0.2282736	-2.42262824540252	1.55021286593489	-0.0496155829404079	0.987433080383356	0.987433080383356	31	20	1	0.03289285	0.164042266666667
PLGLB1	-	-	PLGLB1	PLGLB1	TSS34358	chr2:87010464-87021846	-	-	0.018215896956524	0.073380086	-4.02835425426137	2.39209236022202	-0.0223827230182044	0.987433080383356	0.987433080383356	37	4	0	0.0182469	0.0469472454166677
LINC01104	-	-	LINC01104	LINC01104	TSS14755	chr2:100208253-100251484	-	-	0.00274720173913043	0.0003234736	8.4928159179928	2.52115472994565	0.0288860127231937	0.987433080383356	0.987433080383356	7	0	0	0	0.00148484333333333
SH3RF3-AS1	-	-	SH3RF3-AS1	SH3RF3-AS1	TSS28120	chr2:109127327-109130119	-	-	0.0228092782608696	0.0058194579996316	3.91948498680006	2.78436074614808	0.0391457589620659	0.987433080383356	0.987433080383356	24	1	0	1.17675e-09	0.0139604135414748
LINC01123	-	-	LINC01123	LINC01123	TSS16463	chr2:109986979-109995281	-	-	0.0256896043478261	0.076350488	-2.97203829869264	1.68038769277912	-0.0310975468198675	0.987433080383356	0.987433080383356	27	9	0	0.01753285	0.05207548125
LINC01106	-	-	LINC01106	LINC01106	TSS4606	chr2:110375108-110384536	-	-	0.00139167362080435	0.004972418096676	-3.57297718541369	3.17300597160837	-0.000966140721198001	0.987433080383356	0.987433080383356	21	0	0	0	0.0032566447019875
