tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean 50-80	Fold Change (other vs. 50-80)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
HES4	-	-	HES4	HES4	TSS29140	chr1:998961-1000172	-	-	0.268835938235294	0.759888756140351	-2.82658918717657	2.83863436675053	-0.0471830849704564	0.783534543338113	0.699140955298631	146	114	12	0.179172	0.4138619
SLC2A7	-	-	SLC2A7	SLC2A7	TSS18225	chr1:9003299-9026345	-	-	0.00484094044117647	0.00101994035087719	4.74629760163234	3.30883612343267	0.0264730352759586	0.759534634560294	0.677726048588177	22	1	0	0	0.0037124585492228
PDPN	-	-	PDPN	PDPN	TSS11826,TSS3823	chr1:13583756-13617957	-	-	0.0225821914705882	0.0764594929824561	-3.38583140090896	2.27944627680684	-0.000157484427460201	0.287127857922974	0.256201652611112	86	25	0	0	0.0384941406217617
FAM43B	-	-	FAM43B	FAM43B	TSS25803	chr1:20552438-20555020	-	-	0.00600636963235294	0.00256142280701754	2.34493486038199	1.94468316979428	0.013864691850125	0.702910462667747	0.627200799935718	53	0	0	0	0.00498895010362694
CYP4Z2P	-	-	CYP4Z2P	CYP4Z2P	TSS22382	chr1:46843094-46900475	-	-	0.00367159485294118	0	Inf	5.71310475253165	0.0477776738852249	0.783534543338113	0.699140955298631	9	2	0	0	0.0025872378238342
CYP4A11	-	-	CYP4A11	CYP4A11	TSS27932	chr1:46929173-46941484	-	-	0.00169880227941176	0	Inf	4.90978992002682	0.0211762364840002	0.759534634560294	0.677726048588177	12	0	0	0	0.00119708347150259
HIPK1-AS1	-	-	HIPK1-AS1	HIPK1-AS1	TSS22930,TSS2668	chr1:113924000-113929525	-	-	0.0925984139705882	0.233895278947368	-2.52591020642816	2.18717820539486	-0.00126464080800549	0.454304910433807	0.405372260582632	136	62	4	0.0585009	0.134328576165803
NUP210L	-	-	NUP210L	NUP210L	TSS12432	chr1:153992691-154155116	-	-	0.0129167544117647	0.00410103245614035	3.14963476878239	2.88326154638893	0.042907755720716	0.783534543338113	0.699140955298631	88	3	0	0	0.0103131474093264
TDRD10	-	-	TDRD10	TDRD10	TSS30209	chr1:154502218-154548147	-	-	0.0339533139705882	0.0711402947368421	-2.09523862084469	2.61067833566808	-0.00669709910631052	0.640533851572719	0.571542700570403	109	27	1	0.0151179	0.0449359974093264
MYOC	-	-	MYOC	MYOC	TSS24281	chr1:171635416-171652633	-	-	0.00288670661764706	0.000770817543859649	3.7449934042662	2.73849191860862	0.0176570507663018	0.736946761810292	0.657571089158665	24	0	0	0	0.0022618067357513
