tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean 50-80	Fold Change (other vs. 50-80)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
LOC100130417	-	-	LOC100130417	LOC100130417	TSS15106	chr1:916817-919692	-	-	0.00757522123893805	0.0012400974025974	6.10856955515884	4.05467041908766	0.0297262350242947	0.609394044304557	0.477504547563779	18	3	0	0	0.00500782894736842
ACTRT2	-	-	ACTRT2	ACTRT2	TSS20188	chr1:3021481-3022903	-	-	0.00396350707964602	0.000748522077922078	5.29511045372081	4.40858985134033	0.038135792220539	0.616799504055555	0.483307263788118	14	1	0	0	0.00266059210526316
PDPN	-	-	PDPN	PDPN	TSS11826,TSS3823	chr1:13583756-13617957	-	-	0.0221938047787611	0.055207838961039	-2.48753377401389	2.39539365639691	-0.0453335782817604	0.625077397393049	0.489793595169011	82	23	0	0	0.0355731765263158
TMEM82	-	-	TMEM82	TMEM82	TSS34880	chr1:15742491-15747797	-	-	0.00563328761061947	0.00178045324675325	3.16396267124232	3.67167472062706	0.0352944397439102	0.609394044304557	0.477504547563779	18	1	0	0	0.00407187578947368
NR0B2	-	-	NR0B2	NR0B2	TSS13425	chr1:26911483-26914076	-	-	0.0265063654867257	0.00714815454545455	3.70814107587823	3.43582415157449	0.0268053981711204	0.609394044304557	0.477504547563779	33	12	0	0	0.0186611957894737
GPR3	-	-	GPR3	GPR3	TSS28641	chr1:27392643-27395813	-	-	0.0149835584070796	0.0397310337662338	-2.65164206570991	2.04959574218914	-0.00114053414166767	0.609394044304557	0.477504547563779	86	11	0	0	0.0250127984210526
SNORD99	-	-	SNORD99	SNORD99	TSS17816	chr1:28578742-28578822	-	-	291.017955752212	859.231092207792	-2.9525019856142	4.33530913699364	-0.00207405695593904	0.609394044304557	0.477504547563779	172	172	172	214.633	521.293805789474
SNORA44	-	-	SNORA44	SNORA44	TSS12265	chr1:28580380-28580512	-	-	32.3236566371681	72.5663076623377	-2.2449906728342	3.22318522979743	-0.0375129227548835	0.613856897927212	0.481001517906443	163	163	163	25.46425	48.6325204736842
SLFNL1	-	-	SLFNL1	SLFNL1	TSS14749	chr1:41015596-41021755	-	-	0.135323868495575	0.0581949472857143	2.32535425852675	2.52606228938528	0.00922739012301991	0.609394044304557	0.477504547563779	152	58	1	0.05534605	0.104066358321053
CYP4A11	-	-	CYP4A11	CYP4A11	TSS27932	chr1:46929173-46941484	-	-	0.00190312752212389	0.000207580519480519	9.16814124411368	4.8700777493566	0.0196661394314	0.609394044304557	0.477504547563779	12	0	0	0	0.00121598478947368
DMRTB1	-	-	DMRTB1	DMRTB1	TSS18935	chr1:53459398-53467487	-	-	0.00462652920353982	0.00130125974025974	3.55542330281911	2.9136279579713	0.0229992791759875	0.609394044304557	0.477504547563779	25	0	0	0	0.00327892
HSD52	-	-	HSD52	HSD52	TSS27202	chr1:59131935-59146807	-	-	0.00233279557522124	0	Inf	5.8313943710024	0.0409027193382437	0.616847495387195	0.483344868486287	6	0	0	0	0.00138739947368421
LOC101928241	-	-	LOC101928241	LOC101928241	TSS5789	chr1:96254068-96374125	-	-	0.00183855044247788	0.000457220779220779	4.02114367070376	4.36747124624932	0.0478007704626495	0.627673782262909	0.491828051518184	10	0	0	0	0.00127874842105263
SPRR2D	-	-	SPRR2D	SPRR2D	TSS2424	chr1:153039724-153041118	-	-	0.412321047787611	0.109117198701299	3.77869898324931	10.6141397060893	0.0374042255842243	0.613856897927212	0.481001517906443	25	18	4	0	0.289443698421053
OR10R2	-	-	OR10R2	OR10R2	TSS34666	chr1:158479877-158480885	-	-	0.00337951061946903	0	Inf	5.60187727253901	0.026766927562098	0.609394044304557	0.477504547563779	7	1	0	0	0.00200991947368421
MIR5187	-	-	MIR5187	MIR5187	TSS20082	chr1:161227185-161227261	-	-	2.00769734513274	0	Inf	6.02271151344255	0.0409027193382437	0.616847495387195	0.483344868486287	6	6	6	0	1.19405157894737
SNORD81	-	-	SNORD81	SNORD81	TSS12258	chr1:173864174-173864217	-	-	9.51907876106195	0	Inf	6.58692443123846	0.0409027193382437	0.616847495387195	0.483344868486287	6	6	6	0	5.66134684210526
SNORD79	-	-	SNORD79	SNORD79	TSS35715	chr1:173865349-173865430	-	-	28.7789592920354	85.7975142857143	-2.98125840531901	2.92568800490929	-0.00406577722568237	0.609394044304557	0.477504547563779	110	110	110	21.00745	51.8864789473684
OPTC	-	-	OPTC	OPTC	TSS21390	chr1:203494142-203508949	-	-	0.00431105398230089	0.00106499350649351	4.04796269274452	3.29705905497359	0.0281725980169418	0.609394044304557	0.477504547563779	18	0	0	0	0.00299554526315789
MIR29B2	-	-	MIR29B2	MIR29B2	TSS185	chr1:207802442-207802523	-	-	2.50717699115044	0.355942857142857	7.04376261761643	4.99830721356675	0.0447589616142778	0.624204076151904	0.489109284470493	10	10	10	0	1.63536105263158
GCSAML	-	-	GCSAML	GCSAML	TSS24068,TSS35003,TSS6051	chr1:247507057-247577690	-	-	0.0446561934513274	0.0987745632467532	-2.21188945167061	2.41293127978104	-0.0237724895680714	0.609394044304557	0.477504547563779	134	38	1	0.02978785	0.0665883748947368
LOC400940	-	-	LOC400940	LOC400940	TSS35976	chr2:5981977-5988232	-	-	0.00143190619469027	0.000291048051948052	4.9198274481007	3.33688312381798	0.0123475546284272	0.609394044304557	0.477504547563779	17	0	0	0	0.000969558421052632
LINC01247	-	-	LINC01247	LINC01247	TSS34276	chr2:6366009-6375422	-	-	0.0023949696460177	0.000754599220779221	3.17383000150011	3.60016615276145	0.0405028329667246	0.616847495387195	0.483344868486287	24	0	0	0	0.00173018794736842
GACAT3	-	-	GACAT3	GACAT3	TSS4276	chr2:16050426-16085689	-	-	0.00212700973451327	0	Inf	5.70649427171199	0.0409027193382437	0.616847495387195	0.483344868486287	6	0	0	0	0.00126501105263158
CGREF1	-	-	CGREF1	CGREF1	TSS14431,TSS35270	chr2:27099352-27119127	-	-	0.0471359948462307	0.0997919255858694	-2.11710659574313	3.19613977127045	-0.045863705785863	0.625077397393049	0.489793595169011	181	29	4	1.799245e-12	0.0684755036196632
LOC388942	-	-	LOC388942	LOC388942	TSS14479	chr2:41877554-41894046	-	-	0.0109969336283186	0.00132938051948052	8.2722241428781	4.91200678066263	0.00620128739040337	0.609394044304557	0.477504547563779	28	2	0	0	0.00707903052631579
SIX3	-	-	SIX3	SIX3	TSS6362	chr2:44941897-44946077	-	-	0.00885143194690266	0.0039864	2.22040737178975	3.24044218541358	0.0169998254814685	0.609394044304557	0.477504547563779	49	1	0	0	0.0068798137368421
LOC101927438	-	-	LOC101927438	LOC101927438	TSS15239	chr2:64846129-64863631	-	-	0.0515060212389381	0.0249352779220779	2.06558841653552	1.6241727343899	0.0215835344342647	0.609394044304557	0.477504547563779	94	22	0	0	0.0407378778947368
ALMS1P	-	-	ALMS1P	ALMS1P	TSS8224	chr2:73644918-73685567	-	-	0.0329664256637168	0.0707789	-2.14699951769112	1.9449155296065	-0.00346984049149203	0.609394044304557	0.477504547563779	86	27	0	0	0.0482904284210526
LOC101928371	-	-	LOC101928371	LOC101928371	TSS25326	chr2:88538719-88575610	-	-	0.108559495902469	0.0480462729862419	2.25947798143584	3.39163984303999	0.000220051694426674	0.609394044304557	0.477504547563779	189	29	5	1.96239e-06	0.0840357160890507
SNORD89	-	-	SNORD89	SNORD89	TSS14491	chr2:101272935-101273049	-	-	485.855654867257	1025.37151038961	-2.11044473830351	3.22550912701578	-0.0221319448104756	0.609394044304557	0.477504547563779	188	188	188	441.203	704.501554210526
LOC100507334	-	-	LOC100507334	LOC100507334	TSS11192	chr2:110245637-110266558	-	-	0.00861214159292035	0	Inf	7.75700778869757	0.026766927562098	0.609394044304557	0.477504547563779	7	2	0	0	0.00512195789473684
RGPD8	-	-	RGPD8	RGPD8	TSS31108	chr2:110513801-110577216	-	-	0.0173956216831858	0.00423285338142857	4.10966790380887	3.66590788269897	0.0349099605473037	0.609394044304557	0.477504547563779	188	11	0	0.0001496055	0.0120612366345789
MIR10B	-	-	MIR10B	MIR10B	TSS20248	chr2:176150302-176150412	-	-	1.67312442477876	0.385017142857143	4.34558423129632	3.21236080121754	0.0287466905738109	0.609394044304557	0.477504547563779	21	21	21	0	1.151102
RNU6-31P	-	-	RNU6-31P	RNU6-31P	TSS35411	chr2:200830008-200830116	-	-	0.95436814159292	0.18684025974026	5.10793628161113	4.46172975189258	0.0462588180605772	0.625077397393049	0.489793595169011	10	10	10	0	0.643317368421053
MIR5001	-	-	MIR5001	MIR5001	TSS9820	chr2:232550473-232550573	-	-	3.26787448672566	0.401188311688312	8.14548777100096	9.05635272462905	0.0293310750176227	0.609394044304557	0.477504547563779	18	7	6	0	2.10611219473684
C3orf20	-	-	C3orf20	C3orf20	TSS9026	chr3:14675098-14773036	-	-	0.0436137775221239	0.0115586974025974	3.77324329922533	4.13184417709695	0.00268596040959831	0.609394044304557	0.477504547563779	91	10	1	0	0.0306230345263158
KCNH8	-	-	KCNH8	KCNH8	TSS12993	chr3:19148524-19535643	-	-	0.0180610348672566	0.00803441805194805	2.24795806621956	1.88338357484517	0.00689260666580459	0.609394044304557	0.477504547563779	92	3	0	0	0.0139976164736842
LINC00870	-	-	LINC00870	LINC00870	TSS15534	chr3:72151256-72174339	-	-	0.00234790672566372	0.000875613636363636	2.68144148075904	3.09988004443088	0.037678396962322	0.613856897927212	0.481001517906443	21	0	0	0	0.00175124057894737
LOC100507537	-	-	LOC100507537	LOC100507537	TSS4430	chr3:155290231-155293700	-	-	0.0165852424778761	0.00627914545454545	2.64132159350921	2.71935992690907	0.021207929141585	0.609394044304557	0.477504547563779	32	3	0	0	0.0124085610526316
EIF2B5-AS1	-	-	EIF2B5-AS1	EIF2B5-AS1	TSS6102	chr3:184546713-184556918	-	-	0.0123249814159292	0.00496949350649351	2.48012828668042	4.08199659198792	0.00633880355564329	0.609394044304557	0.477504547563779	15	9	0	0	0.00934407315789474
MIR3138	-	-	MIR3138	MIR3138	TSS16412	chr4:10078610-10078692	-	-	2.19927256637168	0	Inf	5.82864963836574	0.026766927562098	0.609394044304557	0.477504547563779	7	7	7	0	1.30798842105263
PPARGC1A	-	-	PPARGC1A	PPARGC1A	TSS31343	chr4:23792020-23890077	-	-	0.00394370256637168	0.00930445025974026	-2.35931845851667	2.13478416521724	-0.00601960127256491	0.609394044304557	0.477504547563779	78	0	0	0	0.00611621610526316
TMPRSS11D	-	-	TMPRSS11D	TMPRSS11D	TSS2544	chr4:67820875-67883998	-	-	0.0263615690265487	0.00996469948051948	2.64549563969132	9.48025743639038	0.0231709692586012	0.609394044304557	0.477504547563779	41	2	1	0	0.0197165218947368
