tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean nonaccute stage I, untreated	Fold Change (other vs. nonaccute stage I, untreated)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
PDPN	-	-	PDPN	PDPN	TSS11826,TSS3823	chr1:13583756-13617957	-	-	0.065005847368421	0.0322368944	2.01650464718528	2.12678088973574	0.0150405376785066	0.544180791055078	0.418458929011137	22	8	0	0.00498063	0.0463871240909091
CELA2A	-	-	CELA2A	CELA2A	TSS20383	chr1:15456727-15472091	-	-	0.699102910526316	2.08938124	-2.98866047979549	1.27480479231853	-0.0253053388984719	0.577669209731549	0.444210532235615	35	34	19	0.618711	1.48903377954545
ALPL	-	-	ALPL	ALPL	TSS18137	chr1:21509364-21578412	-	-	0.650900605263158	0.231464212	2.8121004091257	1.73405278469188	0.0370364543227554	0.611447828814269	0.470185290987067	41	34	2	0.2227415	0.412584472727273
SNORA73A	-	-	SNORA73A	SNORA73A	TSS27948	chr1:28507364-28507571	-	-	8.96097315789474	3.53653236	2.53383038686368	1.2411269032494	0.0307460179134147	0.592102427612934	0.455309249787034	31	31	30	3.672175	5.87890452272727
FABP3	-	-	FABP3	FABP3	TSS24887	chr1:31365252-31373076	-	-	33.5504526315789	15.0770164	2.22527134954758	0.836151340422568	0.00143398322269154	0.335855416714621	0.258262879342915	44	44	44	17.1398	23.0541820454545
FNDC5	-	-	FNDC5	FNDC5	TSS15429,TSS23337	chr1:32862267-32872492	-	-	0.518172231578947	0.199525208	2.59702639467464	1.3005450351153	0.00394692878318744	0.489851989137709	0.376681687626482	38	26	4	0.1601205	0.337122786363636
RHBDL2	-	-	RHBDL2	RHBDL2	TSS20752,TSS8585	chr1:38885805-38941830	-	-	0.0983697894736842	0.048203808	2.04070577730465	1.16862867315995	0.026363105286995	0.577669209731549	0.444210532235615	33	10	0	0.04368805	0.0698663909090909
RNU5D-1	-	-	RNU5D-1	RNU5D-1	TSS11892	chr1:44731068-44731168	-	-	3.36700526315789	0	Inf	4.02118310474172	0.0448489010950024	0.618107208596858	0.475306157025535	3	3	3	0	1.45393409090909
CYP4A22	-	-	CYP4A22	CYP4A22	TSS28284	chr1:47137424-47148854	-	-	0.00695191578947368	0	Inf	3.8919683192168	0.0186974481775008	0.556461552075258	0.427902470915625	4	0	0	0	0.00300196363636364
LINC01358	-	-	LINC01358	LINC01358	TSS24771	chr1:59020475-59088247	-	-	0.252654105263158	0.107112424	2.35877497519016	1.39544572753861	0.0129775849808632	0.53822660328721	0.413880334769245	23	21	0	0.0931158	0.169959968181818
